path,width,height,w/h,bha,class
images/addict/1.jpg,261,193,1.35,0.3,addict
images/addict/2.jpg,300,168,1.79,0.44,addict
images/addict/3.jpg,268,188,1.43,0.47,addict
images/addict/4.jpg,194,259,0.75,0.42,addict
images/addict/5.jpg,300,168,1.79,0.37,addict
images/addict/6.jpg,271,186,1.46,0.66,addict
images/addict/7.jpg,275,183,1.5,0.47,addict
images/addict/8.jpg,219,231,0.95,0.46,addict
images/addict/9.jpg,173,292,0.59,0.35,addict
images/addict/10.jpg,273,185,1.48,0.65,addict
images/addict/11.jpg,261,193,1.35,0.49,addict
images/addict/12.jpg,225,225,1.0,0.46,addict
images/addict/13.jpg,268,188,1.43,0.35,addict
images/addict/14.jpg,249,203,1.23,0.53,addict
images/addict/15.jpg,269,187,1.44,0.59,addict
images/addict/16.jpg,236,177,1.33,0.45,addict
images/addict/17.jpg,222,227,0.98,0.44,addict
images/addict/18.jpg,225,225,1.0,0.54,addict
images/addict/19.jpg,278,181,1.54,0.44,addict
images/addict/20.jpg,300,168,1.79,0.63,addict
images/addict/21.jpg,268,188,1.43,0.5,addict
images/addict/22.jpg,258,196,1.32,0.61,addict
images/addict/23.jpg,271,186,1.46,0.41,addict
images/addict/24.jpg,257,196,1.31,0.66,addict
images/addict/26.jpg,225,225,1.0,0.49,addict
images/addict/27.jpg,261,193,1.35,0.44,addict
images/addict/28.jpg,260,194,1.34,0.55,addict
images/addict/31.jpg,269,188,1.43,0.65,addict
images/addict/32.jpg,261,193,1.35,0.38,addict
images/addict/36.jpg,265,190,1.39,0.38,addict
images/addict/41.jpg,300,168,1.79,0.51,addict
images/addict/45.jpg,265,190,1.39,0.77,addict
images/addict/46.jpg,261,193,1.35,0.35,addict
images/addict/48.jpg,268,188,1.43,0.43,addict
images/addict/49.jpg,269,187,1.44,0.64,addict
images/addict/52.jpg,268,188,1.43,0.5,addict
images/addict/54.jpg,225,225,1.0,0.55,addict
images/addict/55.jpg,300,168,1.79,0.55,addict
images/addict/58.jpg,225,225,1.0,0.45,addict
images/addict/59.jpg,285,177,1.61,0.58,addict
images/addict/61.jpg,261,193,1.35,0.46,addict
images/addict/62.jpg,273,185,1.48,0.49,addict
images/addict/63.jpg,268,188,1.43,0.41,addict
images/addict/64.jpg,269,187,1.44,0.52,addict
images/addict/65.jpg,261,193,1.35,0.37,addict
images/addict/68.jpg,288,175,1.65,0.35,addict
images/addict/70.jpg,268,188,1.43,0.35,addict
images/addict/75.jpg,273,185,1.48,0.69,addict
images/addict/77.jpg,268,188,1.43,0.48,addict
images/addict/81.jpg,275,183,1.5,0.63,addict
images/addict/82.jpg,261,193,1.35,0.55,addict
images/addict/88.jpg,268,188,1.43,0.45,addict
images/addict/89.jpg,265,190,1.39,0.65,addict
images/addict/90.jpg,270,187,1.44,0.5,addict
images/addict/93.jpg,307,164,1.87,0.48,addict
images/addict/94.jpg,268,188,1.43,0.5,addict
images/addict/101.jpg,236,177,1.33,0.41,addict
images/addict/102.jpg,274,184,1.49,0.38,addict
images/addict/107.jpg,225,225,1.0,0.65,addict
images/addict/108.jpg,276,183,1.51,0.75,addict
images/addict/109.jpg,269,188,1.43,0.49,addict
images/addict/110.jpg,266,190,1.4,0.58,addict
images/addict/111.jpg,217,232,0.94,0.35,addict
images/addict/114.jpg,286,176,1.62,0.7,addict
images/addict/115.jpg,268,188,1.43,0.42,addict
images/addict/116.jpg,268,188,1.43,0.43,addict
images/addict/118.jpg,237,213,1.11,0.58,addict
images/addict/123.jpg,261,193,1.35,0.31,addict
images/addict/124.jpg,259,194,1.34,0.34,addict
images/addict/125.jpg,268,188,1.43,0.45,addict
images/addict/126.jpg,268,188,1.43,0.41,addict
images/addict/132.jpg,225,225,1.0,0.54,addict
images/addict/137.jpg,269,187,1.44,0.55,addict
images/addict/138.jpg,267,189,1.41,0.52,addict
images/addict/141.jpg,261,193,1.35,0.49,addict
images/addict/144.jpg,270,187,1.44,0.65,addict
images/addict/148.jpg,300,168,1.79,0.41,addict
images/addict/152.jpg,293,172,1.7,0.82,addict
images/addict/156.jpg,273,185,1.48,0.51,addict
images/addict/157.jpg,300,168,1.79,0.49,addict
images/addict/164.jpg,261,193,1.35,0.41,addict
images/addict/166.jpg,266,190,1.4,0.56,addict
images/addict/168.jpg,259,194,1.34,0.39,addict
images/addict/174.jpg,268,188,1.43,0.57,addict
images/addict/185.jpg,326,155,2.1,0.46,addict
images/addict/196.jpg,269,187,1.44,0.62,addict
images/addict/199.jpg,269,187,1.44,0.69,addict
images/addict/204.jpg,268,188,1.43,0.51,addict
images/addict/212.jpg,259,194,1.34,0.31,addict
images/addict/214.jpg,270,186,1.45,0.37,addict
images/addict/216.jpg,248,204,1.22,0.55,addict
images/addict/222.jpg,275,183,1.5,0.61,addict
images/addict/223.jpg,300,168,1.79,0.45,addict
images/addict/225.jpg,317,159,1.99,0.41,addict
images/addict/230.jpg,263,192,1.37,0.37,addict
images/addict/235.jpg,269,187,1.44,0.65,addict
images/addict/243.jpg,270,187,1.44,0.47,addict
images/addict/244.jpg,267,189,1.41,0.37,addict
images/addict/257.jpg,267,189,1.41,0.57,addict
images/addict/266.jpg,168,300,0.56,0.44,addict
images/addict/270.jpg,300,168,1.79,0.46,addict
images/addict/274.jpg,300,168,1.79,0.44,addict
images/addict/276.jpg,268,188,1.43,0.56,addict
images/addict/277.jpg,259,194,1.34,0.41,addict
images/addict/283.jpg,300,168,1.79,0.44,addict
images/addict/284.jpg,259,194,1.34,0.3,addict
images/addict/287.jpg,492,346,1.42,0.41,addict
images/addict/288.jpg,529,372,1.42,0.23,addict
images/addict/289.jpg,800,450,1.78,0.52,addict
images/addict/290.jpg,800,560,1.43,0.47,addict
images/addict/291.jpg,800,560,1.43,0.52,addict
images/addict/292.jpg,791,536,1.48,0.59,addict
images/addict/293.jpg,791,536,1.48,0.61,addict
images/addict/294.jpg,720,503,1.43,0.62,addict
images/addict/295.jpg,1004,792,1.27,0.47,addict
images/addict/296.jpg,800,560,1.43,0.45,addict
images/addict/297.jpg,800,556,1.44,0.53,addict
images/addict/298.jpg,1200,837,1.43,0.65,addict
images/addict/299.jpg,800,563,1.42,0.35,addict
images/addict/300.jpg,800,589,1.36,0.48,addict
images/addict/301.jpg,498,333,1.5,0.53,addict
images/addict/302.jpg,1061,715,1.48,0.27,addict
images/addict/303.jpg,512,358,1.43,0.34,addict
images/addict/304.jpg,800,596,1.34,0.49,addict
images/addict/305.jpg,1080,759,1.42,0.33,addict
images/addict/306.jpg,1021,711,1.44,0.4,addict
images/addict/307.jpg,529,372,1.42,0.22,addict
images/addict/308.jpg,806,590,1.37,0.34,addict
images/addict/309.jpg,720,496,1.45,0.69,addict
images/addict/310.jpg,1080,604,1.79,0.35,addict
images/addict/311.jpg,1080,702,1.54,0.29,addict
images/addict/312.jpg,960,686,1.4,0.26,addict
images/addict/313.jpg,1033,728,1.42,0.53,addict
images/addict/314.jpg,496,341,1.45,0.42,addict
images/addict/315.jpg,672,960,0.7,0.69,addict
images/addict/316.jpg,512,358,1.43,0.47,addict
images/addict/317.jpg,500,343,1.46,0.38,addict
images/addict/318.jpg,800,594,1.35,0.41,addict
images/addict/319.jpg,1077,736,1.46,0.43,addict
images/addict/320.jpg,1042,740,1.41,0.33,addict
images/addict/321.jpg,740,482,1.54,0.44,addict
images/addict/322.jpg,959,664,1.44,0.76,addict
images/addict/323.jpg,1043,692,1.51,0.51,addict
images/addict/324.jpg,1280,720,1.78,0.33,addict
images/addict/325.jpg,1280,720,1.78,0.58,addict
images/addict/326.jpg,1280,720,1.78,0.37,addict
images/addict/327.jpg,261,193,1.35,0.3,addict
images/addict/328.jpg,300,168,1.79,0.44,addict
images/addict/330.jpg,261,193,1.35,0.41,addict
images/addict/331.jpg,275,183,1.5,0.67,addict
images/addict/332.jpg,176,287,0.61,0.67,addict
images/addict/334.jpg,217,232,0.94,0.35,addict
images/addict/337.jpg,233,216,1.08,0.33,addict
images/addict/338.jpg,260,194,1.34,0.37,addict
images/addict/339.jpg,268,188,1.43,0.49,addict
images/addict/345.jpg,268,188,1.43,0.52,addict
images/addict/347.jpg,293,172,1.7,0.82,addict
images/addict/348.jpg,225,225,1.0,0.56,addict
images/addict/349.jpg,268,188,1.43,0.4,addict
images/addict/350.jpg,269,187,1.44,0.6,addict
images/addict/351.jpg,261,193,1.35,0.45,addict
images/addict/354.jpg,261,193,1.35,0.41,addict
images/addict/357.jpg,292,173,1.69,0.54,addict
images/addict/358.jpg,263,192,1.37,0.37,addict
images/addict/361.jpg,222,227,0.98,0.44,addict
images/addict/362.jpg,296,170,1.74,0.46,addict
images/addict/367.jpg,268,188,1.43,0.45,addict
images/addict/369.jpg,267,189,1.41,0.57,addict
