file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1.012297541,0,
1.png,0.811333807,24,0.999994362,0.057999785,1.003572359,0.109558607,1
2.jpg,0.613800922,38,0.165384386,2.428383562,0.169313837,0.79228274,1
3.jpg,0.60391855,30,-0.000615441,21334.51564,0.007026651,0.980172076,1
4.jpg,0.656734087,32,0.842634592,1.972316608,1.001379724,0.50313228,1
5.jpg,0.699784919,34,0.332954011,1.488511946,0.438313109,0.746415786,1
6.jpg,0.775753584,26,0.983749127,119.2730818,1.000459908,0.302286265,1
7.jpg,0.000557657,36,0.999999252,0.012044402,1.000177809,0.076978008,1
8.jpg,0.740650285,28,0.999999066,0.014186397,1.000139771,0.082822712,1
9.jpg,0.583646488,38,0.204945722,0.775268388,0.211040281,0.768608182,1
10.jpg,0.715172595,36,0.999977658,0.189080811,1.001080357,0.11949856,1
11.jpg,0.523167388,30,0.999995967,0.023293744,1.000578345,0.097390551,1
12.jpg,0.74183049,24,0.001455842,16678.18117,0.006616381,0.971153612,0
13.jpg,0.746712682,28,0.999987114,0.090715095,1.003445567,0.099353677,1
14.jpg,0.509159005,34,0.999521077,8.80330821,1.011376836,0.320654161,1
15.jpg,0.495767112,28,0.996263171,39.47411284,1.012036012,0.502956235,1
16.jpg,0.743845227,34,0.873175891,26.63583035,1.000571928,0.466576625,0
17.jpg,0.179447669,34,-0.001717137,276.5873052,0.006583325,0.990960817,0
18.jpg,0.397131415,36,0.70493717,2.325663358,1.000179964,0.632866377,1
19.jpg,0.688153908,28,0.999988942,0.026292904,1.001719502,0.094397052,1
20.jpg,0.598390041,26,0.01762664,1955.813023,0.02863774,0.934928846,1
21.jpg,0.595394962,32,-0.001713363,14524.25216,0.014542994,0.981122289,1
22.jpg,0.438970868,36,-0.00187428,24502.08804,0.013249901,0.984232166,0
23.jpg,0.312882479,44,0.310407942,338.2055969,0.683662569,0.883883884,0
24.jpg,0.742061314,36,0.999999242,0.012215334,1.000098961,0.07725192,1
25.jpg,0.281974031,36,0.003656168,1009.275761,0.024730907,0.977521248,0
26.jpg,0.679006243,30,0.999353693,7.283191777,1.00286737,0.180314404,1
27.jpg,0.545163735,28,0.998060383,42.90123358,1.011599145,0.424132822,1
28.jpg,0.393658282,32,0.070015177,4193.912973,0.109424939,0.895304608,1
29.jpg,,,,,,,
30.jpg,0.500732625,32,0.999973968,0.473799899,1.003925134,0.118188409,0
31.jpg,0.496206287,28,0.996785691,3.837924561,1.006741851,0.362072216,1
32.jpg,0.485919451,28,0.999735105,2.598490348,1.009905188,0.321282157,1
33.jpg,0.72274014,26,0.99995535,0.360946413,1.002056895,0.124128146,1
34.jpg,0.632099028,24,0.996487506,0.168798303,1.002019788,0.254079391,1
35.jpg,0.794920382,26,0.998420354,21.50358818,1.007774542,0.301366402,0
36.jpg,0.528212553,30,0.995413463,229.0107988,1.008025194,0.293578539,0
37.jpg,0.614651517,26,0.886220764,46.63982606,1.011844317,0.567524416,1
38.jpg,0.147331409,32,0.03454469,10.34440189,0.047475869,0.927045471,1
39.jpg,0.410802044,32,0.021508738,20096.13016,0.0768366,0.951877086,0
40.jpg,0.575730243,20,0.998770788,7.113153113,1.007660943,0.46155826,0
41.jpg,0.610838236,30,0.999525698,4.903534188,1.002992047,0.14771956,1
42.jpg,0.25056468,30,0.999190482,7.754754044,1.011109849,0.431515345,1
43.jpg,0.799018148,22,0.999140994,0.132408762,1.008243673,0.261726661,0
44.jpg,0.742977301,28,0.999992621,0.054376469,1.001439151,0.094764159,1
45.jpg,0.679345738,26,0.999950209,0.36022517,1.004272713,0.178525411,1
46.jpg,0.644019279,38,0.999384655,5.787965981,1.002183502,0.278863983,0
47.jpg,0.699538814,30,0.999994285,0.139237673,1.001897805,0.083459015,0
48.jpg,0.09673825,34,0.082423776,11.20283397,0.124132087,0.896929839,0
49.jpg,0.496888851,30,0.908257404,3.431115987,1.003229202,0.492471178,1
50.jpg,0.473448938,20,0.389548168,1294.457927,0.500685976,0.763423207,0
51.jpg,0.545249256,34,0.968439057,662.7010296,1.001539692,0.338402044,1
52.jpg,0.469956562,32,0.999999234,0.012297541,1,0.078055329,0
53.jpg,0.55824576,34,-0.001326937,21.9975003,0.000779844,0.999288012,0
54.jpg,0.825392104,12,0.995942716,0.012246243,1.000081838,0.23426177,1
55.jpg,-0.000123282,32,0.999998988,0.018132877,1.001055895,0.080575599,1
56.jpg,0.579166697,26,0.680739802,16.54648243,0.945375044,0.62124083,1
57.jpg,0.507004662,32,-0.001442248,5.16035185,0.004975518,0.996759125,0
58.jpg,0.112849188,26,0.997862626,0.09115856,1.003668358,0.217864696,1
59.jpg,0.075916291,34,0.87770601,9.650813109,1.008389065,0.622326304,1
60.jpg,0.609521897,32,0.999919669,0.697868408,1.008966239,0.104342197,1
61.jpg,0.473526063,26,0.915572657,208.3497746,1.011957549,0.764813078,0
62.jpg,0.614463494,32,0.999999234,0.012297541,1,0.078055329,0
63.jpg,0.593205213,30,0.837316227,6811.15929,1.006115772,0.559670154,1
64.jpg,0.235462296,38,0.664859029,8240.071358,1.011557689,0.843060151,0
65.jpg,0.523498278,28,0.008355301,25241.86857,0.019198754,0.964535227,0
66.jpg,0.286274094,28,0.014969487,32750.21724,0.059758566,0.965877396,0
67.jpg,0.813295055,38,0.999090124,13.67880627,1.003432044,0.297429698,0
68.jpg,0.60876071,32,0.734893801,691.7972072,1.007136291,0.633327085,1
69.jpg,0.103332436,30,0.999999234,0.012297541,1,0.078055329,0
70.jpg,0.636611515,36,0.99942421,0.295470728,1.003457571,0.262683979,1
71.jpg,0.584196531,26,0.011279151,8352.742211,0.023691041,0.936154798,1
72.jpg,0.711817827,30,0.999644212,4.542835681,1.010521129,0.298337376,1
73.jpg,0.197246846,26,0.99725595,61.04237345,1.010105834,0.551336447,0
74.jpg,0.562391474,28,0.99478128,3.663469406,1.01170687,0.402640389,0
75.jpg,0.635994279,32,0.999918712,1.299110758,1.011391285,0.189081569,1
76.jpg,0.402746749,40,0.174112383,17512.45811,0.284275495,0.893239999,0
77.jpg,0.655056685,32,0.999404898,12.48470884,1.011530592,0.349468193,1
78.jpg,0.636490705,34,0.946802253,128.5869461,1.00905868,0.61082599,1
79.jpg,0.371276324,32,0.87293645,98.48241022,1.011357729,0.679262995,1
80.jpg,0.405824589,30,0.360384434,35723.74362,1.009098121,0.877785084,0
81.jpg,0.629967492,36,0.999982566,0.365029116,1.002786189,0.111270964,1
82.jpg,0.201377925,34,0.009302818,19867.42411,0.033313667,0.970453754,0
83.jpg,0.21739433,38,0.916657696,2283.818236,1.011437713,0.714277316,0
84.jpg,0.651255373,32,0.998414998,0.071295324,1.001357409,0.295124871,0
85.jpg,0.324522361,38,0.188033589,4381.684735,0.424946438,0.911733237,0
86.jpg,0.612213314,26,0.998420607,3.219327481,1.007805725,0.308428582,1
87.jpg,0.457285446,36,0.999828058,1.529485379,1.009951079,0.231755088,1
