file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1,0,
1.jpg,0.315798357,8,0.999478855,0,1,0.374614449,1
2.jpg,0.2573763,10,0.997685925,0,1,0.568502044,1
3.jpg,0.579851357,10,0.99963779,3.55E-15,0.99999994,0.333861333,1
4.jpg,0.231329501,30,0.999425207,0,1,0.373829144,1
5.jpg,0.267575851,28,1,0,1,0,1
6.jpg,0.282045435,22,1,0,1,0,1
7.jpg,0.242200318,30,0.999972676,0,1,0.195900531,1
8.jpg,0.344951548,6,0.998024619,0,1,0.354472213,1
9.jpg,0.177756992,30,0.994715906,3.55E-15,0.99999994,0.631039848,1
10.jpg,0.510395425,8,0.996332697,0,1,0.553705495,1
11.jpg,0.269063872,36,1,0,1,0,1
12.jpg,0.248119899,28,0.999798105,3.55E-15,0.99999994,0.309914503,1
13.jpg,0.435044709,4,0.999088765,0,1,0.406683226,1
14.jpg,0.201296702,32,0.999953508,0,1,0.21141807,1
15.jpg,0.277524447,12,0.999989482,0,1,0.174433449,1
16.jpg,0.402142951,4,0.999809979,3.55E-15,0.99999994,0.368061837,1
17.jpg,0.218713696,30,0.999999022,0,1,0.0719217658,1
18.jpg,0.247443001,32,0.999874039,0,1,0.321696441,1
19.jpg,0.287579445,10,0.997754849,0,1,0.428211023,1
20.jpg,0.198998759,34,1,0,1,0,1
21.jpg,0.186833979,32,0.999540931,0,1,0.40365268,1
22.jpg,0.15208595,32,1,0,1,0,1
23.jpg,0.296569709,8,0.9992613,0,1,0.436939215,1
24.jpg,0.289121905,14,0.999053227,0,1,0.313285288,1
25.jpg,0.206422567,34,0.999963397,0,1,0.219074026,1
26.jpg,0.25499967,24,0.999414333,0,1,0.413653633,1
27.jpg,0.21581285,36,0.999806663,3.55E-15,0.99999994,0.353131904,1
28.jpg,0.304586666,12,0.999348112,0,1,0.413997616,1
29.jpg,0.236447565,38,0.999871467,3.55E-15,0.99999994,0.256567909,1
30.jpg,0.259805546,14,0.999550908,0,1,0.428418796,1
31.jpg,0.50971456,8,0.999579372,0,1,0.39163449,1
32.jpg,0.471114842,8,0.998363294,0,1,0.516358377,1
33.jpg,0.189006423,32,1,0,1,0,1
34.jpg,0.301907472,10,0.999944742,0,1,0.28169261,1
35.jpg,0.41084069,10,0.999190564,0,1,0.45764461,1
36.jpg,0.28123823,10,0.999516382,0,1,0.405025368,1
37.jpg,0.143490668,32,0.998171342,0,1,0.493366344,1
38.jpg,0.710682008,0,1,0,1,0,1
39.jpg,0.441354874,10,0.999935814,0,1,0.23384145,1
40.jpg,0.236182406,28,1,0,1,0,1
41.jpg,0.319470653,12,0.999493644,3.55E-15,0.99999994,0.38397796,1
42.jpg,0.524520224,10,0.999638134,3.55E-15,0.99999994,0.36497936,1
43.jpg,0.591918056,2,0.999855295,0,1,0.342972138,1
44.jpg,0.279721286,14,0.999742186,3.55E-15,0.99999994,0.377286515,1
45.jpg,0.305725168,8,0.999453757,0,1,0.446790563,1
46.jpg,0.242642464,30,1,0,1,0,1
47.jpg,0.21701451,34,1,0,1,0,1
48.jpg,0.208193044,30,0.99985479,0,1,0.3079725,1
49.jpg,0.636695057,2,0.999901236,0,1,0.246750641,1
50.jpg,0.295647508,12,0.999756563,3.55E-15,0.99999994,0.35784935,1
51.jpg,0.216712426,32,0.999910927,0,1,0.228642886,1
52.jpg,0.280843885,12,1,0,1,0,1
53.jpg,0.51847644,8,0.999192301,0,1,0.43597333,1
54.jpg,0.333762636,14,0.999564869,0,1,0.406906094,1
55.jpg,0.220304413,32,0.999742542,3.55E-15,0.99999994,0.370005959,1
