file,ssi,hash,cor,chi,inter,bha,TF
0.JPG,1,0,1,0,9.490514084,0,
1.jpg,0.170163378,32,0.603675963,10.13959403,1.037311599,0.798661798,1
2.png,0.133553757,46,0.608446425,8.327899353,1.214435396,0.668150319,1
3.jpg,0.166807953,38,0.601343726,8.460070564,1.018461373,0.810685855,1
4.jpg,0.186005988,30,0.603776443,8.442022868,1.057004742,0.785277464,1
5.png,0.162480101,34,0.602977922,8.467778753,1.031694501,0.805937196,1
6.png,0.162532961,44,0.601652404,8.481728598,1.025989729,0.812100278,1
7.png,0.143555835,28,0.60229438,8.440295931,1.077603222,0.758347989,1
8.jpg,0.168191921,36,0.610004707,9.102702029,1.102077132,0.76047641,1
9.jpeg,0.169080445,40,0.601539789,36.34557966,1.018359513,0.814276941,1
10.jpg,0.135311577,34,0.602643614,11.33938535,1.070952315,0.768113345,1
11.jpg,0.167761446,26,0.616382659,10.01332176,1.14499212,0.777092818,1
12.jpg,0.177030668,28,0.606799405,11.52626476,1.063553223,0.77453562,1
13.png,0.159933088,32,0.605276301,8.528782816,1.032883198,0.78458284,1
14.jpg,0.158022533,30,0.602383077,8.428572568,1.043603492,0.78201998,1
15.jpg,0.135534825,40,0.606446001,8.337083436,1.089696151,0.719952373,1
16.jpg,0.1455178,26,0.60687956,8.359590454,1.114581377,0.733923793,1
17.png,0.170050591,40,0.601205279,9.609718114,1.03935653,0.810631816,1
18.jpeg,0.149892063,34,0.603009715,9.881604629,1.087456312,0.790793893,1
19.jpg,0.154617571,32,0.602293985,9.183615298,1.025732684,0.802184425,1
20.jpg,0.160489918,32,0.609667033,8.564214469,1.054215688,0.808836079,1
21.jpg,0.184225224,24,0.607801591,8.591862313,1.033283202,0.801965481,1
22.jpg,0.173087325,30,0.602071398,8.496372632,1.011638335,0.809157866,1
23.jpg,0.165908422,30,0.602528134,8.753050104,1.032217377,0.784145285,1
24.png,0.185698995,34,0.601207956,8.488758384,1.001421656,0.823169431,1
25.jpeg,0.139554832,32,0.601788353,9.507935314,1.040284219,0.810498414,1
26.jpg,0.1326096,38,0.615943917,8.368791887,1.126353096,0.719884866,1
27.png,0.162499541,28,0.601576861,8.484673082,1.016016368,0.815785373,1
28.png,0.170680828,30,0.601189353,8.46896418,1.014544362,0.817710891,1
29.jpg,0.176133021,32,0.600424137,22.28029234,1.008106238,0.81839154,1
30.png,0.148739861,36,0.601293743,8.725954279,1.00048679,0.822360678,1
31.jpg,0.153219234,40,0.605554496,8.426350742,1.078301209,0.761183959,1
32.jpg,0.171166918,30,0.604741701,8.553516768,1.079350119,0.773752851,1
33.jpg,0.149346435,36,0.601324391,8.490514084,1,0.821824224,1
34.jpg,0.161921799,26,0.603293045,9.52037358,1.073191687,0.745574874,1
35.jpg,0.174588627,32,0.60636216,8.588102034,1.054504626,0.778516235,1
36.png,0.143484628,30,0.604785194,8.495636041,1.143806677,0.788141188,1
37.jpg,0.17561728,32,0.605471554,8.394069196,1.063432794,0.761612418,1
38.jpg,0.160757238,28,0.604284632,8.600946027,1.079963169,0.786854009,1
39.jpg,0.147213834,32,0.603608096,9.390024423,1.052399167,0.769709822,1
40.jpg,0.142690188,42,0.604406073,16.19486803,1.058381596,0.7803431,1
41.png,0.176893679,36,0.605513845,8.541131184,1.015651328,0.811048658,1
42.jpg,0.156150981,32,0.118084558,915.8049207,0.280916524,0.89416516,1
43.png,0.188501419,32,0.602171852,8.474603711,1.009105367,0.805561415,1
44.jpg,0.148011543,26,0.605182992,8.502363119,1.066780212,0.788158299,1
45.png,0.188074466,26,0.601324391,8.490514084,1,0.821824224,1
46.jpg,0.13182928,38,0.603052161,8.550270696,1.102250371,0.785604286,1
47.jpg,0.165991195,20,0.617025688,8.620918215,1.105001431,0.762046809,1
48.jpg,0.0956865808,30,0.601248991,8.516607418,1.029588801,0.818085728,1
49.jpg,0.176396959,30,0.603164709,8.614097152,1.045093323,0.777707229,1
50.jpg,0.136508203,32,0.610041848,14.41312098,1.113575271,0.778783604,1
51.jpg,0.167220783,22,0.601882095,8.425626676,1.045924892,0.77723216,1
52.png,0.155468038,36,0.564463261,492.3095149,1.051518602,0.831780032,1
53.jpg,0.187890077,34,0.602775447,8.90277727,1.097242397,0.784640931,1
54.jpg,0.177655411,26,0.547757776,13.76318115,1.229995105,0.792769866,1
55.jpg,0.103911953,24,0.616128554,9.536031107,1.145952925,0.77651704,1
56.png,0.154300044,30,0.60510787,8.587680028,1.042812094,0.804545049,1
57.jpg,0.194881331,32,0.602135174,8.468135598,1.012863815,0.803559679,1
58.jpg,0.21190686,32,0.60302859,8.526632664,1.052140613,0.760126291,1
59.png,0.144890746,32,0.601386144,8.789189174,1.016026706,0.810083272,1
