file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1.375460037,0,
1.jpg,0.404570443,26,0.998522991,0.375460037,1,0.383848617,0
2.jpg,0.462015486,22,0.999611193,0.254002045,1.270436403,0.205278328,1
3.jpg,0.348316973,24,0.993041194,1.917129088,1.18388279,0.373231607,1
4.jpg,0.354887741,20,0.999758644,0.23596499,1.263599158,0.228352798,1
5.jpg,0.545069824,14,0.999727004,0.24493425,1.259180241,0.192147127,1
6.jpg,0.756905233,22,0.998682514,0.558759235,1.1655024,0.371158623,1
7.jpg,0.84728269,2,0.999979336,0.0625574625,1.335857113,0.104460886,1
8.jpg,0.7659295,2,0.999860587,0.149833306,1.270388599,0.202702377,1
9.jpg,0.374952031,22,0.998651658,2.391124522,1.132400535,0.307755239,1
10.jpg,0.404570443,26,0.998522991,0.375460037,1,0.383848617,0
11.jpg,0.298003357,36,0.998761015,0.701951061,1.22851824,0.315634715,1
12.jpg,0.298003357,36,0.998761015,0.701951061,1.22851824,0.315634715,1
13.jpg,0.322492397,30,0.998899823,1.209256565,1.106616638,0.336412264,1
14.jpg,0.460606187,20,0.999895076,0.186462346,1.309259099,0.164671958,1
15.jpg,0.186850956,32,0.947949499,42.23970897,1.182447065,0.663251032,0
16.jpg,0.54388109,28,0.998812313,2.250985508,1.07986349,0.351037152,1
17.jpg,0.373077896,24,0.998525902,0.420741189,1.00344415,0.374842521,1
18.jpg,0.252082833,38,0.998913215,0.432067946,1.107426752,0.304292942,1
19.jpg,0.0869567881,20,0.999262463,0.199798195,1.138329997,0.180129349,1
20.jpg,0.199724839,42,0.985699175,59.98409308,1.172656311,0.53818185,0
21.jpg,0.449126971,14,0.998397866,1.859816499,1.220842727,0.321340666,1
22.jpg,0.672388779,22,0.998893186,0.361234888,1.154882238,0.377722834,1
23.jpg,0.322492397,30,0.998899823,1.209256565,1.106616638,0.336412264,1
24.jpg,0.555705282,30,0.998382425,1.065572671,1.136616051,0.421176208,1
25.jpg,0.676744063,8,0.999793705,0.198458641,1.268566136,0.181814837,1
26.jpg,0.348369291,32,0.996864439,13.04713249,1.155168558,0.488627594,1
27.jpg,0.389735341,16,0.999357509,0.726826502,1.215207473,0.205804215,1
28.jpg,0.629052279,40,0.999008757,1.713376445,1.139433506,0.383071832,1
29.jpg,0.465126087,12,0.999554575,0.38990469,1.209156221,0.25947139,1
30.jpg,,,,,,,
31.jpg,0.910283128,10,0.999894973,0.123826739,1.308148536,0.195624537,1
32.jpg,0.394605966,28,0.9987722,1.184112016,1.090911737,0.450581402,1
33.jpg,0.460606187,20,0.999895076,0.186462346,1.309259099,0.164671958,1
34.jpg,0.634789154,32,0.997866441,1.261975673,1.157571118,0.415307999,1
35.jpg,0.273130369,26,0.965839077,148.0895532,1.131879832,0.575537348,0
36.jpg,0.22806125,22,0.999468767,0.158690906,1.182576742,0.148546018,1
37.jpg,0.143453929,36,0.517784302,591.417852,0.799818014,0.712463143,0
38.jpg,0.235070401,34,0.957851815,64.0951001,1.174404805,0.514810483,0
39.jpg,0.186850956,32,0.947949499,42.23970897,1.182447065,0.663251032,0
40.jpg,0.54388109,28,0.998812313,2.250985508,1.07986349,0.351037152,1
41.jpg,0.373077896,24,0.998525902,0.420741189,1.00344415,0.374842521,1
42.jpg,0.252082833,38,0.998913215,0.432067946,1.107426752,0.304292942,1
43.jpg,0.0869567881,20,0.999262463,0.199798195,1.138329997,0.180129349,1
44.jpg,0.199724839,42,0.985699175,59.98409308,1.172656311,0.53818185,0
45.jpg,0.462015486,22,0.999611193,0.254002045,1.270436403,0.205278328,1
46.jpg,0.449126971,14,0.998397866,1.859816499,1.220842727,0.321340666,1
47.jpg,0.672388779,22,0.998893186,0.361234888,1.154882238,0.377722834,1
48.jpg,0.555705282,30,0.998382425,1.065572671,1.136616051,0.421176208,1
49.jpg,0.676744063,8,0.999793705,0.198458641,1.268566136,0.181814837,1
50.jpg,0.348369291,32,0.996864439,13.04713249,1.155168558,0.488627594,1
51.jpg,0.389735341,16,0.999357509,0.726826502,1.215207473,0.205804215,1
52.jpg,0.629052279,40,0.999008757,1.713376445,1.139433506,0.383071832,1
53.jpg,0.465126087,12,0.999554575,0.38990469,1.209156221,0.25947139,1
54.jpg,0.352685947,36,0.998865549,0.488090833,1.079831781,0.356509309,1
55.jpg,0.820767881,4,0.999853393,0.189628448,1.283768163,0.17952788,1
56.jpeg,0.326225018,30,0.998508485,1.140960333,1.044727112,0.356988849,1
57.jpg,0.348316973,24,0.993041194,1.917129088,1.18388279,0.373231607,1
58.jpg,0.194764063,28,0.993116785,15.20831809,1.181485201,0.468032923,0
59.jpg,0.719062777,30,0.998522991,0.375460037,1,0.383848617,1
60.jpg,,,,,,,
61.jpg,0.910283128,10,0.999894973,0.123826739,1.308148536,0.195624537,1
62.jpg,0.108085848,34,0.865139234,1958.547138,1.191325213,0.698648399,0
63.jpg,0.394605966,28,0.9987722,1.184112016,1.090911737,0.450581402,1
64.jpg,0.12893416,32,-0.00289322536,8.908625556,0.0218293822,0.988850786,0
65.jpg,0.862370633,4,0.999728569,0.323098056,1.250264856,0.192573878,1
66.jpg,0.166138185,36,0.847895568,685.2069649,1.144015314,0.785652861,0
67.jpg,0.105502475,32,0.251961043,32555.48253,1.225303526,0.880602273,0
68.jpg,0.354887741,20,0.999758644,0.23596499,1.263599158,0.228352798,1
69.jpg,0.0850953246,32,0.526142204,23269.63085,1.129402556,0.843444094,0
70.jpg,0.634789154,32,0.997866441,1.261975673,1.157571118,0.415307999,1
71.jpg,0.273130369,26,0.965839077,148.0895532,1.131879832,0.575537348,0
72.jpg,0.22806125,22,0.999468767,0.158690906,1.182576742,0.148546018,1
73.jpg,0.143453929,36,0.517784302,591.417852,0.799818014,0.712463143,0
74.jpg,0.235070401,34,0.957851815,64.0951001,1.174404805,0.514810483,0
75.jpg,0.140727091,30,0.998632267,1.515163698,1.058444313,0.366002505,0
76.jpg,0.119795231,26,0.512558857,1818.612812,1.124552731,0.831555189,0
77.jpg,0.218691055,34,0.00382251753,2585.494914,0.141561593,0.939549128,0
78.jpg,0.468244946,30,-0.000323674885,5247.578962,0.0250561616,0.972608434,0
79.jpg,0.545069824,14,0.999727004,0.24493425,1.259180241,0.192147127,1
80.jpg,0.790568275,22,0.999029461,0.451322067,1.113908578,0.337151233,1
81.jpg,0.172173623,32,-0.00199255889,36951.3612,0.0376295646,0.97207671,0
82.jpg,0.0329130512,34,0.167582613,283739.3829,1.292509402,0.845848234,0
83.jpg,0.297521935,36,0.998838135,0.482811192,1.242956901,0.304736107,1
84.jpg,0.374952031,22,0.998651658,2.391124522,1.132400535,0.307755239,1
85.jpg,0.7659295,2,0.999860587,0.149833306,1.270388599,0.202702377,1
86.jpg,0.253418685,38,0.998837418,0.506493385,1.090925583,0.314684839,1
87.jpg,0.325442474,38,0.990208499,2.299579247,1.137071802,0.308262101,1
88.jpg,0.462015486,22,0.999611193,0.254002045,1.270436403,0.205278328,1
89.jpg,0.0869567881,20,0.999262463,0.199798195,1.138329997,0.180129349,1
90.jpg,0.227825206,40,0.996881067,9.285414236,1.347636327,0.32180702,1
91.jpg,0.756905233,22,0.998682514,0.558759235,1.1655024,0.371158623,1
92.jpg,0.676744063,8,0.999793705,0.198458641,1.268566136,0.181814837,1
