file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,4.122014046,0,
1.jpg,0.778362583,6,0.972397834,3.051907068,3.391184753,0.236128327,1
2.jpg,0.536097863,12,0.934651587,3.868959212,2.765920154,0.373379239,1
3.jpg,0.168435593,22,0.944154224,2.789634856,1.344812397,0.443591207,1
4.jpg,0.249144107,22,0.939086874,4.248276054,1.250307405,0.55023057,0
5.jpg,0.237790943,28,0.519361848,686.1834762,1.634075507,0.668117331,0
6.jpg,0.098539329,28,0.938104064,11.7271284,1.182759059,0.64167137,1
7.jpg,0.351509458,20,0.965960737,3.033157255,1.869904856,0.375183952,0
8.jpg,0.273924217,26,0.977232675,1.743881686,2.238939987,0.390516678,1
9.jpg,0.43349132,16,0.944636454,67.62891805,2.961465204,0.413636598,1
10.jpg,0.416803477,14,0.962028328,13.03199893,2.52267317,0.428245809,1
11.jpg,0.301753943,34,0.648069598,14160.11819,1.289838367,0.725200672,0
12.jpg,0.228952811,16,0.939989192,6.727448259,1.616661295,0.529869488,1
13.jpg,0.225965325,32,0.939533774,2.99952379,1.105804382,0.560423821,1
14.jpg,0.314289382,40,0.911029678,4.693081056,1.384224069,0.596130585,0
15.jpg,0.280256007,14,0.94260798,4.93119993,1.19682174,0.60651936,1
16.jpg,0.329991369,24,0.974177422,1.440511954,2.421269184,0.256314048,1
17.jpg,0.28019814,22,0.964206582,41.99722482,2.45166903,0.331248605,1
18.jpg,0.795428537,4,0.974652389,3.440142056,3.584319568,0.220601505,1
19.jpg,0.185950293,22,0.939947697,3.012165275,1.066324881,0.655107432,1
20.jpg,0.131268567,30,0.019325989,134037.9856,1.28394,0.862487266,0
21.jpg,0.104540876,28,0.938075255,3.48073877,1.043498434,0.693154667,0
22.jpg,0.15078136,34,0.937784763,3.122014046,1,0.712359274,0
23.jpg,0.675970802,14,0.971041885,289.4609885,2.719837409,0.434240711,1
24.jpg,0.457788442,16,0.954264805,14.81315029,2.892681662,0.393399337,1
25.jpg,0.54698672,16,0.946809509,27.9559561,2.728833044,0.419731969,1
26.jpg,0.381509063,16,0.964969201,21.27575736,1.921030912,0.469972597,1
27.jpg,0.455861452,18,0.960317647,8.234043092,1.847748096,0.418976254,1
28.jpg,,,,,,,0
29.jpg,0.571553726,8,0.963614656,40.82327866,3.126861856,0.317571043,1
30.jpg,0.232196517,26,0.960372267,2.068772795,1.70967487,0.349458683,1
31.jpg,0.203786892,28,0.937686784,16.18971589,1.108451939,0.674220049,0
32.jpg,0.155618973,22,0.937808424,3.12699843,1.010869934,0.701280972,0
33.jpg,0.316584303,30,0.960052554,9.174496717,3.241405545,0.29993418,1
34.jpg,0.191626291,46,0.937784763,3.122014046,1,0.712359274,0
35.jpg,0.086201139,32,0.035623465,11982.9281,1.116078282,0.792744411,0
36.jpg,0.201721906,24,0.928397399,56.97412161,1.089274519,0.709568047,0
37.jpg,0.157768301,24,-0.000803715,2690.865325,0.295374664,0.906820266,0
38.jpg,0.350871233,34,0.88199966,32.79530341,3.820990368,0.294090134,0
39.jpg,0.20729538,32,0.976822712,2.112524261,2.75056955,0.308142732,0
40.jpg,0.154069959,30,0.060414852,8819.667584,0.297377578,0.886499891,0
41.jpg,0.199765168,28,0.919041414,109.9749629,1.747012097,0.621031738,0
42.jpg,0.161089793,34,0.907291442,570.706383,1.550416972,0.729184664,0
43.jpg,0.147747887,36,0.95565236,14.97255012,2.101107005,0.420042206,0
44.jpg,0.352316039,26,0.959442323,15.17218568,1.753173761,0.464267467,1
45.jpg,0.176243516,38,0.825221003,97.60045842,1.436512076,0.718336624,0
46.jpg,0.126336931,28,0.865395433,1438.805338,1.515651548,0.740140268,0
47.jpg,0.231611413,32,0.027075888,80835.09805,0.716469515,0.86862447,0
48.jpg,0.564969882,18,0.967908227,5.951729315,2.575287449,0.335682506,1
49.jpg,0.152323828,38,0.938043814,5.751257677,1.065733095,0.648833519,0
50.jpg,0.40192109,16,0.957066782,69.59157773,2.341955837,0.452026588,1
51.jpg,0.386565294,12,0.964969825,25.55265264,2.145613845,0.447879009,1
52.jpg,0.07977927,32,0.004992769,106754.7452,1.068869399,0.88651286,0
53.jpg,0.508730741,22,0.958022677,31.42677732,2.493419835,0.413134956,1
54.jpg,0.167202081,30,0.26240758,7966.181007,1.673910926,0.744263281,0
55.jpg,0.218080826,28,0.177670077,118078.1635,2.343163256,0.754744489,0
56.jpg,0.733515292,6,0.974008445,32.55397051,3.261560249,0.273157674,1
57.jpg,0.247471229,26,0.417395536,141.9077497,2.20118425,0.491390954,1
58.jpg,0.144653839,30,0.203183286,328.2357216,0.654633507,0.719606401,1
59.jpg,0.273745465,24,0.9379854,11.70696381,1.153754355,0.632624272,0
