file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,10.85499906,0,
1.jpg,,,,,,,
2.jpg,0.635992642,14,0.972876159,45.96870194,7.98524431,0.304599669,1
3.jpg,0.590885151,12,0.849466327,1755.877496,7.599914593,0.381134009,1
4.jpg,0.653005808,14,0.760703998,128.3773986,7.622681702,0.405932809,1
5.jpg,0.541175084,18,0.682747775,64.46997298,4.620770112,0.429851721,1
6.jpg,0.376610314,22,0.569691342,1140.429276,4.334324873,0.616823847,1
7.jpg,0.564127068,18,0.794270548,6138.322336,7.039798189,0.505502659,1
8.jpg,0.596347255,20,0.780161255,201.5219122,8.402681954,0.379321143,1
9.jpg,0.714530556,6,0.960870085,29.5273718,8.360740311,0.292578628,1
10.jpg,0.213292019,24,0.00278091432,9133.811452,1.799872715,0.809997607,1
11.jpg,0.619065895,14,0.408581324,683.2000591,3.977473744,0.515344603,1
12.jpg,0.60114761,18,0.227023053,520.4737421,2.499152726,0.713101067,1
13.jpg,0.428033193,18,0.320311147,81.06085025,3.120712705,0.601298368,1
14.jpg,0.364409641,20,0.0177900522,2628.224243,2.291114943,0.758153502,1
15.jpg,0.543991314,18,0.208132875,188.7788506,5.520446573,0.504523134,1
16.jpg,0.353258683,22,9.97E-05,1058.121095,0.770626872,0.870450282,1
17.jpg,0.413470275,20,0.602132902,1773.561787,6.998481762,0.461348844,1
18.jpg,0.237172691,24,-0.00352457121,14087.94494,0.201510883,0.948440949,1
19.jpg,0.506118995,16,-0.00236974942,59823.52551,1.655998201,0.865473408,1
20.jpg,0.615550522,8,0.90056619,166.623131,8.182446653,0.403886186,1
21.jpg,0.662928846,18,0.113639694,24.93123069,2.60697261,0.547243986,1
22.jpg,0.215236016,22,0.0815266421,8593.180685,5.39476226,0.660383528,1
23.jpg,0.30114196,16,0.0453472336,7245.725834,2.942758726,0.727907031,1
24.jpg,0.63804707,18,0.868911094,206.9641397,4.908505129,0.452573144,1
25.jpg,0.500604268,24,0.946372499,182.231503,7.674937636,0.328302678,1
26.jpg,0.747016811,6,0.948439441,246.7558605,7.957938618,0.352235627,1
27.jpg,0.459591804,26,0.442398544,2346.25261,7.23701881,0.544507408,1
28.jpg,0.514596671,14,0.127638012,321.79958,2.262894976,0.623049862,1
29.jpg,0.494306064,12,0.292632501,109.029871,5.933005517,0.455425787,1
30.jpg,0.62879702,20,0.91159,819.2407316,7.620082015,0.471292667,1
31.jpg,0.230122241,20,0.0623029612,12132.2727,2.620879672,0.785759986,1
32.jpg,0.663020346,14,0.903708654,203.0506037,8.504482997,0.30128781,1
33.jpg,0.67265426,14,0.873717153,87.77772624,9.16717443,0.305374368,1
34.jpg,0.549584503,18,0.665690061,5612.306053,8.675597329,0.524463003,1
35.jpg,0.459940178,16,0.185256404,75.40558433,1.743740815,0.648553036,1
36.jpg,0.312895559,22,0.0433833001,5669.953635,0.64514896,0.887468612,1
37.jpg,0.680090557,14,0.777234713,46.2211125,7.964341922,0.346846057,1
38.jpg,0.658718638,16,0.901915594,194.4765235,7.614852854,0.365525992,1
39.jpg,0.280823905,22,-0.00111679548,61132.18626,0.564579764,0.936229285,1
40.jpg,0.550807055,18,0.160193097,2423.088575,6.442224851,0.572498731,1
41.jpg,0.289985615,22,-0.00240322603,113095.4012,3.236710288,0.830000738,1
42.jpg,0.137077647,26,0.0206395708,1730.589995,1.166647746,0.782453208,1
43.jpg,0.522665912,10,0.337965872,501.9183043,6.29777017,0.505964374,1
44.jpg,0.655899994,10,0.848413731,1284.020546,7.741180591,0.416394947,1
