file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,6.413043194,0,
1.jpg,0.960543036,2,0.980734291,0.630132641,5.909881174,0.119614938,1
2.jpg,0.959707322,4,0.981559594,0.694613269,5.896722809,0.120582399,1
3.jpg,0.957276432,2,0.978144928,0.653827465,5.870368325,0.125862169,1
4.jpg,0.955349246,2,0.977919773,0.658194955,5.866923215,0.126343134,1
5.jpg,0.935132791,4,0.975315054,0.906908772,5.839897571,0.139958666,1
6.jpg,0.944326976,4,0.977926626,0.710249619,5.879206148,0.12479589,1
7.jpg,0.9497733,4,0.977571426,0.784561487,5.831414594,0.131795329,1
8.jpg,0.957616572,2,0.982155101,0.619659353,5.912822113,0.115900209,1
9.jpg,0.96167563,2,0.98479697,0.609688722,5.93076195,0.111439993,1
10.jpg,0.957282805,4,0.981897222,0.667135667,5.896134104,0.117912128,1
11.jpg,0.945304933,4,0.977364505,0.701634681,5.830904579,0.127791023,1
12.jpg,0.949224595,4,0.977591281,0.666842527,5.871819031,0.127869393,1
13.jpg,0.92625884,4,0.975419512,0.862638312,5.882775407,0.133135709,1
14.jpg,0.954790006,2,0.977047858,0.651738239,5.885026285,0.128503783,1
15.jpg,0.795736635,6,0.928765512,10.75040955,5.380206808,0.243005995,1
16.jpg,0.946141403,4,0.976494572,0.902322222,5.845092557,0.135651755,1
17.jpg,0.936936808,4,0.978264111,0.805948857,5.850940678,0.128541439,1
18.jpg,0.916459036,2,0.967138407,1.000329613,5.837856419,0.14692329,1
19.jpg,0.925237007,8,0.975935348,0.862616276,5.788377365,0.133061473,1
20.jpg,0.892256965,4,0.970608126,0.910627542,5.855268977,0.135143919,1
21.jpg,0.960211574,2,0.981232873,0.596619284,5.908424405,0.116975699,1
22.jpg,0.959302224,4,0.983572655,0.552027953,5.912278099,0.1112637,1
23.jpg,0.966750494,2,0.985838061,0.461285707,5.920206835,0.102468157,1
24.jpg,0.277494703,30,0.967172308,1.487615328,5.948684819,0.146082543,1
25.jpg,0.83163126,22,0.971163812,18.0912392,5.314484213,0.250468737,1
26.jpg,0.943841229,2,0.975538092,0.866144284,5.804385396,0.138838806,1
27.jpg,0.942551946,6,0.975677209,0.757415757,5.978252442,0.125326939,1
28.jpg,0.959098779,4,0.97993667,0.59364908,5.879728501,0.11928975,1
29.jpg,0.957105786,2,0.981601878,0.657542877,5.905669527,0.120100758,1
30.jpg,0.943790556,2,0.972790449,0.894632222,5.792255479,0.147538879,1
31.jpg,0.946830471,4,0.97788399,0.799810416,5.836854445,0.128589367,1
32.jpg,0.96057781,2,0.980157289,0.592923319,5.915953465,0.119306425,1
33.jpg,0.927662598,6,0.974579283,0.883012995,5.947835258,0.133578606,1
34.jpg,0.958329194,2,0.979923717,0.589718214,5.886105128,0.119440585,1
35.jpg,0.932055626,6,0.977610313,0.80262746,5.853860024,0.129276474,1
36.jpg,0.945757089,2,0.976615952,0.875534832,5.819833459,0.136284944,1
37.jpg,0.93734334,2,0.973309367,1.018413802,5.827568948,0.148282257,1
38.jpg,0.946645952,4,0.976458718,0.682912313,5.854748325,0.130274073,1
39.jpg,0.952024223,2,0.977343785,0.744927798,5.836178493,0.130964688,1
40.jpg,0.950920475,2,0.979092219,0.679336645,5.872204082,0.124730734,1
41.jpg,0.955778204,4,0.977450631,0.66563024,5.839364571,0.12782911,1
42.jpg,0.956230615,4,0.978588262,0.648538658,5.859228429,0.124890791,1
43.jpg,0.957722713,4,0.978048517,0.610971105,5.87372545,0.124387928,1
44.jpg,0.950763375,4,0.980268884,0.658159265,5.853883141,0.120921411,1
45.jpg,0.952019252,4,0.987063817,0.60612626,5.979343516,0.107067348,1
46.jpg,0.958660023,4,0.985885289,0.579647169,5.868089887,0.107917864,1
47.jpg,0.951313405,6,0.979715415,0.692212347,5.879219459,0.122787739,1
48.jpg,0.957929394,4,0.980013425,0.630549762,5.860201747,0.12051399,1
49.jpg,0.96281899,2,0.984521661,0.597736196,5.931414464,0.111124841,1
50.jpg,0.958165801,2,0.978461356,0.610697908,5.875038121,0.123379703,1
51.jpg,0.929608341,4,0.973474848,0.894837538,5.892890235,0.133553273,1
52.jpg,0.95313671,4,0.978136218,0.68355022,5.861597585,0.126385905,1
53.jpg,0.962971347,2,0.984104076,0.527547236,5.921019835,0.1086154,1
54.jpg,0.957321638,4,0.981101828,0.668703991,5.904487575,0.120127598,1
55.jpg,0.962386524,2,0.982314305,0.553444514,5.895277764,0.113370103,1
56.jpg,0.946017347,4,0.973682504,0.832221719,5.812374908,0.143953931,1
57.jpg,0.958708764,4,0.979553723,0.63353793,5.869444267,0.122622207,1
