file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1.017116738,0,
1.jpg,1,0,1,0,1.017116738,0,1
2.jpg,0.409983121,28,0.0167550749,424943.2418,0.0646930591,0.968248864,0
3.jpg,0.87385159,24,0.999922563,1.878410321,1.012450935,0.250489977,1
4.png,0.737040393,20,0.999744073,6.328070666,1.006110657,0.175361226,1
5.jpeg,0.724300574,18,0.999694384,3.349051832,1.009729219,0.170341963,1
6.jpg,0.66146489,30,0.999844995,19.58834025,1.004928671,0.170799261,1
7.png,0.589740534,22,0.997809736,35.44576879,1.011221186,0.340441232,1
8.jpg,0.71324307,24,0.999860302,1.11108958,1.007486111,0.168278943,1
9.jpg,0.94298154,14,0.999970011,0.229110232,1.006132295,0.0852610064,1
10.png,0.782104496,22,0.999997929,0.794056885,1.012242937,0.0624119691,1
11.jpeg,0.737466364,16,0.9999733,0.0791198682,1.005650153,0.0823643535,1
12.jpg,0.725169744,32,0.999694206,2.527088092,1.007235625,0.147232654,1
13.jpg,0.538975846,32,0.996127657,272.1182048,1.016001876,0.468494955,0
14.jpg,0.411176094,38,0.364234308,132978.917,0.645024194,0.863459748,0
15.jpg,0.425871853,36,0.997941038,265.3678087,1.017105162,0.514569569,1
16.jpg,0.718029019,24,0.999824963,3.328685254,1.01196561,0.236923113,1
17.jpg,0.731349624,18,0.999916972,1.03583958,1.008776294,0.14867037,1
18.jpg,0.731349624,18,0.999916972,1.03583958,1.008776294,0.14867037,1
19.jpg,0.481563843,24,0.997260566,87.40360405,1.016857176,0.460649405,1
20.jpg,0.562198048,24,0.998466917,10.7231676,1.016705489,0.36548673,1
21.png,0.639480387,20,0.999666104,15.2491427,1.010111553,0.271143535,1
22.webp,0.635548901,32,0.997609978,44.69143759,1.016653831,0.34259792,1
23.png,0.451646696,38,0.999630761,33.53182279,1.01413357,0.431662479,1
24.jpg,0.497265813,30,0.995820428,1650.710018,1.016169791,0.519097752,0
25.webp,0.692483484,32,0.998573108,83.76969795,1.016103911,0.273757623,1
26.jpg,0.188458579,26,0.409497903,347604.1471,0.907517746,0.903064306,0
27.png,0.643138265,28,0.99994571,1.781446167,1.004480446,0.292783124,1
28.jpg,0.67650225,24,0.999759872,1.989729309,1.011160136,0.198155823,1
29.png,0.712333898,26,0.999936644,4.997229548,1.008880172,0.181695968,1
30.png,0.652435817,36,0.999898958,2.46065263,1.009602752,0.232179289,1
31.png,0.621666277,34,0.999678507,23.81729051,1.007708069,0.305112323,1
32.png,0.724661293,28,0.99177023,209.2434361,1.006440599,0.322001799,1
33.jpg,0.704329752,28,0.999618081,16.50850925,1.011232004,0.243815203,1
34.png,0.689365777,30,0.99996536,10.44180823,1.010912344,0.157925649,1
35.jpg,0.162740572,30,0.192979518,2186570.628,0.825552618,0.936690648,0
36.png,0.638638565,30,0.999787549,21.36249323,1.008820907,0.251094049,1
37.png,0.618283754,24,0.999570427,14.27625555,1.013207004,0.261876916,1
38.jpg,0.253186025,32,0.0879245742,585581.4489,0.228757417,0.946377898,0
39.jpg,0.681180971,28,0.999969302,0.0704533871,1.003510484,0.101526198,1
40.png,0.606397434,22,0.999845803,10.89624358,1.009067716,0.269146801,1
41.png,0.714245836,26,0.999967379,2.517470315,1.010168558,0.183832064,1
42.png,0.624018724,30,0.999354375,121.1806147,1.009630846,0.332063673,1
43.jpg,0.561577697,34,0.999687944,11.51008574,1.013032354,0.296279775,1
44.jpg,0.561577697,34,0.999687944,11.51008574,1.013032354,0.296279775,1
45.png,0.737040393,20,0.999744073,6.328070666,1.006110657,0.175361226,1
46.jpg,0.203108034,30,0.171856549,554608.2474,0.317706392,0.921579847,0
