file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1.419421623,0,
2.jpg,0.441119921,24,0.989262582,2.747598613,1.338419054,0.2559208,1
3.jpg,0.59800456,20,0.999601801,0.255703942,1.184292551,0.185234454,1
4.jpg,0.564266564,28,0.999029319,3.454072511,1.236993844,0.300124524,0
5.jpg,0.536733581,20,0.002887078,1372.251554,0.088488199,0.914973403,1
6.jpg,0.476263415,32,0.882992261,2002.784184,1.273102742,0.432300825,1
7.jpg,0.360063093,32,0.994992431,1.099672553,1.283412793,0.225683683,0
8.jpg,0.348992939,26,0.224522404,50830.18587,0.833133583,0.778498913,1
9.jpg,0.657776849,24,0.999780441,0.223731436,1.222146893,0.192363149,0
10.jpg,0.431719678,34,0.998826225,1.217456893,1.144241276,0.335051198,1
11.jpg,0.637337306,26,0.009676981,204.3765449,0.197119239,0.834091794,1
12.jpg,0.269677762,24,0.989816931,1.97265584,1.349698472,0.23394498,1
13.jpg,0.450296323,38,0.854821852,5090.076233,1.059636366,0.582295626,0
14.jpg,0.518784431,30,0.999301952,0.403795929,1.06450591,0.333090923,1
15.jpg,0.337744234,32,0.004487583,8211.926071,0.272399471,0.864971887,1
16.jpg,0.708963844,14,0.998562589,6.268833497,1.109027433,0.350226372,0
17.jpg,0.622475029,14,0.997964605,1.365863492,1.040364268,0.352949298,1
18.jpg,0.574470327,16,0.984678969,2.157908925,1.30605842,0.255807452,0
19.jpg,0.2991315,32,0.898786959,149.5373528,1.081479297,0.675321755,0
20.jpg,0.625294814,26,0.560353499,1222.123259,0.858873202,0.631302013,1
21.jpg,0.563349779,18,0.899805686,601.2097271,1.106241944,0.602945343,1
22.jpg,0.384636073,30,0.941737747,182.2557678,1.317930168,0.436542409,0
23.jpg,0.528036158,28,0.003075439,9491.479919,0.103850136,0.913284582,1
24.jpg,0.476455555,36,0.998480578,0.413083974,1.089252866,0.321435213,1
25.jpg,0.370347685,24,0.973789252,313.4700974,1.254452579,0.44836809,0
26.jpg,0.219582142,22,0.995336597,63.16609372,1.253664479,0.576750093,1
27.jpg,0.301686284,24,0.056138393,1190.84743,0.352234479,0.834141519,1
28.jpg,0.292177825,26,0.998482673,0.472068472,1.067283376,0.341239236,1
29.jpg,0.300359892,30,0.998779196,1.310884263,1.210204229,0.297251087,0
30.jpg,,,,,,,0
31.jpg,0.588373608,16,0.998297448,9.01148288,1.183283846,0.429831436,0
32.jpg,0.428711861,32,0.001400132,13.25702995,0.096335193,0.941112158,1
33.jpg,0.500565325,36,0.979524304,41.95575156,1.096646712,0.521565668,0
34.jpg,0.466340616,28,0.809976553,14212.85574,1.110805285,0.599165389,0
35.jpg,0.53529986,30,-0.000645225,44014.8799,0.087648553,0.944828249,0
