file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,76.65705831,0,
1.jpg,,,,,,,
2.jpg,0.0754970317,22,0.49422057,54.44425205,13.84778202,0.377579854,1
3.jpg,1,0,1,0,76.65705831,0,
4.jpg,0.115164679,36,0.503927361,236.1144338,19.91328098,0.585275452,1
5.jpg,0.791342359,12,0.93377562,32.61591025,50.94820139,0.202686093,1
6.jpg,0.131114577,16,0.847363126,36.78795124,47.11575194,0.272895415,1
7.jpg,0.0636008446,34,0.0923711071,119.2757446,5.129997275,0.714385239,1
8.jpg,0.155223215,28,0.704388584,51.20890418,43.6172248,0.432306931,1
9.jpg,0.0576302525,32,0.614641272,107.3345529,34.79982495,0.46174194,1
10.jpg,0.135040513,22,0.24996287,67.7362595,6.197585501,0.527082211,1
11.jpg,0.122436317,24,0.643930814,47.12321709,24.10215434,0.397001154,1
12.jpg,0.111165802,20,0.92826697,25.66410018,63.50119049,0.206803239,1
13.jpg,0.35523565,16,0.86766653,32.54722656,38.11379394,0.251989627,1
14.jpg,0.0270114441,26,0.173443115,73.16805666,2.526316086,0.534111533,1
15.jpg,0.160370715,18,0.805586163,180.9915818,54.02835646,0.29988474,1
16.jpg,0.0740736638,30,0.301876767,71.03736164,3.874982103,0.585961605,1
17.jpg,0.0700600828,26,0.0666146178,732.7286168,9.015046685,0.807926389,1
18.jpg,0.0195114554,36,0.112706719,75.31708035,1.320833901,0.64590391,1
19.jpg,0.0524337315,36,0.427923176,91.40937329,10.15287466,0.612461722,1
20.jpg,0.786677759,18,0.940664869,21.12231401,61.73328692,0.216918473,1
21.jpg,0.920619771,2,0.965061211,16.20118517,68.54402588,0.156427553,1
22.jpg,0.114037777,20,0.0903818727,75.80635109,1.139966837,0.809048142,1
23.jpg,0.7690575,22,0.734488014,70.34913983,50.7516607,0.384115317,1
24.jpg,0.713268706,14,0.858565489,33.06243105,35.27083429,0.243055688,1
25.jpg,0.623974287,22,0.86318271,78.05003304,50.81129657,0.315448493,1
26.jpg,0.776922891,14,0.593424121,61.41832804,12.38286828,0.37960602,1
27.jpg,0.114931912,32,0.562732706,47.59112437,22.98766051,0.382221572,1
28.jpg,0.0835852237,26,0.291303494,68.90912759,5.383165892,0.61068884,1
29.jpg,0.11170649,18,0.895612575,21.37457057,52.0899793,0.239145705,1
30.jpg,0.224240097,16,0.484501391,62.00699968,8.545694564,0.289579735,1
31.jpg,0.0951051233,16,0.757826656,51.70996384,35.47506717,0.340415041,1
32.jpg,0.922852904,4,0.851722458,26.77200978,60.16586077,0.324201305,1
33.jpg,0.0684960799,24,0.523300386,56.62931152,14.74269724,0.406645961,1
34.jpg,0.917428988,4,0.841491908,28.11375592,60.85174193,0.322414558,1
35.jpg,0.385314304,18,0.675062678,143.6207302,42.53264087,0.384862677,1
36.jpg,0.527461468,12,0.739161685,43.50607625,32.53492374,0.345476273,1
37.jpg,0.106975819,28,0.3052974,517.9286923,17.91726854,0.6032807,1
38.jpg,0.114867936,26,0.445207184,180.761091,24.86972884,0.537822577,1
39.jpg,0.0542452938,20,0.459888527,66.3679361,10.66299638,0.497885394,1
40.jpg,0.296688359,16,0.431839704,64.00042651,7.438376211,0.35839551,1
41.jpg,0.792019937,16,0.587207176,58.91358215,10.62536286,0.372402595,1
42.jpg,0.115130054,30,0.46571703,63.83579777,12.80076612,0.56969051,1
43.jpg,0.122818755,24,0.880908667,30.92167809,55.246474,0.247177655,1
44.jpg,0.376942471,18,0.926165279,31.1402996,61.5364858,0.215762221,1
45.jpg,0.0745830803,28,0.157149991,73.78118367,2.604925271,0.724614404,1
46.jpg,0.109599956,30,0.490286568,73.0659687,21.2044983,0.472411772,1
47.jpg,0.031647281,28,0.0931622759,135.7372687,6.021456504,0.685182141,1
48.jpg,0.0921573109,30,0.685134676,47.89083623,19.53060481,0.329158672,1
49.jpg,0.0880447127,30,0.0935387893,114.4326695,1.643111754,0.768947235,0
50.jpg,0.0862200627,34,0.0942471279,93.38521557,1.384401017,0.783856983,0
51.jpg,0.0899929188,40,0.0701436556,327.0752527,3.887765963,0.699712862,1
52.jpg,0.692377043,22,0.831726538,36.27168092,34.01293054,0.252407225,1
53.jpg,0.545144106,6,0.788314781,68.82147407,43.63556162,0.309259583,1
54.jpg,0.470252888,4,0.810831608,35.0722969,32.72834193,0.254848138,1
55.jpg,0.0909893135,16,0.291558699,66.67605142,6.455434641,0.495380085,1
56.jpg,0.0467690851,22,0.0509664629,87.20818948,0.959453379,0.891765503,0
57.jpg,0.0594334403,30,0.133168792,75.02054378,1.419739257,0.573288559,1
