file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,9.980836481,0,
1.jpg,0.605091539,32,0.104709853,304.0454986,1.301559315,0.610306247,1
2.jpg,0.936054958,0,0.986737034,0.753604029,9.191774182,0.0953395959,1
3.jpg,0.257488301,36,0.0609007464,4341.282749,3.644363861,0.834810967,1
4.jpg,0.615218851,30,0.0229968188,311.9058348,0.525244479,0.81791135,1
5.jpg,0.639554224,36,0.219284472,59.62759807,2.835743667,0.577275891,1
6.jpg,0.54267667,38,0.0854911038,1198.234963,1.877418563,0.7439672,1
7.jpg,0.679170331,26,0.0089155524,9.692228951,0.192377358,0.841077434,1
9.jpg,0.243156875,30,0.0804833369,348.4195767,1.907413566,0.685019859,1
10.jpg,0.569239387,36,0.145567499,460.9011333,1.863480755,0.711853406,1
11.jpg,0.37736908,32,0.204222094,314.7312764,3.670370984,0.585369894,1
12.jpg,0.44780136,20,0.101424131,10272.68027,3.673856906,0.775484028,1
13.jpg,0.42856409,32,0.315610062,37692.8102,7.663080828,0.749584752,0
14.jpg,0.136676471,36,0.137025281,25542.26201,5.758559087,0.799004518,1
15.jpg,0.592927861,32,0.105762045,306.6720943,1.445996616,0.701576408,1
17.jpg,0.527198838,32,0.0256514372,194.5807888,0.777168368,0.820144658,1
18.jpg,0.632617724,26,-0.00490576469,20800.3151,1.073435254,0.919238642,1
19.jpg,0.395031765,26,0.024942706,507.6819503,0.987613414,0.820878057,1
20.jpg,0.203240052,34,0.149326024,1774.658345,3.056831935,0.698944704,1
21.jpg,0.146410799,30,0.0297453992,10758.44855,3.411292056,0.881727248,0
22.jpg,0.60865914,34,0.00808651596,305.8496811,0.184626944,0.847505281,1
23.jpg,0.378600806,28,-0.00445209907,815.5213644,0.510115037,0.933868124,1
25.jpg,0.39372163,32,0.459386766,4042.862463,7.509827297,0.578935445,1
26.jpg,0.123112338,34,0.0673743286,323.2855845,0.920351046,0.672436209,1
27.jpg,0.382666005,30,0.163465923,1619.961308,3.635738765,0.751755879,1
28.jpg,,,,,,,
29.jpg,0.346467019,28,0.0175119066,28689.76694,2.537247327,0.89020099,0
30.jpg,0.473772969,36,-0.00792653976,1091.606881,0.271646096,0.956525941,1
31.jpg,0.202838423,28,-0.0129438873,67.27940701,0.38422971,0.956014623,0
