file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1.126982703,0,
2.jpg,0.25609223,22,0.167468687,200.6955512,0.460434059,0.901304942,1
3.jpg,0.371687712,26,0.981875977,1.484549951,1.013923773,0.416287975,1
4.jpg,0.437137804,28,0.999826153,0.126982703,1,0.240874795,1
5.jpg,0.434717806,30,0.999826153,0.126982703,1,0.240874795,1
6.jpg,0.26748833,22,0.0307596142,129.7030667,0.0847478752,0.959208982,1
7.jpg,0.279704793,30,0.999942397,0.0964417498,1.060092134,0.149802955,1
8.jpg,0.271026985,32,0.399760447,5245.150088,0.917910253,0.842914761,1
9.jpg,0.254862426,24,0.0128564983,2210.772367,0.0653820213,0.961348646,1
10.jpg,0.612035219,18,0.999826153,0.126982703,1,0.240874795,1
11.jpg,0.403374654,24,0.300303311,3351.971247,0.42109634,0.715752506,1
12.jpg,0.447194476,22,0.999858059,0.120304472,1.0633868,0.14353194,1
14.jpg,0.267962196,24,0.999750118,1.082853187,1.051375245,0.190991615,1
18.jpg,0.338807,32,0.994469576,4.826379739,1.099644446,0.546619232,1
21.jpg,0.245247248,30,0.0365916061,4570.832863,0.134041101,0.948229219,1
23.jpg,0.430006203,30,0.0838078575,7707.149729,0.12485876,0.861807465,1
33.jpg,0.486984214,30,0.999826153,0.126982703,1,0.240874795,1
37.jpg,0.390053675,28,0.982372884,203.8496102,1.094977876,0.496487043,1
41.jpg,0.265322793,24,0.334621913,76.98254021,0.830750784,0.892364289,1
50.jpg,0.195224021,36,0.972587784,1272.091104,1.124803229,0.557012475,1
58.jpg,0.399970054,30,0.99857967,9.625957757,1.072937086,0.342195936,1
67.jpg,0.334248576,26,0.979273717,164.4002984,1.11797348,0.485654579,1
101.jpg,0.240549018,34,0.209917108,18927.92786,0.511973582,0.846689248,1
125.jpg,0.434649155,24,0.999556526,0.308865055,1.065875475,0.25638663,1
140.jpg,0.36321171,26,0.996228049,41.95113878,1.093621242,0.564001808,1
157.jpg,0.294755818,24,5.96E-05,25.75184503,0.0546941534,0.942740355,1
