file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,2.142584975,0,
2.jpg,0.560828291,24,0.937184276,220.8469931,1.120092036,0.63197539,1
3.jpg,0.361053001,26,0.016382292,703.7235923,0.619164212,0.766724028,0
4.jpg,0.371805944,28,0.061833719,997.8691494,0.836750854,0.674378395,0
5.jpg,0.521423448,32,-0.000675263,9185.649656,0.135666717,0.930772344,0
6.jpg,0.313448212,22,0.154688324,58.58120268,0.941916943,0.756673784,1
7.jpg,0.739630963,12,0.997337929,0.969697464,1.968531072,0.193445254,1
8.jpg,0.496749901,38,-0.005809658,17.68442439,0.001227357,0.999461005,0
9.jpg,0.457639099,10,0.346172919,923.2715678,1.062464685,0.576937412,1
10.jpg,0.895177456,4,0.997858911,1.033641759,1.998453971,0.184705081,1
11.jpg,0.629944172,22,0.939641845,16.59826096,2.115404272,0.48250436,1
12.jpg,0.361785012,34,0.188127693,8.175175994,0.676218473,0.64842564,0
13.jpg,0.466311369,32,-0.004054251,227.7136678,0.079944165,0.982833047,0
14.jpg,0.484957457,18,0.920318684,45.44970562,1.958029386,0.479017465,1
15.jpg,0.304725815,18,0.753379342,430.5010369,1.981088087,0.610214005,1
16.jpg,0.610329644,36,0.982624674,0.60758412,1.344180387,0.249128683,0
17.jpg,0.417385096,30,0.962455168,20.03901022,1.248239164,0.472243029,0
18.jpg,0.453687922,30,0.980789617,2.614890763,1.996497709,0.365779923,1
19.jpg,0.571692293,34,0.191869537,16.52428413,0.419549522,0.730110291,0
20.jpg,0.29000159,34,0.124149198,836.0149528,0.984968091,0.669363536,0
21.jpg,0.528868692,40,-0.004421742,2.142584975,0,1,0
22.jpg,0.48610081,28,0.991610371,0.747531048,1.774635444,0.219334486,1
23.jpg,0.367448573,34,-0.001947965,2.322000206,0.008292691,0.993567411,0
24.jpg,0.510212686,14,0.960567897,16.24251718,2.110597131,0.422929689,1
25.jpg,0.217093833,30,0.801247189,85.78736266,2.138860558,0.533524033,1
26.jpg,0.446997226,24,0.848085631,24.19770857,1.378863421,0.476611663,0
27.jpg,0.862581555,6,0.997975188,1.349371552,1.988861646,0.194444085,1
28.jpg,0.407506679,22,0.944088552,2.136494564,1.209434078,0.519177073,0
29.jpg,0.433661534,26,0.942887144,91.79891259,1.114679878,0.56087243,0
30.jpg,,,,,,,0
31.jpg,0.833825341,6,0.996238973,1.103212772,1.939311524,0.201410458,1
32.jpg,0.500268593,38,0.967149297,16.52285573,1.023078247,0.684724798,0
33.jpg,0.208053329,34,0.969296146,1.142585034,0.99999994,0.562873505,0
34.jpg,0.855833226,6,0.9959448,0.821924134,1.959690387,0.210948487,1
35.jpg,0.535912642,24,0.963544484,2.274286956,1.191450652,0.433907387,0
36.jpg,0.387126119,30,0.96515431,1.192673002,1.028042027,0.680129228,0
37.jpg,0.523020428,24,0.009814933,3265.012275,0.263178157,0.882350751,0
38.jpg,0.849045451,14,0.996337299,1.569219637,2.091587695,0.245711269,1
39.jpg,0.345940701,32,0.159184824,72.25882746,0.87896016,0.653870739,0
40.jpg,0.554059303,28,0.969288021,1.225354605,1.017388302,0.562129908,0
41.jpg,0.260248743,26,0.740320696,1240.39104,1.050879844,0.769349583,0
43.jpg,0.536906581,28,0.000619813,3708.554097,0.02011708,0.971478424,0
44.jpg,0.88386656,16,0.998089517,1.414441224,2.109652322,0.238832493,1
45.jpg,0.555809566,16,0.233664793,45.1106122,1.125224198,0.677752004,1
46.jpg,0.247403289,36,0.179055095,11.61726117,0.963990827,0.628631964,0
47.jpg,0.082537288,34,0.967151371,8.485237168,1.017767944,0.643471938,0
48.jpg,0.775281532,20,0.995957756,2.098020464,1.862138896,0.281872429,1
49.jpg,0.549323239,8,0.25783121,60.16744367,1.161009674,0.525116062,1
50.jpg,0.522824546,30,0.94865082,2.503280466,1.037004626,0.714805485,0
51.jpg,0.449685685,30,0.380482223,6.835445571,0.665902146,0.861216258,0
52.jpg,0.202643391,22,0.065608551,9790.974529,0.977840221,0.785366639,1
53.jpg,0.740292471,8,0.99835778,0.937496017,1.998872768,0.188225849,1
54.jpg,0.345284439,34,-0.004680565,5.519901324,0.038646212,0.990790181,0
55.jpg,0.464337463,24,0.157715156,712.6652519,0.364849038,0.802223345,0
56.jpg,0.450441999,34,-0.000382648,11816.51601,0.032016215,0.969291651,0
57.jpg,0.235256799,28,0.957384911,42.6734473,1.260075764,0.69773971,0
58.jpg,0.317839117,36,0.969296146,1.142585034,0.99999994,0.562873505,0
59.jpg,0.511775848,34,-0.001586048,2.203758108,0.004408904,0.995504834,0
60.jpg,0.299045024,32,0.947077797,2.706679008,1.220390399,0.569383954,0
61.jpg,0.477310667,34,-0.0042929,89.71829939,0.064227873,0.983064283,0
62.jpg,0.64376589,26,0.966396896,9.449670963,1.025432114,0.697231817,0
63.jpg,0.426004451,26,-0.001225136,21.58377932,0.01740713,0.985953047,0
64.jpg,0.119677101,26,0.909499672,528.0469853,1.274558147,0.689595162,0
65.jpg,0.73773954,16,0.996184714,1.664627263,2.116037256,0.249268537,1
66.jpg,0.376332687,28,0.966473099,19.35873219,1.095489347,0.638654023,0
67.jpg,0.389922972,26,0.93984905,7.078869274,1.049968092,0.736885329,0
68.jpg,0.552369288,14,0.614052639,147.6883755,1.789309858,0.55964715,1
69.jpg,0.514418872,34,0.008393023,32139.2831,0.337444047,0.884984336,0
70.jpg,0.584353514,38,0.969568503,1.163170747,1.034071338,0.512882261,0
71.jpg,0.659702633,16,0.915678211,7.711215137,2.101192218,0.325139121,1
72.jpg,0.823847363,16,0.997482592,1.222865512,1.932888454,0.236152969,1
73.jpg,0.316315532,24,0.855648914,314.051409,2.00989461,0.580753264,1
74.jpg,0.380684628,30,0.239146299,23793.66178,0.544905297,0.884597441,0
75.jpg,0.400601287,34,0.187230773,5.61635957,0.657503301,0.666861348,0
76.jpg,0.300917105,30,0.102060554,8004.085843,0.270220602,0.841047053,0
77.jpg,0.226270531,36,0.277356048,824.3168117,0.537088929,0.91287035,0
78.jpg,0.428156344,32,0.94277646,213.6526151,1.221901173,0.667615726,0
79.jpg,0.397145893,24,0.965678605,9.652112425,1.06136667,0.719115775,0
80.jpg,0.548260092,28,0.01693947,179.5148867,0.117555503,0.91310833,0
81.jpg,0.519477358,36,-0.001842844,7441.537419,0.072352265,0.980003648,0
82.jpg,0.099692419,36,0.016544163,642.9287585,0.487744164,0.920610533,0
83.jpg,0.849810151,8,0.998219643,1.069563064,1.9994392,0.187885515,1
84.jpg,0.427443135,30,0.969301894,1.140963313,1.00376688,0.560713389,0
85.jpg,0.422633342,18,0.007166309,24474.93457,0.127572956,0.916748386,1
86.jpg,0.620169354,40,0.959676447,8.370190572,1.068494904,0.652423984,0
87.jpg,0.672460627,12,0.984047731,5.622089918,1.667434334,0.335956308,0
88.jpg,0.373994856,38,0.500335461,19.7006561,0.666350137,0.832888291,0
89.jpg,0.382424218,22,0.374034842,598.594993,1.376989872,0.645474602,1
90.jpg,0.646676753,10,0.995190684,1.274730461,1.869531845,0.252372731,1
91.jpg,0.512342642,30,0.970457395,1.276337865,1.129326062,0.481814176,0
92.jpg,0.512624533,28,0.967566114,5.788372092,1.045943649,0.666167468,0
93.jpg,0.503541352,28,0.969288695,1.19106929,1.005231287,0.563299866,0
94.jpg,0.691139942,10,0.989346406,16.16927765,2.124481861,0.333597792,1
95.jpg,0.444486391,24,0.960507815,4.600558682,1.056443211,0.67895966,0
96.jpg,0.48986779,28,0.969302052,1.141072365,1.00374449,0.560644224,0
97.jpg,0.425480114,20,0.228243942,787.6168918,1.15017401,0.672233377,1
98.jpg,0.515979767,26,0.969296146,1.142585034,0.99999994,0.562873505,0
99.jpg,0.773508495,16,0.991964199,2.69585471,2.12515982,0.279736151,1
100.jpg,0.861286557,14,0.995288186,2.082077639,1.909749584,0.282158203,1
101.jpg,0.535114031,14,0.29757241,143.7932021,1.226062524,0.640748227,1
102.jpg,0.466176002,28,0.969162624,4.807581141,1.047057328,0.546018313,0
103.jpg,0.788428217,6,0.998371186,1.135586619,2.003945472,0.184767806,1
104.jpg,0.217052595,32,0.9035955,44.34294323,1.114689335,0.796542629,0
105.jpg,0.58900856,24,0.969517822,1.120823723,1.037264091,0.524178462,0
106.jpg,0.491324557,24,0.946532453,1.23620202,1.03932829,0.692375063,0
107.jpg,0.699778932,14,0.997827803,1.081100548,1.950359478,0.209918096,1
108.jpg,0.074183856,34,0.046554351,64883.75092,0.795563405,0.840754487,0
109.jpg,0.503652499,28,0.970564907,1.387611034,1.137789005,0.482660264,0
110.jpg,0.32919984,36,0.910417088,14.84011544,1.01243189,0.819540763,0
111.jpg,0.709755782,12,0.99775848,1.360452506,1.951154453,0.211779451,1
112.jpg,0.497630205,36,0.00261625,2986.496803,0.066911667,0.932390534,1
113.jpg,0.721901832,12,0.9971657,1.372834243,1.916267392,0.230902861,0
114.jpg,0.33272749,28,0.923717073,260.4707433,1.069575592,0.755652203,0
115.jpg,0.342559238,36,0.935440423,322.0953814,1.067840587,0.705669567,0
116.jpg,0.779965144,14,0.996193446,1.572188842,1.911477639,0.230731779,1
117.jpg,0.475850064,22,0.97022646,2.442230291,1.134593446,0.483562286,0
118.jpg,0.731513241,6,0.998471103,0.883407593,2.006046538,0.183676664,1
119.jpg,0.602994155,28,0.438989577,2364.084665,0.518717973,0.768004616,0
120.jpg,0.584917489,20,0.987549546,10.69345647,2.098246081,0.374765293,1
121.jpg,0.151002864,34,0.046641971,135.5437507,0.544678769,0.780112794,0
122.jpg,0.38917992,30,0.968002065,7.782191634,1.057449972,0.637319556,0
123.jpg,0.515458182,18,0.253852517,1363.255903,1.162815704,0.664087725,1
124.jpg,0.490408621,32,0.094884638,6369.435571,0.252913475,0.858941098,0
125.jpg,0.416683391,26,0.941894936,47.16459599,1.065371863,0.78496903,0
126.jpg,0.649088092,10,0.926776446,411.7617401,1.257045151,0.531648352,0
127.jpg,0.48814327,28,0.944921949,208.6441594,1.060455898,0.671680966,0
128.jpg,0.711506717,14,0.997222976,1.447086335,1.890762598,0.236422877,1
129.jpg,0.48846116,26,0.969657367,2.098849269,1.090433812,0.537954555,0
130.jpg,0.798313712,10,0.994738633,5.801258886,1.820167445,0.30785343,1
131.jpg,0.593110986,30,0.969350447,1.106123853,1.033138436,0.541550415,0
132.jpg,0.684550813,6,0.99814526,1.005800419,1.980298662,0.199993316,1
133.jpg,0.442350816,30,0.00466436,2348.765966,0.316920917,0.910355167,0
134.jpg,0.551968629,24,0.969792624,8.90033456,1.227742872,0.543031522,0
135.jpg,0.514317038,26,0.966715359,7.818334272,1.056116504,0.665717715,0
136.jpg,0.385803534,42,0.017038142,2790.043632,0.16248092,0.911662129,0
