file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,13.87250734,0,
1.jpg,0.920092607,4,0.981837836,2.401268272,13.2154336,0.110079267,1
2.jpg,0.928860043,4,0.982914684,1.845012446,13.16913458,0.10324926,1
3.jpg,0.941779947,4,0.990079118,1.502614995,13.27540872,0.095605849,1
4.jpg,0.933072941,4,0.983400717,1.667902094,13.14724868,0.101353457,1
5.jpg,0.94264654,2,0.991620523,1.526079381,13.25737844,0.099405853,1
6.jpg,0.939137108,4,0.990412536,1.831158695,13.43798757,0.096945614,1
7.jpg,0.940294396,2,0.989711564,1.72367564,13.34819829,0.096884402,1
8.jpg,0.925732441,2,0.983094941,19.23309865,13.23754447,0.123346539,1
9.jpg,0.927813649,2,0.983080308,1.875636542,13.20377601,0.103034379,1
10.jpg,0.97193582,0,0.996525476,1.030938399,13.23007594,0.08990252,1
11.jpg,0.930629739,4,0.986763518,1.531912871,13.16167607,0.09865258,1
12.jpg,0.940789085,2,0.988024423,1.491810338,13.16678277,0.097915305,1
13.jpg,0.945112582,2,0.992397234,1.498105551,13.38217596,0.094597555,1
14.jpg,0.948343623,0,0.990431544,1.779444919,13.38609795,0.097450327,1
15.jpg,0.932616186,0,0.979979332,2.205357816,13.30292558,0.10378665,1
16.jpg,0.950150043,2,0.993529755,1.427414168,13.38991549,0.092286076,1
17.jpg,0.937953014,4,0.99146394,1.38908642,13.27814406,0.095057904,1
18.jpg,0.945067601,2,0.990674846,1.128590382,12.86801859,0.098544919,1
19.jpg,0.929133422,2,0.986148295,2.259609165,13.34487374,0.10586216,1
20.jpg,0.934764674,2,0.984668472,1.956564311,13.27038162,0.102150957,1
21.jpg,0.935768898,4,0.988817444,1.547560429,13.19823444,0.09794939,1
22.jpg,0.941903012,2,0.987887089,1.961024918,13.39815817,0.098487669,1
23.jpg,0.925686372,2,0.982215333,2.175163655,13.29442779,0.104723436,1
24.jpg,0.930166371,2,0.985491057,2.014109663,13.34235326,0.100733121,1
25.jpg,0.927321905,4,0.986903772,1.885393191,13.19067355,0.104624824,1
26.jpg,0.928138733,2,0.980922383,3.162190228,13.35795476,0.115093922,1
27.jpg,0.927071653,6,0.990665059,31.98700088,13.34693422,0.144867913,1
28.jpg,0.922619186,2,0.982408707,1.947355832,13.23585119,0.103283102,1
29.jpg,0.939536464,2,0.987343958,1.701787565,13.27545151,0.098234255,1
30.jpg,0.937068906,4,0.989345703,1.489507846,13.21886823,0.096605387,1
31.jpg,0.942788181,4,0.991656685,1.467945619,13.31735247,0.094031638,1
32.jpg,0.949414829,2,0.993740049,1.504707246,13.32191049,0.097623401,1
33.jpg,0.935422047,2,0.986989072,1.643229671,13.24147327,0.099084232,1
34.jpg,0.94432079,2,0.986995644,1.885065999,13.37219214,0.097951585,1
35.jpg,0.945771117,2,0.987723119,1.828650017,13.36389858,0.097920385,1
36.jpg,0.930749209,2,0.984060005,1.883939743,13.24874001,0.101506979,1
37.jpg,0.951133739,2,0.992550404,1.587951135,13.33337773,0.098370967,1
38.jpg,0.954529692,2,0.989529257,2.291435742,13.43134486,0.101467167,1
39.jpg,0.950485718,2,0.992773891,1.733303654,13.49973722,0.093255321,1
40.jpg,0.952646206,2,0.994671413,1.392776844,13.44780254,0.090709154,1
41.jpg,0.924235814,2,0.987941772,1.685818999,12.99189738,0.105034726,1
42.jpg,0.939093827,4,0.99074061,1.410646693,13.23536116,0.096458932,1
43.jpg,0.942291672,2,0.993183597,1.402873625,13.40390244,0.089528496,1
44.jpg,0.896177588,8,0.967793203,19.06073974,13.15308855,0.152151909,1
45.jpg,0.933706584,2,0.969625931,3.438292932,13.06063772,0.128625836,1
46.jpg,0.931239904,2,0.98373059,1.830596009,13.26684694,0.100699294,1
47.jpg,0.924808585,2,0.980311944,2.253279601,13.27805787,0.105612406,1
48.jpg,0.94689986,2,0.983854052,2.033757947,13.31007225,0.100486191,1
49.jpg,0.921577141,4,0.9829861,3.014267532,13.44709594,0.108796782,1
50.jpg,0.932126857,4,0.985361425,1.845660236,13.23601764,0.101858425,1
51.jpg,0.930888399,2,0.986685217,2.197575053,13.44135693,0.101280476,1
52.jpg,0.915171502,10,0.990379851,3.190149691,13.21640813,0.145646804,1
53.jpg,0.906338636,2,0.974549837,3.541458057,13.47956057,0.112184968,1
54.jpg,0.930257024,4,0.988008101,4.858628281,13.41021506,0.111036036,1
55.jpg,0.938843235,2,0.990046894,1.916577088,13.47823963,0.096602006,1
56.jpg,0.949403714,2,0.992382088,1.233411423,13.0566096,0.098116653,1
57.jpg,0.919032607,2,0.98418663,1.90779351,13.22060024,0.105639815,1
58.jpg,0.933858413,4,0.988614125,1.581338945,13.27115543,0.097040815,1
59.jpg,0.927900705,2,0.983430537,1.956671742,13.27223993,0.102200205,1
