file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,2.015578922,0,
1.jpg,0.682760563,12,0.997621378,10.60147942,1.727211988,0.261269944,1
2.jpg,0.821360358,6,0.999889786,0.125866158,1.939653664,0.072973414,1
3.jpg,0.78380184,4,0.999889875,0.126578674,1.939749518,0.073054602,1
4.jpg,0.780171293,16,0.96388853,12015.40589,2.014520735,0.430569149,1
5.jpg,0.875077545,4,0.999880209,0.129836973,1.938131723,0.073680304,1
6.jpg,0.799994519,10,0.999815375,0.13766604,1.92986255,0.079655851,1
7.jpg,0.781571402,6,0.999882384,0.129564992,1.937419519,0.073645908,1
8.jpg,0.79851255,4,0.999878717,0.132652132,1.938218434,0.074097624,1
9.jpg,0.887678017,2,0.99987604,0.131061719,1.936885751,0.074413252,1
10.jpg,0.735358283,6,0.999878685,0.132878518,1.938372718,0.07360065,1
11.jpg,0.855741102,4,0.986963224,172.7721985,2.01239543,0.329585934,1
12.jpg,0.779835772,2,0.999862442,0.135739059,1.935381617,0.074670317,1
13.jpg,0.79429495,4,0.999878272,0.131798886,1.938152019,0.07402227,1
14.jpg,0.792798185,8,0.999802778,0.135685423,1.905388583,0.080403199,1
15.jpg,0.857320208,2,0.99987021,0.100172779,1.942221472,0.066987003,1
16.jpg,0.766735661,4,0.999883446,0.123036749,1.937647643,0.073202582,1
17.jpg,0.788817811,8,0.999883899,0.121163978,1.937773662,0.073069521,1
18.jpg,0.842322405,4,0.999908083,0.243849728,1.942402302,0.079462954,1
19.jpg,0.885490226,0,0.999880375,0.129004483,1.938111489,0.073785622,1
20.jpg,0.730411883,4,0.999883476,0.121014015,1.93754052,0.073084854,1
21.jpg,0.741031051,6,0.999880585,0.130207767,1.937719257,0.073481265,1
22.jpg,0.826314705,4,0.999883062,0.120220991,1.937528346,0.073043156,1
23.jpg,0.729808368,4,0.999878709,0.134150696,1.938284098,0.074109445,1
24.jpg,0.753957131,2,0.999868624,0.131513881,1.93416839,0.074541757,1
25.jpg,0.755375792,2,0.999881753,0.135197316,1.937524047,0.073571944,1
26.jpg,0.456846388,30,0.996973089,19.20408086,1.018629958,0.542943182,0
27.jpg,0.824669059,4,0.999878471,0.132357699,1.938221696,0.074039206,1
28.jpg,0.807191584,4,0.99987843,0.129483501,1.938197864,0.074007578,1
