file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,23.58835057,0,
1.jpg,0.330938011,30,0.385696822,25.92645501,5.787495154,0.313708431,1
2.jpg,0.326864279,24,0.450102488,28.28147927,7.146541051,0.304853748,1
3.jpg,0.314143289,30,0.378317137,29.40915141,6.009368444,0.323342126,1
4.jpg,0.316401969,26,0.543909725,57.34503453,9.76038108,0.31466553,1
5.jpg,0.328191056,28,0.206972877,29.44473859,2.671712156,0.408940584,1
6.jpg,0.315033771,24,0.35248207,28.06586186,5.460477163,0.330504226,1
7.jpg,0.316044154,28,0.478519461,33.03543155,8.304875214,0.2980386,1
8.jpg,0.307623384,30,0.394013932,33.66529422,6.698893473,0.32189755,1
9.jpg,0.312180316,30,0.456108821,32.47226516,7.769957362,0.302798646,1
10.jpg,0.333938945,32,0.530432266,53.18868864,9.642669578,0.319543536,1
11.jpg,0.32427032,28,0.409183925,29.42993936,6.377678218,0.315712971,1
12.jpg,0.326302253,28,0.521181365,29.93430666,8.964734755,0.286029003,1
13.jpg,0.335322976,28,0.580308509,28.51426597,10.64097209,0.270770904,1
14.jpg,0.313619322,30,0.389689166,31.20777882,6.517023046,0.31988881,1
15.jpg,0.266095103,32,0.284109505,30.32389056,4.145656884,0.376818183,1
16.jpg,0.326458464,28,0.483905037,28.61392107,8.000605046,0.293248215,1
17.jpg,0.317145167,30,0.435004877,28.96767267,6.905511853,0.311874076,1
18.jpg,0.328921178,28,0.155754856,29.48397689,1.669589904,0.464726359,1
19.jpg,0.319651996,34,0.445277145,26.25646489,7.006102657,0.298740583,1
20.jpg,0.324385064,22,0.407586686,28.54526826,6.326042932,0.315441707,1
21.jpg,0.30565907,28,0.355562126,30.57235963,5.654926116,0.333246361,1
22.jpg,0.310465342,28,0.427871147,31.71007245,8.579796963,0.338605704,1
23.jpg,0.282283299,32,0.307639859,31.99119994,4.372218875,0.369347578,1
24.jpg,0.324164893,30,0.461548878,30.00358576,7.6764785,0.30089565,1
25.jpg,0.326881015,30,0.463877524,28.05167512,7.628338094,0.300498338,1
26.jpg,0.315141008,26,0.350403297,29.77678745,5.446041009,0.332605751,1
27.jpg,0.292027695,26,0.347385608,28.79923556,5.655711064,0.331033195,1
28.jpg,0.325300075,28,0.511345068,29.09490181,8.733154374,0.287784139,1
29.jpg,0.309517439,28,0.370506266,32.75028326,6.045816881,0.329951565,1
30.jpg,0.294694687,20,0.277781538,43.33745922,4.904605136,0.411516381,1
31.jpg,0.329009746,28,0.47871876,27.09211967,7.930470506,0.298891049,1
32.jpg,0.31723411,30,0.360130758,28.20556544,5.643894699,0.32467673,1
33.jpg,0.323672088,24,0.365424142,25.19626947,5.532715366,0.323060268,1
34.jpg,0.320640029,28,0.514331108,28.02452853,8.792345235,0.285309149,1
35.jpg,0.30754432,30,0.527008882,31.37545659,9.542619957,0.284294131,1
36.jpg,0.307188137,30,0.407548625,34.46406569,6.947111308,0.320022632,1
37.jpg,0.325888877,30,0.503729911,28.9476759,8.523079915,0.291236244,1
38.jpg,0.309822164,26,0.265428542,27.91074756,4.014747382,0.363915413,1
39.jpg,0.301451468,32,0.45276611,40.22700917,8.04229243,0.314637752,1
40.jpg,0.300389108,30,0.381916567,31.16561376,6.292594572,0.323443382,1
41.jpg,0.31196622,28,0.392851028,31.80421973,6.628670835,0.323605652,1
42.jpg,0.32916688,26,0.53730589,43.36868229,9.404625148,0.312809987,1
43.jpg,0.284476302,26,0.246745717,39.01251109,4.077716717,0.413589325,1
44.jpg,0.323314428,28,0.393258514,29.12760637,6.072974042,0.320659211,1
45.jpg,0.312609306,28,0.520561725,29.53418883,9.444559552,0.288770218,1
46.jpg,0.312763848,28,0.375835595,30.73128347,6.14201111,0.328312296,1
47.jpg,0.330810796,26,0.510687698,28.4693239,8.72699112,0.286821768,1
48.jpg,0.310574233,32,0.371731289,29.51758641,5.937662699,0.326457145,1
49.jpg,0.312204851,30,0.382302083,30.5088624,6.400334963,0.321594365,1
50.jpg,0.318334144,26,0.471405612,28.07738693,7.600225546,0.298100979,1
51.jpg,0.327094853,28,0.455009929,30.00747319,7.571990245,0.306281915,1
52.jpg,0.316793048,28,0.224786029,28.5494552,2.84476907,0.397272927,1
53.jpg,0.326690197,26,0.517301735,28.71608968,8.862948566,0.28494304,1
54.jpg,0.317441357,30,0.548970508,28.73881726,9.767538788,0.278438083,1
55.jpg,0.314620037,28,0.42055554,28.86302099,6.931708335,0.308415541,1
56.jpg,0.314032243,30,0.431710792,30.7274455,7.382254514,0.307445376,1
57.jpg,0.304854083,24,0.440541619,30.67206603,7.613417196,0.306568353,1
58.jpg,0.314419249,28,0.388177644,29.16139569,6.359383577,0.317316835,1
59.jpg,0.304898655,28,0.42542586,31.38779759,7.290546908,0.311540617,1
60.jpg,0.327434856,28,0.483541254,27.41980763,8.013500776,0.292734139,1
61.jpg,0.316995714,28,0.465445438,29.34404652,7.766885344,0.299991854,1
62.jpg,0.30932452,32,0.427706898,33.38376406,6.892486401,0.339685086,1
63.jpg,0.312277101,24,0.36591934,31.42706881,5.733718218,0.333281322,1
64.jpg,0.324144027,30,0.551310404,29.97860572,9.716408976,0.278754875,1
65.jpg,0.302484661,24,0.366900965,30.00699259,5.897303339,0.327827497,1
66.jpg,0.326473617,28,0.393937487,28.64155067,6.044013896,0.319480133,1
67.jpg,0.29208417,34,0.372942381,33.81759143,6.273407753,0.329841622,1
68.jpg,0.312455575,28,0.448259599,29.35293852,7.637388435,0.302509372,1
69.jpg,0.316505965,30,0.424665599,28.46108667,7.030610858,0.308006128,1
70.jpg,0.316856925,30,0.424104937,30.13316071,6.952205309,0.311757496,1
71.jpg,0.327401364,28,0.515475658,28.76746326,8.868159824,0.286482186,1
72.jpg,0.306746226,28,0.458073991,28.85375308,7.787615341,0.300877361,1
73.jpg,0.306585262,26,0.409318509,30.51919389,6.860876276,0.318659788,1
74.jpg,0.326638172,30,0.485421501,29.70437731,8.222114762,0.292945122,1
75.jpg,0.315873844,24,0.467572884,34.09334932,8.36951716,0.306509321,1
76.jpg,0.319732627,30,0.4090687,28.88301605,6.325592868,0.315404999,1
77.jpg,0.320705307,28,0.45263695,27.42103486,7.324317685,0.300533491,1
78.jpg,0.326087917,28,0.523657689,29.30871571,9.097008626,0.285324765,1
79.jpg,0.300072228,32,0.332207306,32.23557586,5.369062274,0.342097699,1
80.jpg,0.316494066,30,0.411718297,29.33451373,6.805291551,0.31241423,1
81.jpg,0.311845033,30,0.384214791,29.96352618,6.202949162,0.323240197,1
82.jpg,0.319081917,26,0.403453914,28.29856164,6.531195491,0.312542973,1
83.jpg,0.319359977,28,0.487021809,28.15170387,8.291293561,0.302183611,1
84.jpg,0.324120261,30,0.488647094,28.96920525,8.15089949,0.294975819,1
85.jpg,0.326452911,28,0.492419059,30.90620847,8.301027229,0.29482912,1
86.jpg,0.327348748,24,0.489525126,27.59138289,7.87204219,0.295611231,1
87.jpg,0.32012851,30,0.458176201,29.95101494,7.84392072,0.298981877,1
88.jpg,0.321912703,26,0.468414578,29.3634721,7.811204908,0.300787094,1
89.jpg,0.326157362,28,0.459502546,28.50766178,7.605588912,0.303006223,1
90.jpg,0.314223595,28,0.515113068,30.79128913,9.041502008,0.289284019,1
91.jpg,0.305463298,32,0.392554959,34.90751472,6.75303441,0.32717933,1
92.jpg,0.305924167,28,0.326336972,29.25645271,4.981443454,0.346571451,1
93.jpg,0.321820869,28,0.438354533,30.79432183,7.505020687,0.308676406,1
94.jpg,0.315643622,32,0.398121286,29.54256521,6.364545336,0.316975552,1
95.jpg,0.311100839,28,0.368974918,32.08395414,5.934030479,0.327545854,1
96.jpg,0.322082278,28,0.400084955,27.99806559,6.099631659,0.317279589,1
97.jpg,0.313963392,24,0.394097793,28.91767311,6.34932181,0.317727486,1
98.jpg,0.321445046,28,0.471195248,28.3391272,7.790313864,0.296679344,1
99.jpg,0.310056349,28,0.473011134,29.80855482,8.201652233,0.296346895,1
100.jpg,0.327477388,32,0.425272952,26.74416047,6.264256398,0.312913577,1
101.jpg,0.312508294,30,0.432722437,31.42466662,7.264936734,0.308020093,1
102.jpg,0.321817372,30,0.419063551,26.5883799,6.791943559,0.305588584,1
103.jpg,0.309417325,28,0.393967008,25.35848391,6.106548449,0.312193369,1
104.jpg,0.314445211,30,0.471183508,28.69150784,8.075707191,0.294920364,1
105.jpg,0.325269819,26,0.378507671,29.64122176,5.78016663,0.324997356,1
106.jpg,0.306536497,30,0.414057794,31.06686624,6.953165984,0.314953237,1
107.jpg,0.318836282,30,0.48244047,31.11762565,8.302897125,0.296017848,1
108.jpg,0.318604234,28,0.423603137,31.38345961,6.850301667,0.311734585,1
109.jpg,0.325074868,28,0.469524003,26.58549731,7.630844234,0.297259372,1
110.jpg,0.310930357,30,0.376016479,31.50985556,6.292811023,0.326384979,1
111.jpg,0.328150401,26,0.475520838,28.75018877,7.723399374,0.2967593,1
112.jpg,0.315622879,26,0.434721749,26.94034411,6.891058197,0.304719311,1
113.jpg,0.311575782,30,0.435446003,32.48938864,7.533619406,0.306919593,1
114.jpg,0.318203719,30,0.461906684,28.41866835,7.556421478,0.302666241,1
115.jpg,0.322774745,26,0.447173225,27.82691951,6.991782236,0.305259361,1
116.jpg,0.331859316,32,0.244727605,28.02472444,2.986687884,0.386988627,1
117.jpg,0.319337714,28,0.402275959,27.24798626,6.294227941,0.314452102,1
118.jpg,0.335414247,24,0.521922065,33.42839085,8.658587489,0.297334399,1
119.jpg,0.320398842,32,0.441657699,29.27572834,7.04169708,0.305490158,1
120.jpg,0.323301872,28,0.396441124,182.7921238,7.097937622,0.393866244,1
121.jpg,0.242257866,28,0.207748997,41.60292891,2.948905209,0.483942346,1
122.jpg,0.324714119,30,0.470321533,26.13027513,7.231259915,0.306793128,1
123.jpg,0.317238824,28,0.452797286,32.14592031,7.497943949,0.307207726,1
124.jpg,0.31170417,32,0.414420603,30.43828754,7.049556045,0.312513031,1
125.jpg,0.320074197,26,0.527157589,101.4649567,10.12751435,0.300607052,1
126.jpg,0.340405626,28,0.495835293,133.644881,9.133486803,0.324242484,1
127.jpg,0.324504612,28,0.393747913,28.3375727,6.147127461,0.317219776,1
128.jpg,0.29851111,32,0.456257833,113.5630211,8.215012079,0.32818711,1
129.jpg,0.318013055,28,0.427972594,28.52556727,7.912228976,0.321863672,1
130.jpg,0.302328266,30,0.39546586,36.02393399,6.687687074,0.323611698,1
131.jpg,0.30795076,32,0.43893165,31.45267069,7.457349018,0.306740222,1
132.jpg,0.309825069,30,0.434244553,29.7466155,7.300600891,0.306957259,1
133.jpg,0.306487928,24,0.417814259,32.30198908,7.072462018,0.316083827,1
134.jpg,0.310808207,26,0.454062062,28.97841255,7.719453014,0.299173037,1
135.jpg,0.314584322,28,0.381259069,28.4807887,5.99610017,0.321173554,1
136.jpg,0.328635184,26,0.513219404,27.09044444,8.701749267,0.284673951,1
137.jpg,0.314923465,26,0.440786038,32.53343864,7.55230682,0.311483749,1
138.jpg,0.307665792,28,0.381030332,30.04088373,5.503672887,0.333038586,1
139.jpg,0.306877726,30,0.463366175,31.87577606,7.994742348,0.300973933,1
140.jpg,0.323312342,30,0.442754794,28.57524032,7.134969715,0.302970081,1
141.jpg,0.332123807,24,0.422605493,28.13359036,6.714615008,0.312048175,1
142.jpg,0.315873966,24,0.575239155,40.06284038,10.46914408,0.290070701,1
143.jpg,0.294125242,28,0.405280389,30.04009753,6.98155051,0.314453751,1
144.jpg,0.300175928,24,0.362524033,32.41731977,5.890195729,0.333275032,1
145.jpg,0.322032073,32,0.436659236,28.64129517,6.995162403,0.30782433,1
146.jpg,0.323982025,24,0.376058981,25.51378961,5.545649453,0.323511187,1
147.jpg,0.318091599,30,0.475119015,28.73594062,7.841915667,0.300145049,1
148.jpg,0.329526592,28,0.536954748,28.70568926,9.222543342,0.282177564,1
149.jpg,0.326865225,28,0.489486569,29.27822938,8.239652551,0.292306909,1
150.jpg,0.323182687,28,0.341474656,157.3219423,5.600590394,0.410195024,1
151.jpg,0.309765726,26,0.378463476,33.71467724,6.357271231,0.331148182,1
152.jpg,0.288687064,22,0.33297988,68.57292906,5.484833313,0.378544788,1
153.jpg,0.310236116,28,0.403174903,28.09998074,6.481092318,0.314498166,1
154.jpg,0.32446919,28,0.476681692,31.50716311,7.850840577,0.299849738,1
155.jpg,0.327081825,22,0.414899398,27.92818982,6.478691559,0.311712041,1
156.jpg,0.298259164,28,0.463760045,29.55470213,8.020501591,0.304276064,1
157.jpg,0.324573016,30,0.427930002,24.54827689,6.441294532,0.304197311,1
158.jpg,0.320625901,30,0.417334567,24.87856776,6.594066656,0.307623624,1
159.jpg,0.297557496,24,0.375650988,30.4174767,6.376888367,0.324075325,1
160.jpg,0.36709067,32,0.186811729,28.97463286,2.356611069,0.430342067,1
161.jpg,0.315889066,28,0.566731057,108.3633266,11.28990499,0.302522187,1
162.jpg,0.324835598,32,0.447430833,28.35369555,7.253410012,0.303253377,1
163.jpg,0.325496196,26,0.500280696,170.8520901,9.356495122,0.338653398,1
164.jpg,0.314564194,32,0.47379571,27.36425605,8.196860266,0.306963783,1
165.jpg,0.295675714,24,0.38321102,30.74316577,6.351721341,0.323335341,1
166.jpg,0.309493355,34,0.414316904,26.54321472,6.873209177,0.307029971,1
167.jpg,0.323062653,28,0.436211849,32.45189025,7.189233166,0.30808021,1
168.jpg,0.315420167,26,0.374509096,31.2401458,6.148216281,0.330342718,1
169.jpg,0.303116829,30,0.418916875,32.50636557,7.05085937,0.314543231,1
170.jpg,0.320160621,30,0.474232142,29.31255065,8.178245292,0.295263487,1
171.jpg,0.298803253,30,0.382106132,30.84315103,6.333442599,0.323742417,1
172.jpg,0.303911216,24,0.372513824,30.09380561,6.058336899,0.324791075,1
173.jpg,0.326571806,30,0.530117341,29.37597995,9.238847005,0.282856456,1
174.jpg,0.31044352,32,0.388061881,28.45123495,6.294726484,0.317279392,1
175.jpg,0.298486572,28,0.41724192,31.89977327,7.131349001,0.313762797,1
176.jpg,0.337239985,30,0.50082948,26.77536859,7.430002789,0.300146257,1
177.jpg,0.304796276,28,0.451635363,33.70060238,7.923425277,0.305755671,1
178.jpg,0.326324123,28,0.492191606,28.14620528,8.162367155,0.290329708,1
179.jpg,0.312639416,26,0.407946751,29.18197863,6.655223139,0.312886572,1
180.jpg,0.328713365,24,0.444069818,29.18470348,7.045107756,0.308833835,1
181.jpg,0.321593345,32,0.462998984,26.24568586,7.397222094,0.295025907,1
182.jpg,0.312486876,28,0.456247657,28.78231547,7.565218426,0.301949425,1
183.jpg,0.302051715,24,0.377194095,32.55483544,6.148060391,0.327101577,1
184.jpg,0.324981223,28,0.42456036,30.54398832,6.499082597,0.31719421,1
185.jpg,0.327807983,22,0.471107131,27.87887967,7.795587589,0.29574928,1
186.jpg,0.31627906,28,0.492536666,27.94920435,8.152092246,0.294584781,1
187.jpg,0.321252085,28,0.446016329,30.18476791,7.277642646,0.305199742,1
188.jpg,0.331502738,28,0.54253028,26.21277825,9.259284526,0.281846232,1
189.jpg,0.337833977,30,0.475124265,28.09326993,7.354513093,0.304523865,1
190.jpg,0.318340434,28,0.408339588,30.73401967,6.786285367,0.317456124,1
191.jpg,0.327507644,30,0.451871123,27.77439289,6.875815021,0.307483024,1
192.jpg,0.312575299,28,0.511082252,41.97446769,9.530517428,0.315892491,1
193.jpg,0.298019076,28,0.407766407,28.16546746,5.661116396,0.335083394,1
194.jpg,0.323623936,28,0.482203002,28.26477612,8.060480667,0.294306294,1
195.jpg,0.330237165,28,0.469304258,27.00531404,7.807360489,0.299389878,1
196.jpg,0.292807554,34,0.416331485,25.7591797,7.491909611,0.308252114,1
197.jpg,0.334013631,30,0.539896545,31.98794562,9.674077775,0.293149574,1
198.jpg,0.315491358,26,0.481176719,30.26287486,8.122847452,0.298895292,1
199.jpg,0.334219663,26,0.447263476,64.31040922,7.844267426,0.39635972,1
200.jpg,0.317227677,30,0.437834008,31.24993938,7.454425929,0.307460913,1
201.jpg,0.319556264,30,0.537168839,25.53534443,9.247827527,0.27773149,1
202.jpg,0.288397071,28,0.326231556,44.34430382,5.472339401,0.361976324,1
203.jpg,0.320337126,28,0.507873249,27.68196393,8.672244274,0.287548372,1
204.jpg,0.325905408,30,0.525583891,26.00498033,8.48659347,0.284381654,1
205.jpg,0.238962917,30,0.316289985,28.72398201,4.597588693,0.389161739,1
206.jpg,0.310973065,36,0.391173337,32.54892729,6.404734759,0.332899399,1
207.jpg,0.327790342,26,0.553261906,28.08429588,9.694941433,0.276082914,1
208.jpg,0.320452154,28,0.442805426,30.1997463,7.522296274,0.305165221,1
209.jpg,0.282903471,28,0.361804848,27.42837867,4.925894986,0.343820708,1
210.jpg,0.335562203,28,0.558489139,26.38242314,9.440255773,0.277000495,1
211.jpg,0.387741276,28,0.24082878,34.35883797,3.778711422,0.410673661,1
212.jpg,0.267051641,26,0.382787689,31.88068494,6.404744221,0.33428768,1
213.jpg,0.324599969,26,0.421906084,29.44816259,6.60659222,0.31348266,1
214.jpg,0.301287753,28,0.401292896,28.68007728,6.193990197,0.32121363,1
215.jpg,0.325359356,28,0.452679303,29.63325506,7.410378667,0.303676688,1
216.jpg,0.310334321,28,0.563374423,34.24798732,10.33394135,0.279443993,1
217.jpg,0.329031552,28,0.426533683,29.42266465,6.823642773,0.312278694,1
218.jpg,0.313299488,22,0.44527188,32.90837263,7.624887993,0.329859418,1
219.jpg,0.326403534,28,0.446960461,27.12695516,7.282761849,0.302356168,1
220.jpg,0.3211352,28,0.572440383,28.04718472,10.70870808,0.278707827,1
221.jpg,0.309221009,28,0.42893045,31.38697378,7.373369486,0.309286047,1
222.jpg,0.325378183,26,0.5725844,27.85340328,10.46015399,0.293306465,1
223.jpg,0.312577521,26,0.356495373,29.33402882,5.635752211,0.333516221,1
224.jpg,0.333724675,28,0.539436458,35.17620006,9.896338376,0.290906764,1
225.jpg,0.316864381,28,0.442094211,29.13073168,7.475195464,0.303317212,1
226.jpg,0.259464725,30,0.305459258,32.96280765,4.216773718,0.380187974,1
227.jpg,0.241425392,34,0.297834402,37.40645844,4.690413836,0.382149344,1
228.jpg,0.314160739,30,0.393652967,30.39840868,6.445856336,0.316904116,1
229.jpg,0.338407845,28,0.568991533,27.86870339,9.613248414,0.277864341,1
230.jpg,0.303723008,28,0.475196611,30.60128717,8.502657132,0.313433961,1
231.jpg,0.311827916,34,0.552903052,27.49076994,10.84351914,0.289388047,1
232.jpg,0.316886924,26,0.411621268,31.46584413,6.89512988,0.312374785,1
233.jpg,0.313290863,30,0.395107798,29.92795157,6.509362525,0.321771142,1
234.jpg,0.324628805,28,0.50975871,29.43220798,8.81977372,0.287190747,1
235.jpg,0.313614988,30,0.401382012,29.54855429,6.248789142,0.320447596,1
236.jpg,0.328085213,22,0.442936712,29.194801,7.150925388,0.30554289,1
237.jpg,0.30332254,28,0.393685499,31.93797674,6.633354366,0.321821051,1
238.jpg,0.320037154,30,0.561297563,29.60429324,10.34606706,0.285942218,1
239.jpg,0.311603574,30,0.434655451,31.4632814,7.320854689,0.307540749,1
240.jpg,0.318800839,30,0.478328222,49.71261607,9.174488239,0.336281659,1
241.jpg,0.299124259,30,0.402174944,35.10272803,6.93725716,0.330110478,1
242.jpg,0.311115266,28,0.568685695,40.68664042,11.17302856,0.297405194,1
243.jpg,0.31175138,30,0.40059151,26.83108814,6.218924559,0.3145807,1
244.jpg,0.321166032,28,0.471410871,30.47240291,8.007599786,0.29814156,1
245.jpg,0.343679078,30,0.585905651,33.75252026,10.55644319,0.282888937,1
246.jpg,0.305627676,26,0.367811441,31.18322199,5.952013051,0.332501602,1
247.jpg,0.315225221,28,0.41624946,28.95189227,6.664959379,0.312657693,1
248.jpg,0.3151893,30,0.429279354,30.52540778,7.210178547,0.306692899,1
249.jpg,0.329300578,28,0.545388223,27.32742677,9.495806724,0.285429108,1
250.jpg,0.334320065,26,0.584782158,26.2531336,10.26118821,0.266964247,1
251.jpg,0.323291609,28,0.502473113,30.17780169,8.765976234,0.297684282,1
252.jpg,0.254863737,28,0.285623121,31.31382144,4.984630194,0.379762747,1
253.jpg,0.313349234,28,0.506641351,41.52487957,9.668281022,0.306425896,1
254.jpg,0.318386818,30,0.441675004,27.72916009,7.392226819,0.30045174,1
255.jpg,0.322225066,28,0.452430197,29.74511043,7.482363276,0.303961397,1
256.jpg,0.31351013,26,0.448195814,31.77590739,7.58077494,0.304650367,1
257.jpg,0.310630044,30,0.404926504,43.69189352,6.520287278,0.3433415,1
258.jpg,0.340850275,26,0.534580509,27.52021534,8.842395996,0.293910558,1
259.jpg,0.288584026,26,0.344910733,29.41184359,5.586537354,0.334220747,1
260.jpg,0.323753435,26,0.450087868,31.31373415,7.529288694,0.304051877,1
261.jpg,0.309831856,28,0.37656063,30.46618377,6.169447793,0.324191112,1
262.jpg,0.303698109,34,0.500091743,117.1178705,8.331275545,0.356390103,1
263.jpg,0.313998526,30,0.524995512,89.6483556,10.10455155,0.327622807,1
264.jpg,0.31063383,28,0.386726143,29.65147503,6.260965426,0.322458467,1
265.jpg,0.307803583,32,0.54119795,39.95318076,10.14563681,0.304443004,1
266.jpg,0.329601978,26,0.478880041,26.21825683,7.137386177,0.297871124,1
267.jpg,0.323722599,28,0.475278403,28.24210885,7.872156237,0.294187822,1
268.jpg,0.32472426,30,0.491068526,27.39810589,8.188085814,0.292426936,1
269.jpg,0.417934992,10,0.236635744,59.92394357,5.48310646,0.58812236,1
270.jpg,0.576500522,2,0.567570805,15.03753526,8.307409011,0.32011476,1
271.jpg,0.386166301,18,0.245576389,597.5680996,8.05999085,0.574727966,1
272.jpg,0.302215636,28,0.065201134,70.43400772,2.010968666,0.69917526,0
273.jpg,0.068172191,28,0.046675343,199.6197166,2.132041861,0.759599669,0
274.jpg,0.286967771,24,0.020275829,1306.928597,2.509182229,0.815352336,0
275.jpg,0.33884019,32,0.040285874,39.76655124,0.504015645,0.843616785,0
276.jpg,0.162203388,38,-0.024339252,20400.51731,3.341742117,0.835913199,0
277.jpg,0.363011756,34,0.001007849,24301.52819,0.345762018,0.843872141,0
278.jpg,0.207147678,28,0.158318706,96.90325239,4.043424103,0.63045511,0
279.jpg,0.628768632,6,0.712071323,13.51311998,7.006141984,0.267285522,1
280.jpg,0.421296433,36,0.025556772,12173.7484,0.796663243,0.854794803,0
281.jpg,0.279998244,30,0.059680586,5022.266774,2.227998955,0.765218591,0
282.jpg,0.207907005,26,0.266149629,996.023287,9.773002992,0.589058545,0
283.jpg,0.265763421,28,-0.013048873,3771.281432,2.267316278,0.846906082,0
284.jpg,0.413596806,28,0.107355422,134.2608542,1.607549756,0.841288035,0
285.jpg,0.216078155,40,0.03570908,810.4859977,1.738597802,0.779756275,0
286.jpg,0.20255044,36,0.197034251,2382.544677,7.989219571,0.701193198,0
287.jpg,0.436172934,32,0.12576897,5470.074977,3.595266136,0.750026276,0
288.jpg,0.338210684,30,-0.003063645,3934.9568,2.085790954,0.836176495,0
289.jpg,0.192924914,30,-0.018420244,11621.47899,0.976307409,0.949624698,0
290.jpg,0.415740363,20,0.17304124,33.79736887,1.628933605,0.537604752,1
291.jpg,0.289914313,36,0.048061969,90.99271361,1.30319536,0.830713908,0
292.jpg,0.318628821,24,0.123428206,46.33285657,3.245187056,0.573005966,1
293.jpg,0.280647832,26,0.636488531,3008.993099,18.60510325,0.430792604,1
294.jpg,0.341284957,40,0.101822374,30.30376682,1.402909481,0.555365812,1
295.jpg,0.273974893,34,0.046412371,102.999029,1.315878148,0.823525698,0
296.jpg,0.361937833,22,0.181637951,31.54397643,2.587878105,0.46617206,1
297.jpg,0.739342839,2,0.676906978,15.13230615,5.73142975,0.264268416,1
298.jpg,0.135006293,28,0.039059384,32.25999872,0.093706235,0.967972995,0
299.jpg,0.186449262,30,0.095167669,209.8992206,4.769946025,0.703004456,0
300.jpg,0.408260808,32,-0.006007272,1561.003524,0.398979177,0.904577413,0
301.jpg,0.425302782,26,-0.002990588,2857.112874,1.088624635,0.866408893,0
302.jpg,0.376266446,30,0.046755055,41.61835191,1.126454838,0.783774396,0
303.jpg,0.152446228,32,0.039059384,32.25999872,0.093706235,0.967972995,0
304.jpg,0.333652955,36,0.024960694,602.5593232,1.263010405,0.848234658,0
305.jpg,0.154530783,30,0.039059384,32.25999872,0.093706235,0.967972995,0
306.jpg,0.317548673,32,0.062141547,81.49083463,1.851610523,0.749597737,0
307.jpg,0.153673774,32,0.043180276,32.14573971,0.424970961,0.892695463,0
308.jpg,0.410382006,26,0.03899398,71.61916429,0.15681534,0.938633907,0
309.jpg,0.322577603,24,0.781944109,3211.209025,20.25259437,0.322857286,1
310.jpg,0.269226171,30,0.014532297,916.5193274,2.35374676,0.79529132,0
311.jpg,0.40799986,32,0.016657385,5081.003671,2.951147972,0.778324377,0
312.jpg,0.360090479,26,0.040515969,38.69439561,0.243452864,0.936427722,0
313.jpg,0.2401835,34,0.07258447,32.61888834,1.612067882,0.683515846,0
314.jpg,0.315518467,32,0.017075806,8567.554356,2.899315087,0.755078726,0
315.jpg,0.368705515,32,0.044325277,485.7220535,1.94385377,0.858746703,0
316.jpg,0.479823537,26,-0.001638851,708.1632515,0.780884372,0.921696427,0
317.jpg,0.105477109,36,0.039059384,32.25999872,0.093706235,0.967972995,0
318.jpg,0.240253837,28,0.077291953,42.35679289,1.873182086,0.658130398,0
319.jpg,0.131770132,34,0.039059384,32.25999872,0.093706235,0.967972995,0
320.jpg,0.576191229,2,0.57031433,15.05289331,8.15494388,0.317389222,1
321.jpg,0.414910746,22,0.053500659,46.23201198,0.952044005,0.738825336,0
322.jpg,0.206305599,32,0.039059384,32.25999872,0.093706235,0.967972995,0
323.jpg,0.429075875,28,-0.001445126,4101.399707,1.569218209,0.893505745,0
324.jpg,0.223863983,34,0.039059384,32.25999872,0.093706235,0.967972995,0
325.jpg,0.399818259,30,0.002262529,9142.552063,2.520150481,0.862431167,0
326.jpg,0.231265589,32,-0.00331457,14008.87117,3.313436954,0.824539019,0
327.jpg,0.423248094,36,0.006873438,1650.941177,1.649541687,0.82332619,0
328.jpg,0.274854535,34,0.038710967,59.77105839,0.860848923,0.881927405,0
329.jpg,0.419192251,34,0.039070952,32.25323661,0.097518661,0.965591305,0
