file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,4.345361519,0,
1.jpg,0.914205297,6,0.96953489,5.74282281,4.335466384,0.139690486,1
2.jpg,0.885224294,8,0.911761168,17.62470067,4.339296462,0.18162184,1
3.jpg,0.910121025,8,0.971626852,7.018877934,4.336745317,0.142554104,1
4.jpg,0.720697623,14,0.791404968,5511.53673,4.116173599,0.340010476,1
5.jpg,0.929887624,6,0.981224691,3.247883314,4.333433854,0.122539236,1
6.jpg,0.929512682,4,0.983340551,3.399809833,4.331250915,0.11896036,1
7.jpg,0.927527946,8,0.97826866,4.024015535,4.333684874,0.128651629,1
8.jpg,0.901655249,4,0.947083132,10.75579506,4.323451068,0.174737615,1
9.jpg,0.923867687,4,0.979738427,12.35125019,4.335840219,0.146449492,1
10.jpg,0.435944208,18,0.74265681,13.21349909,4.094855804,0.235877087,1
11.jpg,0.939660335,4,0.989743951,1.750141585,4.329137658,0.103914735,1
12.jpg,0.898064063,8,0.939315456,12.73805444,4.338600431,0.167374445,1
13.jpg,0.713474764,16,0.213065142,170.1954374,3.112985768,0.447374489,1
14.jpg,0.926300448,4,0.977293644,4.028850247,4.334138764,0.128942986,1
15.jpg,0.879932135,4,0.922208417,17.22786785,4.338986237,0.177759494,1
16.jpg,0.918419094,12,0.982196746,3.547437754,4.323793471,0.12535952,1
17.jpg,0.92323954,8,0.974137867,5.354115477,4.334937829,0.136365569,1
18.jpg,0.896339666,10,0.957160006,25.72462176,4.339970573,0.18400981,1
19.jpg,0.919505684,8,0.969389272,5.096869992,4.335262234,0.137199609,1
20.jpg,0.927914791,6,0.977879633,4.129293713,4.334733311,0.127716926,1
21.jpg,0.907675417,8,0.959930846,8.319203554,4.337600446,0.151379339,1
22.jpg,0.931539139,4,0.986004053,2.366792628,4.331647128,0.113049084,1
23.jpg,0.838447059,18,0.932399231,11.66984281,4.305967021,0.174751237,1
24.jpg,0.915534231,4,0.971394273,6.005543153,4.336540054,0.138990046,1
25.jpg,0.913811991,8,0.960677403,7.807778485,4.337182714,0.150054097,1
26.jpg,0.91253788,4,0.964290173,7.312539941,4.337406897,0.147321901,1
27.jpg,0.918635986,8,0.978079989,4.556434104,4.334062961,0.130966511,1
28.jpg,0.915002491,8,0.968588932,6.345062746,4.335830028,0.142066905,1
29.jpg,0.913236698,6,0.965646022,6.190199148,4.337263744,0.144285806,1
30.jpg,0.934159789,6,0.984044607,3.346213734,4.332999159,0.121111887,1
31.jpg,0.926973729,6,0.974391506,32.26287771,4.339155565,0.170675192,1
32.jpg,0.892565989,10,0.958567816,17.52020142,4.33949685,0.165400067,1
33.jpg,0.928650984,8,0.98066229,3.613322734,4.3330496,0.124928555,1
34.jpg,0.937848109,4,0.987899253,2.219013649,4.327761388,0.110423429,1
35.jpg,0.925145489,6,0.978470329,4.318644514,4.334886289,0.129182821,1
36.jpg,0.90916108,6,0.959247168,9.265895843,4.337870986,0.153662326,1
37.jpg,0.919803365,8,0.969417801,5.845155032,4.336078314,0.140910226,1
38.jpg,0.997226145,2,0.999925746,0.074208468,4.236747109,0.049636414,1
39.jpg,0.933214905,6,0.984015087,3.047125526,4.333584213,0.1184682,1
40.jpg,0.918192846,8,0.973631793,5.251849004,4.335175227,0.136113595,1
41.jpg,0.912078085,4,0.962863094,6.793753929,4.336302365,0.147058614,1
42.jpg,0.904910695,10,0.960018593,8.632618325,4.337395577,0.152903593,1
43.jpg,0.914184129,6,0.968530886,6.323490986,4.336475106,0.143186474,1
44.jpg,0.724235649,14,0.252285545,499.920252,3.276640481,0.409106981,1
45.jpg,0.929677826,6,0.992599619,1.590000623,4.327793607,0.100619616,1
46.jpg,0.907941915,8,0.952440132,10.38713956,4.338720411,0.15884785,1
47.jpg,0.908861649,8,0.967335089,8.184346644,4.337049175,0.147411466,1
48.jpg,0.938784169,4,0.989568654,1.961486432,4.33003504,0.106613087,1
49.jpg,0.939128393,6,0.98993829,1.93538858,4.330870816,0.105083117,1
50.jpg,0.818889051,12,0.983998143,46.48558235,4.234112795,0.215113213,1
51.jpg,0.919786556,6,0.971208244,6.237708435,4.335994539,0.140910038,1
52.jpg,0.932380686,6,0.985024438,2.635015912,4.33000842,0.116133875,1
53.jpg,0.9180589,8,0.970631372,5.059011694,4.335365493,0.136914152,1
54.jpg,0.970046638,6,0.998759823,0.365239379,4.29612975,0.074293005,1
55.jpg,0.909843216,10,0.967068951,7.626800078,4.336694267,0.147498391,1
56.jpg,0.925645375,4,0.985284128,3.091024062,4.333463525,0.118310999,1
57.jpg,0.91024805,6,0.970403128,6.14989156,4.336895457,0.141297734,1
58.jpg,0.920570504,6,0.973359752,4.553263241,4.332859763,0.134257019,1
59.jpg,0.903750625,8,0.961480617,9.893332872,4.337712675,0.155060807,1
60.jpg,0.905871922,8,0.956531394,8.581484606,4.337073065,0.154169114,1
61.jpg,0.910473304,8,0.963054842,7.958991669,4.317013628,0.163916512,1
62.jpg,0.921094321,8,0.982048708,3.266557675,4.332456544,0.123797879,1
63.jpg,0.930421836,6,0.985608271,2.908628555,4.332050247,0.117538657,1
64.jpg,0.933485438,4,0.984600987,2.674891369,4.331684033,0.116227365,1
65.jpg,0.915427389,10,0.96849444,6.896386297,4.336823854,0.143349199,1
66.jpg,0.834643355,16,0.940094178,17.49178089,4.330528403,0.173442366,1
67.jpg,0.838415057,6,0.692073737,458.1886346,4.341484851,0.279327903,1
68.jpg,0.928459482,8,0.978115716,3.855198844,4.334217883,0.127763921,1
