file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,93.50648961,0,
2.jpg,0.198896229,26,0.423158768,219.184716,26.56542221,0.592980103,1
3.jpg,0.502899815,4,0.714447255,133.981356,52.37424933,0.300737463,1
4.jpg,0.345068869,14,0.436544148,85.57714068,11.88822327,0.398549851,1
5.jpg,0.3003566,32,0.268610375,96.80294317,5.066879047,0.352775741,1
6.jpg,0.217049945,32,0.906539017,43.65585309,72.77010585,0.240999247,0
7.jpg,0.304417647,32,0.030153915,101.2414436,0.568851261,0.726890016,0
8.jpg,0.396366644,10,0.799614785,66.09077959,46.09203876,0.287497167,1
9.jpg,0.249385185,26,0.272259796,92.59806856,5.311681471,0.342559506,1
10.jpg,0.327658842,24,0.047288968,98.94965862,0.838621272,0.63497774,0
11.jpg,0.204322451,32,0.850789355,840.2788453,69.7961011,0.34879686,1
12.jpg,0.286446161,20,0.911437577,95.51350107,68.28177765,0.248890284,1
13.jpg,0.256019894,26,0.106640745,100.4845897,2.329326804,0.497139307,1
14.jpg,0.612199616,2,0.960343992,58.91784422,80.55138878,0.170432705,1
15.jpg,0.213492402,34,0.038579519,99.77310891,0.681704203,0.702902358,0
16.jpg,0.1963753,32,0.614633532,106.9926723,39.80683184,0.351666702,1
17.jpg,0.512677736,20,0.945605697,32.14645646,60.2554075,0.18338061,1
18.jpg,0.237844515,28,0.371494424,348.1624659,36.88014046,0.473537249,0
19.jpg,0.748163397,0,0.975746231,36.92660538,82.72637708,0.144842446,1
20.jpg,0.229168362,36,0.368370524,10423.75609,20.23243641,0.62047494,0
21.jpg,0.19433751,32,0.044875487,105.3979252,2.940193562,0.688483874,0
22.jpg,0.223682763,30,0.043450973,107.6776147,0.915997955,0.78285779,0
23.jpg,0.118356572,30,0.110323247,101.9803486,2.389737403,0.473222465,1
24.jpg,0.214542771,32,0.736128095,440.889743,48.21144668,0.352287117,1
25.jpg,0.553067387,6,0.837487178,45.75316829,59.79278142,0.245826649,1
26.jpg,0.31009837,42,0.025312883,99.85798475,0.413205955,0.768388566,0
27.jpg,0.800395689,2,0.976563803,20.81545614,82.04829491,0.143142742,1
28.jpg,0.24480772,26,0.284650513,90.77306989,5.540709294,0.338387149,1
29.jpg,0.309805755,28,0.049254173,107.9084513,1.630895014,0.845639944,0
30.jpg,,,,,,,0
31.jpg,0.306199,30,0.030579321,99.78294093,0.477166117,0.722630211,0
32.jpg,0.240752662,34,0.017180524,100.1865806,0.508763374,0.846347415,0
33.jpg,0.231561799,28,0.025103112,106.5584958,0.652440433,0.952242071,0
34.jpg,0.560396417,8,0.670351018,101.543687,17.52777817,0.262155984,1
35.jpg,0.219691031,28,0.023776411,105.421672,2.337123108,0.761969632,0
36.jpg,0.574825869,6,0.922887832,101.8008074,66.19096532,0.196459965,1
37.jpg,0.25196243,32,0.045529827,99.78939666,0.817628488,0.643608397,1
38.jpg,0.591242872,8,0.926426649,465.9238348,77.4065176,0.230049846,1
39.jpg,0.347785808,16,0.707817457,171.3747533,42.203332,0.331876128,1
40.jpg,0.237430271,38,0.066827112,98.74813528,1.335060603,0.56170457,1
41.jpg,0.263527216,24,0.71379654,86.24979947,60.17790022,0.28968387,0
42.jpg,0.226713564,26,0.136834567,97.71133983,2.476108379,0.426145092,1
44.jpg,0.285347629,26,0.036137823,109.3491306,0.788183759,0.704820179,0
45.jpg,0.251429393,28,0.774041882,86.38166902,35.55502664,0.287229831,1
46.jpg,0.229839509,34,0.130177083,1570.768234,10.80588019,0.6677828,0
47.jpg,0.094231964,32,0.041202517,101.0292136,0.663065488,0.661397029,1
48.jpg,0.172897459,34,0.086331402,1596.248328,12.2181436,0.682145879,0
49.jpg,0.28880641,28,0.027516062,99.51507874,0.665739164,0.911194265,0
50.jpg,0.311508212,36,0.043292899,647.449083,1.677860524,0.658895354,1
51.jpg,0.420659013,8,0.935624978,725.1317981,87.67790047,0.217214186,1
