file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,23.93618841,1.05E-08,
1.jpg,0.923189897,6,0.885097377,150.5458792,23.13745813,0.159609718,1
2.jpg,0.947191736,4,0.906501979,148.6890733,23.48216791,0.147708591,1
3.jpg,0.956974469,4,0.960508025,40.5494018,23.64399561,0.121482031,1
4.jpg,0.929668782,6,0.930587905,119.4850345,23.75858882,0.141248566,1
5.jpg,0.927135125,6,0.941961817,57.76912322,23.5889795,0.139125692,1
6.jpg,0.935401399,6,0.902945185,345.1412351,23.29238979,0.170078495,1
7.jpg,0.948982323,4,0.905470108,146.5761691,23.38317442,0.148593989,1
8.jpg,0.914920813,8,0.855912107,244.8168337,22.826492,0.178309168,1
9.jpg,0.93915258,6,0.94530207,57.03803539,23.58158471,0.133060485,1
10.jpg,0.90527237,6,0.892863507,56.56735057,23.03683333,0.160925093,1
11.jpg,0.938897533,6,0.886866316,145.7974808,23.10129578,0.158487237,1
12.jpg,0.928781396,6,0.885400711,135.3921151,23.20452754,0.158567227,1
13.jpg,0.939997096,6,0.950311408,49.50464908,23.59298541,0.130393049,1
14.jpg,0.917607097,8,0.874789943,101.3064524,23.00945388,0.161995144,1
15.jpg,0.950649739,4,0.931224659,135.4061343,23.69089369,0.141486455,1
16.jpg,0.916238253,6,0.858085861,344.1630582,22.84783188,0.182780874,1
17.jpg,0.936651576,6,0.91108491,167.9685392,23.4098393,0.155091454,1
18.jpg,0.931258226,6,0.896189313,109.2719318,23.26437529,0.15151113,1
19.jpg,0.916150663,6,0.936558097,114.4099581,23.6201033,0.146255404,1
20.jpg,0.919871158,6,0.893320075,168.4218649,23.27853627,0.162375405,1
21.jpg,0.944999365,4,0.952001873,54.2714643,23.75558557,0.126169477,1
22.jpg,0.956091685,4,0.934446428,70.11761765,23.66341308,0.127239526,1
23.jpg,0.908247512,6,0.900246389,122.7408861,23.4198229,0.158059778,1
24.jpg,0.928595454,6,0.925623666,104.5565983,23.62816044,0.143094634,1
25.jpg,0.94755024,6,0.912908393,164.776126,23.48625657,0.149070246,1
26.jpg,0.937753964,6,0.937836139,118.0911157,23.84712895,0.135979347,1
27.jpg,0.929615562,8,0.939299825,127.9029667,23.89166213,0.138377703,1
