file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1.677732824,1.05E-08,
1.jpg,0.677072954,20,0.982572575,142.7918407,1.323218207,0.439567148,1
2.jpg,0.732391199,38,0.982924963,5.314523885,1.146830059,0.411871365,1
3.jpg,0.503557436,32,0.0210613791,808.7126345,0.472234446,0.83641566,0
4.jpg,0.697348786,28,0.986754541,8.998916766,1.190090321,0.375437646,1
5.jpg,0.603590451,28,0.986401005,56.89035082,1.441619112,0.430050568,1
6.jpg,0.484029133,22,0.974576432,57.02357041,1.175598891,0.580851311,1
7.jpg,0.354451065,34,0.867726179,2735.414835,1.243146029,0.713887951,0
8.jpg,0.53171982,28,0.00501904316,70466.91057,0.343821684,0.875886613,0
9.jpg,0.661684159,28,-0.00127446452,87729.05236,0.0973392301,0.949783856,0
10.jpg,0.529383265,32,0.0128194202,26303.0063,0.358221892,0.836950636,1
11.jpg,0.230913097,34,0.00481382986,11792.09304,0.28252496,0.915646837,1
12.jpg,0.660048823,26,0.014400882,95090.55746,0.502825301,0.851179412,1
13.jpg,0.565233738,34,0.93799111,24.42569841,1.314985599,0.453707817,1
14.jpg,0.557294256,32,0.979826564,41.43238698,1.102700848,0.562284112,1
15.jpg,0.65800431,24,0.128444205,47.61195769,0.281815694,0.783580799,1
16.jpg,0.282700944,24,0.892403752,1204.564882,1.325073798,0.653806957,0
17.jpg,0.63572924,30,0.0248270798,1708.012444,0.184380246,0.849447013,1
18.jpg,0.088550362,28,0.0655521527,270618.0765,0.973088162,0.871780591,0
19.jpg,0.467746127,32,0.0354932416,4071.330697,0.56517414,0.831647181,1
20.jpg,0.388244025,34,0.973557235,110.0079667,1.070880616,0.641994266,0
21.jpg,0.213073236,28,0.951584818,1324.136266,1.222604723,0.718710262,0
22.jpg,0.671930858,30,0.982083038,7.616410895,1.113422702,0.476278155,1
23.jpg,0.0937877923,38,0.125148207,231012.2536,1.152242708,0.948361999,0
24.jpg,0.297881151,28,0.972594616,901.9626131,1.252310466,0.612406637,1
25.jpg,0.434643859,26,0.585378019,5718.019082,1.108125984,0.826106041,0
26.jpg,0.283044011,24,0.0029104158,2856.881126,0.0707225814,0.971085547,0
27.jpg,0.556797289,36,0.0445674383,26499.55309,0.24407687,0.887356824,0
28.jpg,0.556379703,26,0.981603469,28.51770514,1.067879414,0.582885364,0
29.jpg,0.326367032,28,0.0964525197,83091.16942,0.481783981,0.928974056,0
30.jpg,0.373557655,32,0.0514795819,123569.664,0.273660761,0.924917705,0
31.jpg,0.574547496,28,0.961745845,106.9633382,1.220566587,0.511960557,1
32.jpg,0.355434295,38,0.299674732,691.331462,0.638925017,0.719284506,1
33.jpg,0.52042742,24,0.862814074,622.0970718,1.614347508,0.589340093,1
34.jpg,0.356080468,30,0.158902118,107299.9538,0.598279905,0.875631948,0
35.jpg,0.595210204,22,0.268694305,898.4110052,0.3125237,0.872203856,0
36.jpg,0.255728212,28,0.00149746137,10491.1758,0.444433334,0.935902999,0
37.jpg,0.309364654,30,-0.00086330771,8049.057553,0.187733478,0.955864811,0
38.jpg,0.472178226,30,-0.000602464414,5856.310748,0.0789379634,0.940947277,0
39.jpg,0.142915439,30,0.0416401346,37459.87579,0.411466695,0.946186768,0
40.jpg,0.519040658,32,0.045115964,12975.98693,0.0662403863,0.909781312,0
41.jpg,0.756594718,36,0.982301085,0.677732824,1,0.477453807,0
42.jpg,0.262218811,30,0.0253593654,24356.74768,0.520496927,0.883707953,0
43.jpg,0.542796822,32,0.91927138,643.7468031,1.303109348,0.590300944,1
44.jpg,0.313478839,32,0.013379879,308527.4738,0.232361229,0.951267419,0
45.jpg,0.619916122,28,0.943307732,82.19848127,1.604424305,0.431931226,1
46.jpg,0.287623914,32,0.00837525648,8023.959499,0.1341415,0.926592156,0
47.jpg,0.653014264,24,0.0429585389,503.8684452,0.291577528,0.793075394,1
48.jpg,0.384121993,30,0.911052588,433.7468863,1.353707094,0.589600845,0
49.jpg,0.22446969,22,0.485216652,78756.19537,0.744444047,0.830542175,0
50.jpg,0.538667856,26,-0.00380652836,100841.9299,0.0128781316,0.987529104,0
51.jpg,0.124749119,22,0.0184349522,117706.9926,0.262303208,0.948366718,0
52.jpg,0.0948911436,32,0.0216856533,61373.13922,0.218029408,0.975925721,0
53.jpg,0.163761047,34,0.970446423,246.671953,1.229059965,0.750124343,0
54.jpg,0.349534195,36,0.153544232,69441.28641,0.900506243,0.814280051,0
55.jpg,0.680720674,32,0.000156913014,444.6451391,0.00954472341,0.980444558,0
56.jpg,0.0716444004,42,0.957630284,56.80815403,1.064416329,0.771920467,0
57.jpg,0.599006429,36,0.993067621,10.65118422,1.402955888,0.286256473,1
58.jpg,,,,,,,
59.jpg,0.341980241,32,0.064749486,26391.06113,0.584988963,0.876993566,1
60.jpg,0.185231042,30,0.783718718,1838.082795,1.267634534,0.803037514,0
61.jpg,0.262006798,28,0.0622817573,122855.2559,0.439917808,0.901553775,0
62.jpg,0.446104293,32,0.0408553699,24243.45875,0.196951383,0.934383282,0
63.jpg,0.665930242,34,0.922839102,23.29923025,1.004481976,0.770680302,0
64.jpg,0.288854734,30,0.590816184,24060.67345,1.127602417,0.852653026,0
65.jpg,0.50317733,26,0.189705827,176707.2769,1.202168315,0.814437577,0
66.jpg,0.416655722,32,-0.00367279423,111216.3848,0.110274217,0.965307609,0
67.jpg,0.387674741,22,0.0043898164,84437.69175,0.0772421559,0.962648219,0
68.jpg,0.239395412,30,0.00748676974,156968.0986,0.486084026,0.936759857,0
69.jpg,0.522537576,34,0.968305571,347.9666953,1.063898302,0.697235142,0
70.jpg,0.388415565,34,-0.00425838169,5945.797286,0.00312458964,0.998142133,0
71.jpg,0.103393939,40,0.374043848,3652.699782,0.777785473,0.87702355,0
72.jpg,0.362022178,30,0.0293004096,2922.565923,0.278998825,0.882779728,0
73.jpg,0.213289534,24,0.00148385689,294.747009,0.115242199,0.958097301,0
74.jpg,0.23336847,34,0.469319168,37154.87132,1.361342112,0.835432667,0
75.jpg,0.450090121,28,0.0513808594,54457.54542,0.205772162,0.942313588,1
76.jpg,0.549770313,40,0.0377463495,13862.29298,0.596533361,0.791535758,0
77.jpg,0.449645708,30,0.950261731,733.8777993,1.034471675,0.707235479,1
78.jpg,0.571587889,26,0.141128105,485.3480856,0.605823943,0.688211493,0
79.jpg,0.47482117,30,0.978935082,52.99650006,1.098640814,0.591894746,0
80.jpg,0.226003439,30,0.00370202009,415670.8543,0.475827231,0.905526701,0
81.jpg,0.279666235,26,-0.00564126885,32208.46553,0.111164737,0.970831392,0
82.jpg,0.192970185,34,0.980016125,16.33129712,1.109627456,0.555149917,0
83.jpg,0.15673856,28,0.00694444752,82506.99401,0.264071883,0.928739879,0
84.jpg,0.304187705,28,0.00474979198,20706.80263,0.104156437,0.963918319,0
85.jpg,0.53949717,30,0.975755143,111.392225,1.079654939,0.642562063,0
86.jpg,0.31964555,36,0.00125616575,107489.7058,0.0663016457,0.956389744,0
87.jpg,0.472686011,32,0.758109699,1578.792681,1.142107835,0.686590383,1
88.jpg,0.194319805,36,0.0333006961,89041.48019,0.382579982,0.956546815,0
89.jpg,0.427298683,36,0.792954689,5670.52128,1.081887209,0.776083382,0
90.jpg,0.118160997,36,0.180335325,13044.39051,0.521954269,0.881653008,0
91.jpg,0.159323334,30,0.42276019,52169.73297,1.222455164,0.889828694,0
92.jpg,0.686790998,36,0.930941111,2.169337156,1.003120244,0.608584528,0
93.jpg,0.360245361,26,0.972548842,138.8019971,1.114595435,0.692354643,0
94.jpg,0.462414452,32,0.00446768253,34354.51967,0.0942195952,0.942534419,0
95.jpg,0.296540889,32,0.0147466502,167990.6081,0.153713543,0.964353868,0
96.jpg,0.231270752,44,0.0208348452,40806.28323,0.528369833,0.929428588,0
97.jpg,0.45761831,32,0.975053288,105.5675712,1.03582075,0.645604065,0
98.jpg,0.622347317,34,0.685204202,511.2162541,1.143375584,0.724961981,1
99.jpg,0.583961421,38,0.000169972113,20432.37389,0.174042118,0.908089727,0
100.jpg,0.64030516,34,-0.00203969136,16546.97662,0.024358275,0.982750084,0
101.jpg,0.177406212,34,0.013568481,134266.5469,0.278237416,0.939106484,0
102.jpg,0.3966677,34,0.804233734,17271.70593,1.133706752,0.804610455,0
103.jpg,0.214348916,30,0.231138033,61407.41011,0.865392754,0.923277869,0
104.jpg,0.453810151,28,0.00554407584,38142.5519,0.121728001,0.957994847,0
105.jpg,0.345779377,34,0.102331227,69872.10174,0.666971723,0.868393598,0
106.jpg,0.543741636,32,0.00314060482,1362.905848,0.136942483,0.907143174,0
107.jpg,0.395678735,26,0.478919868,22472.88327,0.962746693,0.771013606,0
