file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1.562663014,1.05E-08,
1.jpg,1,0,1,0,1.562663014,1.05E-08,1
2.jpg,0.344068437,32,0.91787326,0.674501367,1.101069601,0.266379544,1
3.jpg,0.411277467,34,0.892990008,0.980452172,1.043713713,0.363950687,1
4.jpg,0.353316194,30,0.97443131,1.604563739,1.560368975,0.194740193,1
5.jpg,0.0520092761,34,0.907710465,55.64232822,1.089876548,0.62929207,0
6.jpg,0.322050602,30,-0.0002281946,17729.3367,0.00660957778,0.979075541,1
7.jpg,0.228268932,22,0.936759705,0.346964038,1.150574505,0.216917976,1
8.jpg,0.433799882,28,0.912730415,159.5412805,1.104360609,0.391059481,1
9.jpg,0.422060174,24,0.953599766,0.53832338,1.199218463,0.207183648,1
10.jpg,0.738573048,24,0.999725548,0.0927274362,1.545967317,0.102270513,1
11.jpg,0.422184905,16,0.937377885,26.90116658,1.165007403,0.335904905,1
12.jpg,0.433581023,22,0.935013831,2.424211426,1.151323249,0.268347701,1
13.jpg,0.34608142,36,0.890135306,2.780942488,1.030441752,0.430148011,0
14.jpg,0.305621463,22,0.994444349,7.315563351,1.448379288,0.334541116,1
15.jpg,0.318628137,26,0.921228525,13.65418066,1.120251146,0.532896701,1
16.jpg,0.390279503,20,0.99778675,0.119406698,1.555618464,0.0926686908,1
17.jpg,0.315923945,34,0.958867102,12.56670487,1.218649375,0.239169725,1
18.png,0.426918222,24,0.884715742,0.569515538,1.002940833,0.434284566,1
19.jpg,0.340883468,30,0.066047732,16736.48929,0.102288371,0.883799948,1
20.jpg,0.121859882,38,0.840187709,971.7015222,1.028696115,0.721730428,0
21.jpg,0.000192822733,32,0.884492632,0.562663074,0.99999994,0.447260273,0
22.jpg,0.413028156,32,0.886559908,1.120029117,1.020008703,0.405734173,0
23.jpg,0.415772449,20,0.924259553,1.252149246,1.108389147,0.298527377,1
24.jpg,0.390281448,16,0.991553385,2.674192922,1.561472025,0.21999308,1
25.jpg,0.407294712,34,0.894937034,1.939176888,1.040652316,0.376280747,0
26.jpg,0.15393982,28,0.813490521,3225.230215,1.037928732,0.583587491,1
27.jpg,0.408869963,34,0.00226703351,29772.12967,0.0213073992,0.966126673,1
28.jpeg,0.376726194,12,0.942510394,95.07090945,1.18642919,0.356640394,1
29.jpeg,0.35956094,14,0.974746247,56.47725,1.306461494,0.272317434,1
30.jpg,0.484503261,22,0.115651319,216.458835,0.243562609,0.78408048,1
31.webp,0.901579959,18,0.990806688,3.109888751,1.418014037,0.215725844,1
32.png,0.394867306,20,0.931017519,37.95521765,1.132098327,0.312636446,1
33.jpg,0.775028987,16,0.962730715,3.929132488,1.251198485,0.261161976,1
34.webp,0.774594299,16,0.993251338,2.646566664,1.439407763,0.22468666,1
35.jpg,0.286249187,24,0.967649974,10.70582881,1.250306701,0.190427756,1
36.jpg,0.396254729,24,0.884475072,41.72221124,1.014067008,0.485514441,1
37.jpg,0.49803846,16,0.0230348181,16341.64605,0.0505602815,0.913336543,1
38.jpg,0.33751013,28,0.959973926,11.00665126,1.217410298,0.202833219,1
39.jpg,0.368569458,30,0.000821377857,20.40647181,0.0146414657,0.970844666,1
40.jpg,0.0815790012,30,0.269989588,66211.02788,1.316851286,0.896543517,0
41.jpg,0.345071249,22,0.994824575,3.033398444,1.426359709,0.185758996,1
42.jpg,0.406968859,16,0.918031616,10.66644101,1.100028674,0.30879332,1
43.jpg,0.280340408,30,0.94415295,39.05058592,1.187338775,0.410286458,1
44.jpg,0.304907669,30,0.890470232,3.51777471,1.038221501,0.426484796,1
45.jpg,0.388533405,30,0.922167719,1.937765433,1.110292172,0.28851652,1
46.jpg,0.484209012,32,0.0976909007,16309.35082,0.133164809,0.855076353,1
47.jpg,0.380598595,26,0.970887648,0.507242489,1.549553417,0.129903095,1
48.jpg,0.436433393,28,0.88456481,0.562945189,1.00174438,0.43929862,1
49.jpg,0.0444338955,36,0.0937680694,66137.1123,0.365928953,0.945855067,0
50.jpg,0.464688251,8,0.973044087,0.212401096,1.270666718,0.140652358,1
51.jpg,0.329049569,30,0.916395505,173.805379,1.12636633,0.58321164,0
52.jpg,0.370387923,34,0.99977545,1.671587505,1.557692343,0.186405586,1
53.jpg,0.431258677,24,0.884575059,0.572723849,1.002806569,0.439286311,1
54.jpg,0.48765258,22,0.175019868,173.7720059,0.38474133,0.745121976,1
55.jpg,0.39256024,22,0.995079011,0.0625571434,1.407004317,0.113338674,1
56.jpg,0.782948972,16,0.996180052,0.756909535,1.551705617,0.121963249,1
57.jpg,0.501288328,16,0.0191586304,16318.27277,0.0444641332,0.920611947,1
58.jpg,0.469509195,34,0.884484029,1.084624937,1.000062075,0.449243656,0
59.jpg,0.318179006,28,0.905632184,64.16306717,1.06275538,0.360320031,1
60.jpg,0.497341644,38,0.893275009,0.540882749,1.037055588,0.349671201,0
61.jpg,0.492500832,22,0.17651386,16282.40908,0.236638744,0.800713663,1
62.jpg,0.0704574302,38,0.267030332,24770.99242,1.096590288,0.900014525,0
63.jpg,0.316798326,34,0.344641143,16136.29441,0.449254433,0.755651822,1
64.jpg,0.310192073,28,0.891960521,24.75048469,1.03628776,0.518335072,1
65.jpg,0.345439272,34,0.900157154,16.54560133,1.06699359,0.424254485,0
66.jpg,0.353376049,30,0.510467953,10744.91578,0.790866703,0.595568245,0
67.jpg,0.444026764,28,0.940245072,15.70953317,1.153481601,0.254427285,1
68.jpg,0.306730165,30,0.995184851,10.00329338,1.458225708,0.349140337,1
69.jpg,0.253619631,28,0.892591013,72.08781338,1.06492498,0.541736923,0
70.jpg,0.285239013,24,0.887493127,1.736256343,1.029032305,0.492843707,0
71.jpg,0.325008389,32,0.849876287,6.730865116,1.041344066,0.629492832,0
72.jpg,0.39444019,34,0.726012146,20694.97905,1.554088618,0.721540609,0
73.jpg,0.360622318,32,0.999582323,5.157536406,1.549417112,0.202979625,1
74.jpg,0.274743772,30,0.937359488,0.840253771,1.153744312,0.30321012,0
75.jpg,0.850310751,24,0.998540563,0.0618502041,1.543426506,0.0849154907,1
76.jpg,0.840775309,16,0.923170958,11.78375013,1.13094083,0.459824978,1
77.jpg,0.0525175721,34,0.900479519,51.75882128,1.074233689,0.639095374,1
78.jpg,0.342019009,30,0.0716456892,16699.036,0.108093391,0.878617896,1
79.jpg,0.406968859,16,0.918031616,10.66644101,1.100028674,0.30879332,1
80.jpg,0.329244202,20,0.910166936,26.08828774,1.101363305,0.506548323,0
81.jpg,0.294709172,32,0.915923229,28.76869716,1.116536068,0.569541877,0
82.jpg,0.365890108,30,0.989441953,1.304895326,1.550763717,0.184902369,1
83.jpg,0.343479615,36,-0.000481402494,19062.98278,0.00809481845,0.97887818,1
84.jpg,0.329011261,20,0.908296022,28.67487288,1.096936339,0.509901887,0
85.jpg,0.174842927,32,0.117085974,70.7245497,0.262615714,0.92955152,0
86.jpg,0.279330369,28,0.979220039,52.00374638,1.556666791,0.455172273,0
87.jpg,0.445202603,34,0.906242857,0.73077794,1.077437674,0.317760446,0
88.jpg,0.392440015,34,0.895540605,7.922056947,1.049388258,0.447847313,0
89.jpg,0.315734179,36,0.8858212,0.559434979,1.012236965,0.408309796,0
90.jpg,0.43271851,18,0.921891197,7.427242716,1.107804628,0.325672676,1
91.jpg,0.368149698,24,0.975716108,2.896458628,1.560118861,0.237145886,1
92.jpg,,,,,,,
93.jpg,0.0706695453,30,0.33233819,35958.44703,0.868243808,0.906458928,0
94.jpg,0.348509244,34,0.889119116,3.399582403,1.029978888,0.421777439,0
95.jpg,0.255928853,32,0.961202877,167.3793307,1.274153088,0.38063565,0
