file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1.616532587,0,
1.jpg,0.535432629,28,0.942189923,651.1739058,1.074922993,0.57253245,1
2.jpg,0.431420868,34,0.656049415,189.2873806,1.057092559,0.699091785,1
3.jpg,0.526719895,30,0.925742015,1116.508761,1.089721721,0.694518467,1
4.jpg,0.665828002,26,0.925441502,244.4285784,1.005973792,0.582372189,0
5.jpg,0.65478055,34,0.927721403,103.8541009,1.129103292,0.565431342,1
7.jpg,0.681191538,28,0.949411577,16.34816475,1.077760177,0.552442593,1
8.jpg,0.675164878,34,0.927393996,13.62219081,1.069113805,0.583599522,1
9.jpg,0.50133298,30,0.930095803,734.0415727,1.107346743,0.578862501,1
10.jpg,0.668391132,28,0.930696724,368.5114076,1.051277878,0.632073369,1
11.jpg,0.650921741,26,0.955616559,63.11957984,1.059789764,0.554364443,1
12.jpg,0.605005696,32,0.951140745,309.5380001,1.090428949,0.559448213,1
13.jpg,0.678302485,26,0.90703835,104.4115407,1.06076445,0.610762788,1
14.jpg,0.549747374,28,0.95638529,227.0986592,1.126817903,0.478034428,1
15.jpg,0.637952925,26,0.895385549,17.21680392,1.086880662,0.594585434,1
16.jpg,0.754582627,32,0.926617903,504.2804372,1.011651978,0.551203259,1
17.jpg,0.592011315,32,0.946791266,16.12312767,1.082968845,0.574331669,1
18.jpg,0.58139561,30,0.915021933,257.981137,1.064953693,0.59223919,1
19.jpg,0.662522415,32,0.911764066,82.12847601,1.013388042,0.587614436,1
20.jpg,0.467703596,34,0.953752304,75.74054024,1.105942993,0.507695233,1
21.jpg,0.527467583,32,0.00476448288,37736.03218,0.12765132,0.952925064,1
22.jpg,0.50864443,30,0.930848368,648.2858325,1.105446062,0.575345796,1
23.jpg,0.706664298,32,0.951889219,48.49429086,1.05957958,0.532962793,1
24.jpg,0.460828342,34,0.951696652,187.5186639,1.071652661,0.623816448,0
25.jpg,0.502462544,34,0.952052391,102.6009031,1.132279127,0.541015627,1
26.jpg,0.712495415,34,0.956755193,73.73013593,1.017153991,0.492222328,1
