file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,5.268723971,0,
1.jpg,,,,,,,
2.jpg,0.338217733,26,0.064450453,47.421916,0.761498471,0.699509252,1
3.jpg,0.4707237,24,0.049725816,50.18618723,0.24583652,0.817953875,1
4.jpg,0.374055285,24,0.069284111,98.50314297,0.883440134,0.675201425,1
5.jpg,0.376007372,22,0.282123236,55.91851872,2.426319447,0.544497885,1
6.jpg,0.368133003,24,0.050895946,161.3099422,0.86666739,0.717680377,1
7.jpg,0.314741606,36,0.004312184,451.4479818,0.417018926,0.892446373,1
8.jpg,,,,,,,
9.jpg,0.429473062,24,0.131116185,24.32522428,1.094536784,0.57139884,1
10.jpg,0.200405448,30,0.034887572,324.1954821,0.146302607,0.940156052,0
11.jpg,0.325201037,24,0.035180397,1974.7391,0.794826493,0.836642474,0
12.jpg,0.217611914,32,0.062274808,214.0976684,0.603328003,0.800851825,1
13.jpg,0.132200211,36,0.077765056,649.6542033,0.872531626,0.781635154,1
14.jpg,0.287730799,30,-0.003342201,637.164609,0.307511131,0.922066471,1
15.jpg,0.273588075,26,0.009640212,769.9610547,0.243224941,0.926754896,1
16.jpg,0.316140116,14,0.060138149,523.829573,1.051694026,0.743867924,1
17.jpg,0.137861086,36,-0.006078232,13622.11126,0.839783607,0.919134947,1
18.jpg,0.474732085,20,0.083301472,29.12042138,0.609832797,0.785807525,1
19.jpg,0.455592647,18,0.119153088,45.78659142,1.601753724,0.635830784,1
20.jpg,0.447090616,14,0.408821899,52.78084579,2.573959499,0.49228673,1
21.jpg,0.237590413,30,0.005413945,7000.2564,0.622125647,0.885551493,0
22.jpg,0.260269378,26,0.264844888,411.5105998,2.600347037,0.55695707,1
23.jpg,0.299147387,30,0.134699542,541.356809,1.084916344,0.698368891,1
24.jpg,,,,,,,
25.jpg,0.48086371,8,0.776070473,14.89300265,4.344512574,0.325862318,1
26.jpg,0.432353103,12,0.806772599,13.24412601,4.191723094,0.348191873,1
27.jpg,0.832116314,8,0.409990436,26.80205378,2.443552571,0.526305577,1
28.jpg,0.36176219,16,0.082207001,5883.178801,1.891640056,0.759113378,1
29.jpg,0.85768949,4,0.827078824,11.8195259,3.338412443,0.390859488,1
30.jpg,0.593392029,2,0.73808145,20.67095359,4.328705077,0.331115491,1
31.jpg,0.440173567,24,0.058350803,193.7128008,0.676238872,0.753785099,1
32.jpg,0.380768043,26,0.08428454,276.4368109,1.326760906,0.677257144,1
33.jpg,0.333390723,22,0.050771519,403.7908935,0.251826902,0.861351453,1
34.jpg,,,,,,,
35.jpg,0.584420024,2,0.335656028,7.849029049,1.592066712,0.500374963,1
36.jpg,0.320918362,30,0.290036352,26.15545745,0.940908187,0.63407093,1
37.jpg,0.393319449,16,0.483669196,96.37569206,3.403231839,0.466437918,1
38.jpg,0.388047687,12,0.061071578,659.7877127,1.215618426,0.759478886,0
39.jpg,0.33725377,24,0.004830926,551.9909362,0.328163317,0.899748555,1
40.jpg,0.149644522,40,0.07231639,32.33760054,0.263299419,0.858332523,1
41.jpg,0.450417814,8,0.10904633,552.385597,1.800353327,0.63561573,1
42.jpg,0.161778649,40,0.060687733,41.23000702,0.183534227,0.883280933,1
43.jpg,0.19063484,38,0.032490105,37.82170466,0.114498147,0.946036357,1
44.jpg,0.144951344,36,0.040287092,17.61016472,0.102850995,0.949423279,1
45.jpg,0.143064532,28,0.042511448,3306.922686,0.099028246,0.938271495,1
46.jpg,0.23245132,30,0.055587746,109.8747038,0.106821669,0.92465523,0
47.jpg,0.140912247,30,0.049082934,62.74805519,0.161362885,0.904508097,1
48.jpg,0.169430872,30,0.009771366,461.2995335,0.281444731,0.919013932,1
49.jpg,0.251792752,28,0.079648651,96.12933959,0.891387149,0.76942603,0
50.jpg,,,,,,,
51.jpg,0.112951739,28,-0.009176168,16780.81323,1.164642486,0.870517496,0
52.jpg,0.378230803,32,0.049218478,1254.10811,0.122567049,0.935652846,1
53.jpg,,,,,,,
54.jpg,0.36422642,22,0.040708062,3228.269246,0.125740801,0.94583291,0
55.jpg,0.4147035,32,0.117997998,16.59657166,0.38345402,0.787928395,1
56.jpg,0.15274081,36,0.031538772,1947.578091,0.129066264,0.948756949,1
57.jpg,0.331989148,22,0.04160596,1414.273596,0.364540102,0.881054019,1
58.jpg,0.262747475,26,0.106399805,606.6804445,1.388575664,0.725078334,0
59.jpg,0.402008585,28,0.000373359,5.362070668,0.053391054,0.982533058,0
60.jpg,0.384853806,28,0.043241022,3061.057766,0.197985094,0.916870735,0
61.jpg,0.251003351,34,0.030890156,17998.92033,1.914952492,0.800606253,0
62.jpg,0.344538502,28,0.032196718,16547.94613,0.831658708,0.863904979,0
63.jpg,,,,,,,
64.jpg,0.30540238,26,0.421484147,42.51594972,3.420027464,0.43288169,1
65.jpg,0.331355202,24,0.062963411,200.5302338,0.896949313,0.732960613,1
66.jpg,0.276951869,30,0.07385792,1848.877753,1.645204578,0.751750498,1
67.jpg,0.155887582,28,0.000442872,2241.409878,0.424800497,0.920237131,0
68.jpg,0.254418084,34,0.024983389,11120.06471,0.106677914,0.951925735,1
69.jpg,0.223933023,36,0.056784617,19.39090591,0.134763332,0.923886592,1
70.jpg,0.371710403,32,0.044361064,1172.385253,0.116680716,0.931821625,0
71.jpg,,,,,,,
72.jpg,0.326129497,26,0.077390969,313.4136454,1.273783082,0.69563115,1
73.jpg,0.234323522,38,0.082794527,49.80908819,1.15632433,0.733637041,1
74.jpg,0.385505811,34,0.405178996,344.9591243,2.317597584,0.593062822,1
75.jpg,0.528619029,12,0.646049201,4.976772525,2.827837189,0.360093378,1
76.jpg,0.357213616,4,0.627081123,35.44846952,3.678453957,0.390391443,1
77.jpg,0.511412861,6,0.444390422,8.689079501,1.94555394,0.474734331,1
78.jpg,0.513218898,8,0.224540632,5441.533858,1.236638438,0.773416208,1
79.jpg,0.392864757,10,0.137432142,32.89670655,1.199051153,0.678395006,1
80.jpg,0.506017833,8,0.708221773,27.27101999,4.434362937,0.308895542,1
81.jpg,0.444314077,10,0.101225966,585.7430997,1.758649097,0.664790544,1
82.jpg,0.491688959,6,0.955296427,3.978817862,4.286772302,0.251195909,1
83.jpg,0.474921384,8,0.565091695,37.47224634,3.004515309,0.442289469,1
84.jpg,0.730565304,6,0.779870182,18.91190785,4.473407845,0.301718986,1
85.jpg,0.599523556,20,0.804017677,4.025018575,1.133090211,0.623207012,0
86.jpg,0.54689131,10,0.399797178,5.673264878,0.912799012,0.615853606,1
87.jpg,0.38708529,36,-0.000947029,10952.62713,0.429124656,0.885835657,1
88.jpg,0.305175508,32,0.009366542,149.3591985,0.629531686,0.828964401,1
89.jpg,0.218418095,34,0.107646591,1513.054161,0.494389622,0.78432023,1
90.jpg,0.334631916,26,0.10637036,3277.82846,1.909925238,0.675821446,1
91.jpg,0.404586017,14,0.749925301,17.31943822,4.043390481,0.328049776,1
92.jpg,0.350440981,44,0.39493661,9.630025978,0.859927472,0.692732222,1
93.jpg,0.278875412,24,0.155441886,339.0928649,2.074234971,0.628357239,1
94.jpg,0.336789185,26,0.12396466,77.48018116,1.246162532,0.691673237,1
95.jpg,0.114248482,30,0.05659605,119.397584,0.63099175,0.823024649,0
96.jpg,0.210731179,24,0.436318344,138.4457388,2.456801486,0.56767035,1
97.jpg,0.7820693,10,0.669611649,20.26351634,4.044793118,0.334563083,1
98.jpg,0.291553974,28,0.064994214,582.0354953,0.745263924,0.793711374,1
99.jpg,0.33724142,26,0.057146976,323.4173524,0.899685129,0.753523175,1
100.jpg,0.153366357,12,0.082799891,22.23217084,1.066422567,0.687027607,1
101.jpg,0.347694258,32,0.075282123,60.01671885,0.698428818,0.74444716,0
102.jpg,0.287687334,34,0.458719443,25.45868258,2.094459127,0.501114437,1
103.jpg,0.515437594,6,0.5628412,18.17665805,3.055306393,0.408216529,1
104.jpg,0.096530081,30,0.052847275,58.78742809,0.146272995,0.910760816,0
105.jpg,0.334875255,28,0.022027042,2175.928655,0.647358304,0.855291654,1
106.jpg,0.281498999,26,0.039535827,548.3781302,0.183486364,0.948398186,0
107.jpg,0.292379797,32,0.297804917,33.75852755,2.33382492,0.515104494,1
108.jpg,0.180342419,32,0.224462212,52.90662137,2.104053096,0.57905548,0
109.jpg,,,,,,,
110.jpg,0.375456715,26,0.608341275,3.656552041,2.473098519,0.413064354,1
111.jpg,0.144519445,20,0.039750649,7235.447713,1.669056919,0.798590317,1
112.jpg,0.385745376,40,0.169187709,24.28158675,1.152977162,0.628624823,1
113.jpg,0.281616728,30,0.100450824,200.8645331,0.749621656,0.701561295,1
114.jpg,0.283184902,24,0.189041704,47.86101855,0.732400267,0.740410366,1
115.jpg,0.140117247,18,0.389701605,25.19274892,2.531360031,0.58475246,1
116.jpg,0.085932175,28,0.052347286,222.7274598,0.207018934,0.908551843,1
117.jpg,0.299345651,30,0.709769979,81.2645485,4.489677117,0.382456371,1
118.jpg,0.294680244,30,0.29694988,55.69838682,2.103107825,0.600645428,1
119.jpg,0.335232736,30,0.414202541,20.7423129,1.234072739,0.69788674,1
120.jpg,0.284697101,24,0.196913124,712.3238228,2.09594519,0.671399941,1
121.jpg,0.384776391,28,0.060790867,201.5525796,0.689636457,0.804190988,1
