file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,59.21052554,0,
2.jpg,0.253482127,14,0.879684686,21.70121608,36.39485161,0.231049332,1
3.jpg,0.302952532,12,0.660272086,51.48867921,33.24712662,0.361429226,1
4.jpg,0.236259988,12,0.88048814,26.95006115,38.0939221,0.235977211,1
5.jpg,0.236404853,12,0.69105928,97.00615805,30.61229027,0.400936157,1
6.jpg,0.246811924,18,0.251551263,56.60003354,3.040754428,0.405830317,1
7.jpg,0.254288359,14,0.826276969,29.05455383,32.35127125,0.273926661,1
8.jpg,0.300804742,18,0.965189671,12.2176505,38.85629226,0.178875448,1
9.jpg,0.390551892,8,0.98348886,21.1367605,52.39322517,0.185951209,1
10.jpg,0.238097393,14,0.673973018,39.72980366,17.12526589,0.343766061,1
11.jpg,0.10201592,36,0.873901344,29.40973426,36.43959894,0.245063954,1
12.jpg,0.190182038,24,0.216083901,56.69252777,2.963283123,0.400424291,1
13.jpg,0.213932382,20,0.827813065,132.4937875,45.05402607,0.296460726,0
14.jpg,0.159227737,26,0.331904488,53.42303945,4.782757001,0.324291392,1
15.jpg,0.214294994,16,0.445316698,52.134954,13.62709507,0.481947756,1
16.jpg,0.168685637,32,0.50530966,127.2387616,20.86452936,0.414234203,0
17.jpg,0.274644325,10,0.899619984,24.4394845,39.88402283,0.290480331,0
18.jpg,0.220123317,20,0.658880362,36.95046364,21.54618088,0.349378982,0
19.jpg,0.253242225,16,0.379529366,53.02336738,5.250184246,0.434085646,1
20.jpg,0.198487048,14,0.901011657,65.70967563,49.91947686,0.297804801,1
21.jpg,0.107010886,34,0.305520618,75.51012216,7.71643774,0.525947204,0
22.jpg,0.108056989,38,0.202952253,216.2449487,10.90384584,0.617761275,0
23.jpg,0.152083371,36,0.201066322,56.79788653,2.921204542,0.41028936,1
24.jpg,0.129596728,28,0.721107743,126.2636095,29.09261749,0.454080782,0
25.jpg,0.155705812,28,0.765502497,32.89581261,25.26818054,0.395938636,0
26.jpg,0.133638686,30,0.086809293,2383.532653,9.942823598,0.714406485,0
27.jpg,0.11683537,32,0.358878299,76.3838579,12.80269178,0.545174834,0
28.jpg,0.113676264,32,-0.014027445,509.2340369,2.166107784,0.934660174,0
29.jpg,0.115401056,32,0.596931685,40.48982855,24.64389127,0.417743966,0
30.jpg,0.216253854,20,0.495645042,183.0023708,25.96101365,0.486416347,0
31.jpg,0.130034161,24,0.035221241,62.55356992,0.486487775,0.957803011,0
32.jpg,0.213840663,30,0.495900281,49.83521764,15.1778003,0.401193272,0
33.jpg,0.094006077,26,0.046001159,62.01389659,0.208187133,0.969898817,0
34.jpg,0.15870847,28,0.753982604,89.73338353,28.26282467,0.356595356,0
35.jpg,0.075486869,26,0.205321776,57.04765444,2.924787887,0.458479324,0
36.jpg,0.097432951,28,0.051031756,61.36012274,0.554659108,0.814882385,0
37.jpg,0.095650113,34,0.042543474,63.73892638,0.886795294,0.9188648,0
38.jpg,0.103709621,28,0.053222494,61.75575401,0.897144097,0.776989798,0
39.jpg,0.3152789,10,0.860218469,43.04023197,39.53947942,0.308245666,1
40.jpg,0.226475854,20,0.884338018,34.87993074,36.7648935,0.263953011,1
41.jpg,0.049616137,28,0.047006099,60.86044107,1.007678218,0.821315396,0
42.jpg,0.039621841,28,0.050907504,70.09064956,2.138130236,0.80975326,0
43.jpg,0.117661763,28,0.288067624,53.07908621,5.930653306,0.464360509,0
44.jpg,0.152425978,32,0.270103977,3829.554327,24.81876822,0.627919198,0
45.jpg,0.141805252,26,0.078885921,69.20723391,2.681029144,0.741052275,0
46.jpg,0.174644676,30,0.112001284,1243.889051,6.083026434,0.809581285,0
47.jpg,0.071748859,30,0.018523535,135.3554049,5.233279945,0.742619527,0
48.jpg,0.043740298,30,0.058113287,60.64030826,1.068056028,0.831581483,0
49.jpg,0.140001517,26,0.077372504,498.2067775,6.912659696,0.734830655,0
50.jpg,0.158361903,30,0.044877754,90.70349062,3.343070969,0.807303669,0
51.jpg,0.068279832,24,0.058246134,60.87772604,0.912347718,0.721765404,0
52.jpg,0.088077874,32,0.112048058,356.3971078,4.985962417,0.782590721,0
53.jpg,0.118926006,34,0.143190754,100.8999877,2.885272263,0.708388305,0
54.jpg,0.144617063,34,-0.044057724,987.6685652,1.262990125,0.974837169,0
55.jpg,0.120127027,30,0.361435626,774.1338667,25.80376964,0.543776548,0
56.jpg,0.014385586,34,0.051114795,61.32058014,0.592449134,0.786204498,0
57.jpg,0.06550104,34,0.102872204,217.267533,7.464414795,0.730042034,0
58.jpg,0.066624329,32,0.124069793,165.8587453,4.644308295,0.625839532,0
59.jpg,0.189187518,28,0.842164107,27.39876461,30.57443053,0.373101157,0
60.jpg,0.141653086,28,0.828443185,195.3126451,39.79131792,0.377840658,0
61.jpg,0.056740795,32,0.031106348,576.7562742,13.73187468,0.723608924,0
62.jpg,0.104991018,28,0.123388783,213.4713659,8.792945299,0.741494264,0
63.jpg,0.128505255,20,0.868768657,35.3525584,29.40877106,0.27300867,0
64.jpg,0.198429527,26,0.0833435,888.5354477,5.939897608,0.787463468,0
65.jpg,0.153355587,30,0.479900868,560.5961463,30.0074224,0.503491237,0
66.jpg,0.110880758,34,0.066212545,61.66410557,1.990762244,0.762829481,0
67.jpg,0.089783709,26,0.084181978,68.13017191,4.41995126,0.671113861,0
68.jpg,0.089202114,28,0.045972155,61.93768431,0.272850142,0.963614742,0
69.jpg,0.088245921,36,0.061638896,67.37163318,1.664752865,0.734395512,0
70.jpg,0.109986079,30,0.893764918,140.3651188,52.17246973,0.2861458,0
71.jpg,0.097833669,34,0.12794542,1969.613393,13.06453301,0.667612416,0
72.jpg,0.056959151,34,0.327796575,786.7682091,14.53698869,0.62889321,0
73.jpg,0.069161493,38,0.033970818,498.2861303,4.773307466,0.79829969,0
74.jpg,0.100448083,32,0.075576335,59.76964255,1.784624867,0.654155803,0
75.jpg,0.130466228,30,0.098442458,259.7864197,6.533433843,0.701910737,0
76.jpg,0.080823361,34,0.077741872,59.24327824,1.769961901,0.639723281,0
77.jpg,0.096236176,28,0.030475784,84.6384997,4.600112116,0.831658832,0
78.jpg,0.099981132,32,0.284237794,53.52147336,5.052049153,0.387756354,0
79.jpg,0.099327718,32,0.217365449,1174.235263,16.22667914,0.677832071,0
