file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1,0,
1.jpg,0.841885191,0,1,0,1,0,1
2.jpg,0.0640361249,38,1,0,1,0,0
3.jpg,0.0795170146,34,1,0,1,0,1
4.jpg,0.0983201115,32,0.979166967,0,1,0.590500399,1
5.jpg,0.0766133971,34,0.0165005662,0.910450491,0.0458246842,0.9777492,0
6.jpg,0.0735555732,34,0.423678466,0.124031049,0.647819579,0.792593342,0
7.jpg,0.0610194918,32,0.626537517,0,1,0.887852399,0
8.jpg,0.0851236322,30,0.955673929,0,1,0.610929859,1
9.jpg,0.0864199567,40,1,0,1,0,0
10.jpg,0.0715623222,36,0.00157937504,0.966373101,0.0169572495,0.988995475,0
11.jpg,0.100184271,26,0.908006757,0,1,0.566306723,1
12.jpg,0.0470848768,32,-0.00171150562,0.999568747,0.000215656677,0.997747858,0
13.jpg,0.0788571715,34,0.907821315,0,1,0.804024972,0
14.jpg,0.038398288,32,0.00168442521,0.995453411,0.0022759086,0.980861335,0
15.jpg,0.145235858,34,0.86075163,0,1,0.791399052,0
16.jpg,0.0910819193,40,0.458541239,0.123659441,0.648347557,0.801389635,1
17.jpg,0.0608532652,34,1,0,1,0,0
18.jpg,0.0976127278,32,0.136506977,0.353243184,0.405657351,0.932468217,0
19.jpg,0.759377762,6,0.999609162,0,1,0.255425749,1
20.jpg,0.0822178799,36,0.82010507,0,1,0.743009262,1
21.jpg,0.0486411788,30,0.014929758,0.790284754,0.111020409,0.984736912,0
22.jpg,0.082774775,38,0.998660374,0,1,0.25686359,0
23.jpg,0.0655170029,38,0.959637556,0,1,0.754636369,0
24.jpg,0.0467973374,38,0.99999398,0,1,0.0775239497,1
25.jpg,0.567268035,10,0.99868663,0,1,0.47012404,1
26.jpg,0.0788987451,34,0.809836725,0,1,0.789839731,0
27.jpg,0.179591515,22,0.997695913,0,1,0.412665291,0
28.jpg,0.106627542,38,0.0919379656,0.726434879,0.147688478,0.923598055,0
29.jpg,0.0748785516,38,0.999615577,0,1,0.403274788,0
30.jpg,0.0659767731,32,0.074044154,0.554746087,0.255187213,0.956571783,0
31.jpg,0.0872752053,34,0.998734006,3.55E-15,0.99999994,0.439422814,1
32.jpg,0.0491996859,30,0.999262844,0,1,0.168901444,0
33.jpg,0.104862187,26,0.128821437,0.749817356,0.134080067,0.875600541,0
34.jpg,0.0591160857,32,0.941738025,0,1,0.7741396,0
35.jpg,0.0949556299,30,0.988999099,0,1,0.316973905,1
36.jpg,0.13490305,12,0.999733838,0,1,0.131171846,1
37.jpg,0.0857752877,40,0.998208347,0,1,0.415296232,0
38.jpg,0.0881276458,38,0.170747781,0.0738518383,0.728243053,0.943711335,0
39.jpg,0.120503477,36,0.999550414,0,1,0.214230224,0
40.jpg,0.125938083,34,0.110937593,0.642660287,0.198339045,0.939661003,0
41.jpg,0.094101812,34,1,0,1,0,0
42.jpg,0.151384457,16,0.999944672,0,1,0.279582407,1
43.jpg,0.0912574999,30,0.990535545,0,1,0.488099457,1
44.jpg,0.0881006632,30,1,0,1,0,0
45.jpg,0.0850591111,36,0.447667229,3.55E-15,0.99999994,0.916146809,0
46.jpg,0.0909388188,34,0.888637919,0,1,0.602714441,1
47.jpg,0.0872326431,28,0.455930301,0,1,0.91727646,0
48.jpg,0.101463259,30,0.0992177991,0.807852182,0.101193994,0.897047427,0
49.jpg,0.0679680381,32,0.959819767,0,1,0.723582633,1
50.jpg,0.0892558003,36,0.882048115,0,1,0.671527035,0
51.jpg,0.119731098,38,-1.72E-05,0.991009625,0.00450533303,0.990866615,0
52.jpg,0.115450747,30,0.491796586,0,1,0.879124739,0
53.jpg,0.0803991038,20,0.284408552,0.313821542,0.439802229,0.875377759,1
54.jpg,0.0692503305,22,0.133177923,0.598081102,0.226642951,0.925381085,1
55.jpg,0.144945357,30,1,0,1,0,1
56.jpg,0.123127454,36,0.966158978,0,1,0.541539912,0
57.jpg,0.0710745022,34,0.0233331892,0.931761214,0.0347222202,0.968919033,0
58.jpg,0.0718602729,26,1,0,1,0,0
59.jpg,0.0913633006,24,0.00203293571,0.959409266,0.0205056183,0.98884069,0
60.jpg,0.0926925658,34,0.99833137,0,1,0.402445026,0
61.jpg,0.109417371,36,0.992805581,0,1,0.385915755,0
62.jpg,0.0556432004,32,0.913164325,0,1,0.791000006,0
63.jpg,0.118114731,32,0.999945446,0,1,0.210863788,0
64.jpg,0.079506242,28,0.999995729,0,1,0.145411827,1
65.jpg,0.0847997972,38,0.996533385,3.55E-15,0.99999994,0.464549738,0
66.jpg,0.0975850243,30,0.975625558,0,1,0.523670539,0
67.jpg,0.0709363097,34,0.00324074189,0.944190142,0.0283055454,0.98884069,0
68.jpg,0.121573073,32,0.104645423,0.795947017,0.10784135,0.883696905,0
69.jpg,,,,,,,
70.jpg,0.0717061877,34,0.934789955,0,1,0.79880574,0
71.jpg,0.068522216,26,-0.00308815946,0.997070078,0.00146600697,0.996319636,0
72.jpg,0.122575197,32,1,0,1,0,0
73.jpg,0.108419938,26,0.662059072,0,1,0.751340656,0
74.jpg,0.055526015,30,0.989303733,0,1,0.65164407,0
75.jpg,0.0939284501,36,0.17001651,0.157300408,0.603388846,0.938580675,0
76.jpg,0.0830996463,34,0.962944108,0,1,0.641748288,0
77.jpg,0.0707826723,34,0.0198788171,0.94460534,0.028091915,0.971527108,0
78.jpg,0.0835493005,36,0.0272156062,0.910508957,0.0457940437,0.958457147,0
79.jpg,0.114335141,38,0.00546041165,0.983112004,0.00847993419,0.980192212,0
80.jpg,0.0448578258,34,1,0,1,0,0
81.jpg,0.0984643526,32,1,0,1,0,1
82.jpg,0.237036327,10,0.987075788,0,1,0.706911189,1
83.jpg,0.0920476659,30,0.927577792,0,1,0.7005191,1
84.jpg,0.119810008,28,0.106516364,0.771805266,0.121475503,0.869071507,0
85.jpg,0.0811511994,36,0.000349590521,0.98438423,0.00783858355,0.990409742,0
86.jpg,0.07541445,38,0.983678957,3.55E-15,0.99999994,0.412073816,0
87.jpg,0.156411988,16,0.999233078,0,1,0.440544856,1
88.jpg,0.108168787,32,0.269086184,0.513384015,0.28349179,0.791056978,0
89.jpg,0.123562013,30,0.0991692442,0.809065531,0.10051927,0.852724116,0
90.jpg,0.143356151,26,-0.00135843409,1,0,1,0
91.jpg,0.111031166,34,0.890697419,0,1,0.477446913,1
92.jpg,0.0957996019,30,0.627849682,0,1,0.731781977,1
93.jpg,0.0922898715,36,-0.000696055849,0.999840981,7.95E-05,0.997091541,0
94.jpg,0.119088565,30,0.999643,0,1,0.404288084,0
95.jpg,0.0797422644,26,1,0,1,0,1
96.jpg,0.0379213746,30,0.644221331,0,1,0.859903374,0
97.jpg,0.0913037705,24,0.0812316988,0.701102636,0.162681296,0.945602902,0
98.jpg,0.116603595,34,0.00240826897,0.983029149,0.0085217515,0.985430925,0
99.jpg,0.0578674887,40,0.196793322,0.155553617,0.605597138,0.942305893,0
100.jpg,0.0716337615,32,0.976591899,0,1,0.657542181,0
101.jpg,0.0674991857,30,0.933830069,0,1,0.703608441,0
102.jpg,0.0751042094,38,0.999904325,0,1,0.205159078,0
103.jpg,0.215292684,18,1,0,1,0,1
104.jpg,0.0722268151,32,0.875278585,0,1,0.809716729,0
105.jpg,0.0636829393,28,0.994436802,0,1,0.675023878,0
106.jpg,0.0473228888,30,0.00154724778,0.939363111,0.0307925306,0.989803984,0
107.jpg,0.0903781764,34,0.862656792,0,1,0.713520397,0
108.jpg,0.0681482933,38,0.999313791,0,1,0.456511516,0
109.jpg,0.0571625684,38,0.793612394,0,1,0.888617329,0
110.jpg,0.164511088,16,0.982135717,0,1,0.675317746,1
111.jpg,0.105539671,28,0.434619391,0.0710978472,0.733358204,0.821019804,0
112.jpg,0.0752420589,30,1,0,1,0,0
113.jpg,0.216869082,12,0.849853635,0,1,0.766651752,0
114.jpg,0.0702006327,26,0.907413869,0,1,0.543372972,0
115.jpg,0.124778539,34,0.0473629009,0.861996913,0.0715621263,0.945199725,0
116.jpg,0.109164423,24,0.421514611,3.55E-15,0.99999994,0.889713682,0
117.jpg,0.148721644,30,0.999986674,0,1,0.0880109326,0
118.jpg,0.0884497271,32,0.995854505,0,1,0.334210922,0
119.jpg,0.0976834723,34,0.0217622823,0.922930242,0.0393073931,0.973844593,0
120.jpg,0.109724042,36,0.998642501,0,1,0.462004384,0
121.jpg,0.1218721,34,-0.00133879696,1,0,1,0
122.jpg,0.841885191,0,1,0,1,0,1
123.jpg,0.0910819193,40,0.458541239,0.123659441,0.648347557,0.801389635,1
124.jpg,0.0947970367,22,0.193487598,0.450731154,0.328634888,0.886379523,1
125.jpg,0.0857842153,38,0.983960313,0,1,0.39714157,1
126.jpg,0.0896978383,32,1,0,1,0,1
127.jpg,0.037111028,34,0.999983439,3.55E-15,0.99999994,0.0668340582,0
128.jpg,0.0915774155,26,1,0,1,0,1
129.jpg,0.146056227,10,1,0,1,0,0
130.jpg,0.0795170146,34,1,0,1,0,1
131.jpg,0.0983201115,32,0.979166967,0,1,0.590500399,1
132.jpg,0.107417581,22,-0.0014089567,1,0,1,1
133.jpg,0.102652822,30,0.995028979,0,1,0.634012068,1
134.jpg,0.0817000085,24,1,0,1,0,1
135.jpg,0.216869082,12,0.849853635,0,1,0.766651752,1
136.jpg,0.0377380298,38,0.999693313,0,1,0.239821328,0
137.jpg,0.111031166,34,0.890697419,0,1,0.477446913,1
138.jpg,0.13490305,12,0.999733838,0,1,0.131171846,1
139.jpg,0.0795170146,34,1,0,1,0,1
140.jpg,0.298395136,20,0.999908531,0,1,0.0949293908,1
141.jpg,0.567268035,10,0.99868663,0,1,0.47012404,1
142.jpg,0.28415918,10,0.9998585,0,1,0.354929026,1
143.jpg,0.0868479958,36,1,0,1,0,1
144.jpg,0.0642887501,28,1,0,1,0,0
145.jpg,0.11748173,30,0.999917004,0,1,0.252036232,1
146.jpg,0.084608064,28,1,0,1,0,1
147.jpg,0.102916153,30,0.946485358,0,1,0.439303863,1
148.jpg,0.0949716266,30,0.97255803,3.55E-15,0.99999994,0.450136904,1
149.jpg,0.0763241459,30,1,0,1,0,1
150.jpg,0.0633922408,38,0.999813972,3.55E-15,0.99999994,0.395181846,1
151.jpg,0.0976706574,32,0.999852453,3.55E-15,0.99999994,0.254796277,1
152.jpg,0.761092947,4,0.999927892,0,1,0.298287037,1
153.jpg,0.114104136,26,0.70343742,0,1,0.806067394,1
154.jpg,,,,,,,
