file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1.689217046,0,
2.jpg,0.410469683,26,0.969100575,6.693375681,1.255542986,0.375645361,1
3.jpg,0.388455172,26,0.969283968,45.0435539,1.029332147,0.534717344,1
4.jpg,0.308167364,24,0.96187432,350.9470879,1.091404305,0.582643353,1
5.jpg,0.397232655,24,0.955122053,1013.732058,1.113387036,0.549419123,1
6.jpg,0.581156487,2,0.956593697,24.56247627,1.378526066,0.389999563,1
7.jpg,0.583082885,0,0.957383446,22.94863387,1.375676684,0.384817659,1
8.jpg,0.564102414,6,0.953611822,31.24325529,1.387345022,0.404006799,1
9.jpg,0.580962904,2,0.956964605,24.70815417,1.378104805,0.389162638,1
10.jpg,0.583312463,2,0.958546308,21.17118512,1.373253551,0.380684578,1
11.jpg,0.578887974,2,0.956556314,24.89139629,1.378377129,0.389373321,1
12.jpg,0.575353989,2,0.957060059,23.64547692,1.377134559,0.387528683,1
13.jpg,0.584254604,4,0.957170299,23.7230781,1.377347623,0.387867504,1
14.jpg,0.586640642,2,0.958601005,20.65356392,1.371681088,0.378823813,1
15.jpg,0.590603052,4,0.960298651,17.18144842,1.363642455,0.367524922,1
16.jpg,0.579681728,4,0.957559466,22.18377843,1.375134441,0.384759685,1
17.jpg,0.572924096,6,0.955726182,26.54565708,1.381346436,0.394822548,1
18.jpg,0.587328505,4,0.959703307,18.30173842,1.367301512,0.372677444,1
19.jpg,0.588515854,4,0.959747598,18.59109951,1.367593617,0.372003193,1
20.jpg,0.593859745,4,0.961073037,16.2003741,1.360462472,0.362415905,1
21.jpg,0.567800967,4,0.954855595,28.79143156,1.383891087,0.398282873,1
22.jpg,0.591236327,2,0.960743949,16.663236,1.362342511,0.365886214,1
23.jpg,0.562991389,6,0.953560979,30.98539053,1.387111399,0.403371296,1
24.jpg,0.576384041,6,0.955990226,25.68339378,1.380472983,0.39319031,1
25.jpg,0.579874644,2,0.956700944,24.52448081,1.378408097,0.389471132,1
26.jpg,0.581376958,2,0.956508118,25.00936326,1.378723173,0.390335487,1
27.jpg,0.567162601,8,0.955428206,27.8944647,1.383335179,0.397624567,1
28.jpg,0.576082484,4,0.957391663,23.76467383,1.376830313,0.387059052,1
29.jpg,0.575714915,4,0.956572324,24.34665475,1.378806727,0.389998464,1
30.jpg,0.583013371,4,0.957016405,24.42603933,1.377630789,0.388236441,1
31.jpg,0.567656728,6,0.955228695,28.63935456,1.383422138,0.397820023,1
32.jpg,0.578301474,2,0.956226511,25.1977865,1.379668582,0.39175606,1
33.jpg,0.569517456,4,0.962398504,15.33653767,1.409881255,0.349776379,1
34.jpg,0.579493976,2,0.957859598,22.65657485,1.375070314,0.384107458,1
35.jpg,0.564767777,4,0.954683139,30.13983644,1.386375752,0.401844263,1
36.jpg,0.57577704,6,0.957444889,23.80839266,1.377189629,0.386979536,1
37.jpg,0.57303713,2,0.960285681,20.24580415,1.366803139,0.375596324,1
38.jpg,0.592737681,2,0.959960745,18.01669948,1.365608501,0.369398311,1
39.jpg,0.585632123,4,0.957992418,22.00159181,1.374253334,0.382441595,1
40.jpg,0.335920036,24,0.959917631,60.46051453,1.131073739,0.529202108,1
41.jpg,0.572562963,6,0.955880595,26.88765993,1.381397656,0.394711229,1
42.jpg,0.585147361,0,0.957505403,22.86399921,1.375840669,0.385266978,1
43.jpg,0.551974513,6,0.951291332,37.77443551,1.394601035,0.414507957,1
44.jpg,0.32551474,24,0.889037762,87.93297526,1.472804835,0.441274828,1
45.jpg,0.577446538,4,0.95757258,23.12511637,1.376053119,0.385930146,1
46.jpg,0.965480856,4,0.999982746,0.573482162,1.668274922,0.063971189,1
47.jpg,0.958208995,4,0.999982746,0.573482162,1.668274922,0.063971189,1
48.jpg,0.341209955,30,0.969629514,217.3242552,1.095340257,0.523757444,1
49.jpg,0.376303401,28,0.968860662,246.063647,1.18488773,0.450955617,1
50.jpg,0.228601562,28,0.970419678,52.05478527,1.12682196,0.501521148,1
51.jpg,0.270098759,30,0.971219027,3.480220852,1.201909959,0.334319509,1
52.jpg,0.428532566,22,0.961548152,303.8156892,1.125762263,0.569160887,1
53.jpg,0.303153569,28,0.972779269,275.9822741,1.172883622,0.461938533,1
54.jpg,0.381446802,26,0.965827521,251.7032612,1.064537501,0.551917293,1
55.jpg,0.475635765,20,0.932773116,110.7208477,1.16983064,0.494733553,1
56.jpg,0.391612204,24,0.931707364,137.6109465,1.062643312,0.561191902,1
57.jpg,0.397746043,32,0.950180761,63.50989604,1.151001125,0.521240676,1
58.jpg,0.342486116,30,0.961459147,39.16690396,1.107403886,0.494235268,1
59.jpg,0.515034617,10,0.966044319,39.67544215,1.333340385,0.365860552,1
60.jpg,0.330899235,24,0.962209037,4692.484636,1.141115156,0.526571734,1
61.jpg,0.358177283,34,0.890117882,309.2211651,1.290809501,0.565625202,1
62.jpg,0.390023224,22,0.94344752,161.633418,1.094574564,0.508004224,1
63.jpg,0.334528316,32,0.952800051,729.0172043,1.070056116,0.561119498,1
64.jpg,0.349527348,30,0.965802828,104.5172181,1.148713341,0.506472262,1
65.jpg,0.396206714,24,0.958273221,422.349816,1.082536519,0.602579372,1
66.jpg,0.398349504,20,0.903682101,542.320835,1.022686598,0.68047188,1
67.jpg,0.424631591,6,0.945719769,30.74089845,1.230259465,0.438147887,1
68.jpg,0.331172816,20,0.970082069,141.6680702,1.136623948,0.551164651,1
69.jpg,0.304317503,30,0.967674318,27.84479043,1.206608105,0.439169093,1
70.jpg,0.328282932,36,0.959665226,917.8875808,1.03052973,0.670336673,1
71.jpg,0.378919539,18,0.965950824,203.8811199,1.0301478,0.649542032,1
72.jpg,0.357023504,32,0.967632231,228.5300472,1.056052068,0.594664596,1
73.jpg,0.452494093,20,0.956431593,731.8019348,1.032982386,0.620309263,1
74.jpg,0.396157015,24,0.931817088,93.48764333,1.069507545,0.539783539,1
75.jpg,0.329119239,34,0.952212634,173.2222228,1.20160008,0.478326752,1
76.jpg,0.306428752,26,0.970385016,0.689217046,1,0.480198898,1
77.jpg,0.348412068,30,0.968587286,74.67494014,1.26271168,0.414983699,1
78.jpg,0.534386647,4,0.958346429,25.72355428,1.345651827,0.395456639,1
79.jpg,0.352858438,24,0.968478581,181.1411557,1.119319366,0.551229853,1
80.jpg,0.247480795,26,0.968420372,22.31525263,1.173461364,0.429234843,1
81.jpg,0.439363256,28,0.942594216,10621.56142,1.080485594,0.605267769,1
82.jpg,0.316945807,30,0.954723192,853.8606476,1.191574177,0.480665506,1
83.jpg,0.389466833,22,0.964610999,176.7549495,1.151630797,0.551422585,1
84.jpg,0.306569989,38,0.963330849,2188.872521,1.117960003,0.540040572,1
