file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1,0,
1.jpg,0.271639063,34,1,0,1,0,1
2.jpg,0.201899209,32,1,0,1,0,1
3.jpg,0.274628223,30,0.99997591,0,1,0.184427066,1
4.jpg,0.258134665,34,0.000360042,0.997269708,0.00136606,0.989253448,0
5.jpg,0.286935385,28,0.998982525,0,1,0.203941732,0
6.jpg,0.136519684,32,0.150846674,0.700518235,0.163030311,0.838720136,0
7.jpg,0.10878504,34,1,0,1,0,1
8.jpg,0.385549403,34,1,0,1,0,1
9.jpg,0.202892852,34,0.475653535,0.193099928,0.560568631,0.749675027,0
10.jpg,0.314971292,26,0.023277882,0.941772246,0.029550469,0.947301821,1
11.jpg,0.415905346,24,0.999458987,0,1,0.169162112,0
12.jpg,0.091453638,36,0.261740406,0.525915814,0.274799496,0.771398163,0
13.jpg,0.225784693,28,0.999986752,0,1,0.050921926,1
14.jpg,0.263123816,24,1,0,1,0,1
15.jpg,0.255463028,34,0.913984789,3.55E-15,0.99999994,0.758166295,1
16.jpg,0.254259843,32,1,0,1,0,1
17.jpg,0.361163569,28,0.997471845,0,1,0.281249881,0
18.jpg,0.336071199,36,1,0,1,0,0
19.jpg,0.372339262,26,0.999996504,0,1,0.096133876,0
20.jpg,0.181888272,28,1,0,1,0,1
21.jpg,0.209287671,36,0.01155709,0.974931207,0.012613968,0.95697046,1
22.jpg,0.061748097,26,1,0,1,0,1
23.jpg,0.112254427,30,-0.001407208,1,0,1,0
24.jpg,0.210874228,30,1,0,1,0,0
25.jpg,0.270865907,32,0.96069602,0,1,0.561259113,0
26.jpg,0.293478542,30,0.008329133,0.981676772,0.009203983,0.969024768,0
27.jpg,0.18930386,34,0.999842474,0,1,0.214299556,1
28.jpg,0.098656996,32,0.993194797,0,1,0.618201513,1
29.jpg,0.21303178,36,0.994242101,0,1,0.531378665,0
30.jpg,0.316444354,26,0.026684417,0.945165261,0.027803889,0.947847827,0
31.jpg,,,,,,,0
32.jpg,0.282325037,22,0.668435064,0.009685152,0.901586831,0.625371818,1
33.jpg,0.209490586,30,0.084508026,0.485818676,0.302993089,0.949478897,1
34.jpg,0.286613942,36,0.986243166,0,1,0.494955306,1
35.jpg,0.392510219,32,1,0,1,0,0
36.jpg,0.1694029,30,0.431425238,0.025615918,0.839950264,0.881387638,0
37.jpg,0.187843489,34,0.969294336,0,1,0.495767065,0
38.jpg,0.409341695,34,1,0,1,0,0
39.jpg,0.133270038,34,0.969901609,0,1,0.522072412,0
40.jpg,0.090271162,28,0.34420539,0.399778893,0.367719263,0.719470545,1
41.jpg,0.195015872,32,0.998940949,0,1,0.383542621,1
42.jpg,0.122844646,36,0.998674906,0,1,0.235503382,0
43.jpg,0.338144944,32,1,0,1,0,0
44.jpg,0.192372105,34,0.303076597,0.228870088,0.521596313,0.898049899,1
45.jpg,0.246160103,32,1,0,1,0,0
46.jpg,0.157665055,28,0.94960442,3.55E-15,0.99999994,0.628293466,0
47.jpg,0.38931157,32,1,0,1,0,0
48.jpg,0.110794201,32,0.0016031,0.952834332,0.023867644,0.989547871,0
49.jpg,0.262604774,32,0.999955797,0,1,0.101604912,0
50.jpg,0.409566382,22,0.999337009,0,1,0.341408353,1
51.jpg,0.291723974,32,0.959449389,0,1,0.537553531,0
52.jpg,0.183848223,28,0.966866248,0,1,0.369190077,0
53.jpg,0.422044668,30,1,0,1,0,1
54.jpg,0.098668147,30,0.782073112,0,1,0.662173292,1
55.jpg,0.207517665,26,0.99908875,0,1,0.340597098,0
56.jpg,0.398504459,26,0.693037041,0,1,0.676723396,0
57.jpg,0.1308025,26,0.204656871,0,1,0.947074795,0
58.jpg,0.16498156,26,0.887401963,0,1,0.756154824,0
59.jpg,0.109276628,40,1,0,1,0,1
60.jpg,0.156939392,34,0.271891568,0.412355149,0.357851148,0.866114797,1
61.jpg,0.238745318,36,0.044007773,0.906266932,0.048019487,0.917057855,1
62.jpg,0.33233162,28,0.001768395,0.994588088,0.002709629,0.984081346,0
63.jpg,0.1362246,36,1,0,1,0,1
64.jpg,0.250367187,32,0.999975997,0,1,0.088957152,1
65.jpg,0.237039359,28,0.066250385,0.868876965,0.067864321,0.909462198,0
66.jpg,0.36856312,30,0.999770191,0,1,0.356079299,0
67.jpg,0.13466169,32,0.002306492,0.959368048,0.020526644,0.98891029,0
68.jpg,0.31831273,34,0.999701843,0,1,0.2842392,1
69.jpg,0.298616085,34,0.999972971,3.55E-15,0.99999994,0.153820517,0
70.jpg,0.384086849,28,0.027662042,0.943759401,0.028527189,0.941180616,0
71.jpg,0.26846898,30,0.991312863,3.55E-15,0.99999994,0.561463621,0
72.jpg,0.256294086,32,0.99966774,0,1,0.17650376,0
73.jpg,0.167239611,30,0.990628035,0,1,0.287221474,1
74.jpg,0.396886303,36,1,0,1,0,0
75.jpg,0.235959003,26,1,0,1,0,0
76.jpg,0.28213636,24,0.98062207,0,1,0.694801883,0
77.jpg,0.144894002,32,0.288332172,0.100276303,0.683335662,0.919567796,0
78.jpg,0.11937477,26,0.006158994,0.96620881,0.017040798,0.983884901,1
79.jpg,0.243504252,28,0.160459798,0.674296434,0.178844422,0.8787994,1
80.jpg,0.284060336,24,0.865295475,0,1,0.603208658,0
81.jpg,0.167752972,26,0.079163126,0.332779094,0.423129886,0.965758475,0
82.jpg,0.365143437,30,0.405111064,0.116593296,0.658542395,0.806063646,0
83.jpg,0.17162494,34,0.979844782,0,1,0.34050324,1
84.jpg,0.140650014,26,0.023966057,0.908408408,0.046895403,0.977723303,0
85.jpg,0.410374389,30,0.995073421,3.55E-15,0.99999994,0.369490502,0
86.jpg,0.308819548,34,1,0,1,0,1
87.jpg,0.321828416,28,0.971346949,0,1,0.586382232,0
88.jpg,0.33050677,32,0.994518476,0,1,0.369571355,0
89.jpg,0.310976728,32,0.995941957,0,1,0.446292873,0
90.jpg,0.266112315,34,0.305001175,0.458188485,0.323103756,0.754420521,1
91.jpg,0.332609093,26,0.529428928,0.141042751,0.624443412,0.623569133,1
92.jpg,0.058626986,26,0.996203212,0,1,0.536544119,1
93.jpg,0.246481997,38,0.999832269,3.55E-15,0.99999994,0.296824558,0
94.jpg,0.085761001,34,0.993124057,0,1,0.470968652,1
95.jpg,0.07633722,32,0.229126882,0.513341223,0.283521622,0.842104536,1
96.jpg,0.237828618,28,0.24631901,0.428469979,0.345423847,0.910632888,0
97.jpg,0.318039161,38,0.043178284,0.856563113,0.074493051,0.943236731,1
98.jpg,0.099857225,34,1,0,1,0,1
99.jpg,0.272336992,30,0.998206558,3.55E-15,0.99999994,0.474726523,0
100.jpg,0.350942615,22,0.99950766,0,1,0.328476867,0
101.jpg,0.317850515,28,0.594443017,0.002048992,0.954734206,0.695407157,1
102.jpg,0.18376893,36,0.154180194,0.553753076,0.25585413,0.927263499,0
103.jpg,0.125354559,32,0.10991355,0.668978646,0.182088822,0.937360137,0
104.jpg,0.381761493,34,1,0,1,0,0
105.jpg,0.209493539,34,-0.003069893,0.998959335,0.000520454,0.997518513,0
106.jpg,0.233925692,32,0.745217052,0,1,0.763692598,0
107.jpg,0.266265247,30,0.834171425,0,1,0.767558487,1
108.jpg,0.276753858,32,0.976733831,0,1,0.643340629,0
109.jpg,0.200440927,20,0.931826293,0,1,0.575395143,1
110.jpg,0.199567856,34,0.096488428,0.733964308,0.143282831,0.904498725,1
111.jpg,0.083657621,28,0.999849845,0,1,0.146110464,0
112.jpg,0.264286827,30,0.965802653,0,1,0.71218798,0
