file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,2.030414556,0,
1.jpg,0.859620998,6,0.999665138,0.246235592,1.929105861,0.086800028,1
2.jpg,0.735757355,10,0.999322548,0.261376604,1.913515478,0.092891587,1
3.jpg,0.505744527,26,0.999537647,15.21837196,1.95419686,0.193355439,1
4.jpg,0.944718642,8,0.999924339,0.023911509,1.99100697,0.040525428,1
5.jpg,0.811352838,6,0.99932423,0.267667128,1.915162639,0.092965088,1
6.jpg,0.789121246,10,0.999319368,0.248187849,1.914226803,0.093381587,1
7.jpg,0.883880237,8,0.999621042,0.494602243,1.916947584,0.10652656,1
8.jpg,0.807967671,8,0.999712867,0.263354411,1.931088921,0.086701513,1
9.jpg,0.727254431,8,0.999322512,0.263097577,1.914311954,0.092876091,1
10.jpg,0.762746706,18,0.998831119,2.061475999,1.949118443,0.163996416,1
11.jpg,0.768791879,10,0.999688172,0.256284115,1.930583568,0.086890218,1
12.jpg,0.760364473,8,0.999940329,0.725530855,1.960212916,0.084096371,1
13.jpg,0.746467011,10,0.046640495,378.7910316,0.879148334,0.66380511,1
14.jpg,0.852775337,12,0.999705435,0.280643841,1.932121047,0.087032741,1
15.jpg,0.838626361,4,0.999836932,0.292734338,1.925011601,0.090657064,1
16.jpg,0.689040797,8,0.999662131,0.241385386,1.928788108,0.086728978,1
17.jpg,0.87439608,8,0.999328895,0.250195615,1.914537517,0.093141149,1
18.jpg,0.831472773,4,0.999686242,0.269929849,1.930781567,0.086824382,1
19.jpg,0.855818953,10,0.999716001,0.26462683,1.931171793,0.086944691,1
20.jpg,0.540021402,32,0.984599511,7.068819494,1.092334109,0.51148135,0
21.jpg,0.828905754,6,0.999701699,0.269285538,1.927877224,0.088581094,1
22.jpg,0.806487595,8,0.999324147,0.258536487,1.914493579,0.09272662,1
23.jpg,0.824970906,8,0.999323785,0.264510005,1.915298851,0.092809081,1
24.jpg,0.790186838,12,0.999321684,0.256721392,1.914381343,0.092822343,1
25.jpg,0.731060435,14,0.999705917,0.267022512,1.927348311,0.088243697,1
26.jpg,0.812678765,6,0.999683985,0.256496899,1.930820831,0.086569009,1
27.jpg,0.865551041,6,0.999702877,0.291028993,1.927771558,0.088720933,1
28.jpg,0.793339313,6,0.999325862,0.265960717,1.915229898,0.093057223,1
29.jpg,0.726293495,12,0.999630134,0.282936232,1.929802418,0.086554374,1
30.jpg,0.904928229,14,0.999651317,0.276510308,1.927152675,0.08895791,1
31.jpg,0.849291494,8,0.999651404,0.275460986,1.927008427,0.08877401,1
32.jpg,0.741657075,6,0.999704643,0.271509163,1.930948825,0.086167563,1
33.jpg,0.715534939,12,0.999683327,0.253555827,1.930329227,0.08652016,1
34.jpg,0.834887406,12,0.999685164,0.256482715,1.930840252,0.086549521,1
35.jpg,0.758371719,6,0.999686485,0.252246417,1.929432169,0.086863813,1
36.jpg,0.779449196,8,0.999686526,0.243482103,1.930251479,0.086519165,1
37.jpg,0.905178482,6,0.999325086,0.264113792,1.915893583,0.092809685,1
38.jpg,0.812483089,8,0.999339917,0.260905601,1.916202756,0.092836377,1
39.jpg,0.533514157,16,0.998862202,0.272640277,1.828850263,0.100222901,1
40.jpg,0.856824547,8,0.99971846,0.26451347,1.93102178,0.086751509,1
41.jpg,0.800488842,16,0.999630815,0.223127871,1.927668974,0.086548774,1
42.jpg,0.740476333,10,0.999715336,0.268979958,1.930679379,0.086867366,1
43.jpg,0.880833162,8,0.999717484,0.269286074,1.931338644,0.086947672,1
44.jpg,0.828178093,8,0.999322158,0.266216336,1.91518,0.092890228,1
45.jpg,0.717005307,10,0.999322353,0.260809682,1.914061985,0.092802384,1
46.jpg,0.711506593,10,0.999683981,0.256699953,1.929907873,0.086573245,1
47.jpg,0.7429993,16,0.999737749,0.241717793,1.933102986,0.085883567,1
48.jpg,0.828005052,8,0.999686276,0.256505008,1.930932451,0.086618101,1
49.jpg,0.864870572,6,0.999687506,0.247324655,1.930203311,0.086669904,1
50.jpg,0.755580075,4,0.999685581,0.257380909,1.930170732,0.086558536,1
51.jpg,0.72035066,6,0.999665702,0.245130895,1.928515475,0.086880629,1
52.jpg,0.767283946,10,0.999682085,0.254513604,1.929692801,0.08669513,1
53.jpg,0.767139907,6,0.999717604,0.274000138,1.931738108,0.086964896,1
54.jpg,0.861323476,6,0.99933004,0.250065825,1.913875579,0.093171385,1
55.jpg,0.823993669,16,0.999680235,0.256517478,1.93050605,0.086757032,1
56.jpg,0.762929313,8,0.999333503,0.25367336,1.914346421,0.093322024,1
57.jpg,0.848444381,10,0.999717598,0.264504558,1.931314552,0.086897418,1
58.jpg,0.81728546,12,0.997125887,29.57894001,1.992796137,0.202883467,1
59.jpg,0.826581277,8,0.999328582,0.251269637,1.914862938,0.093001833,1
60.jpg,0.819434111,8,0.999327132,0.250087643,1.914543699,0.093028578,1
61.jpg,0.820551537,4,0.999686268,0.252212247,1.930548573,0.086435303,1
62.jpg,0.849564552,4,0.999673025,0.301489843,1.930528394,0.087112173,1
63.jpg,0.775675017,6,0.99965118,0.274786077,1.927434194,0.088730756,1
64.jpg,0.77572737,10,0.999686118,0.265471814,1.930764795,0.086757414,1
65.jpg,0.712124301,10,0.999684038,0.257436116,1.93047908,0.08643211,1
66.jpg,0.874831391,8,0.99968393,0.256481799,1.930888391,0.086508336,1
67.jpg,0.793590075,8,0.999705493,0.275212504,1.93149057,0.086449076,1
68.jpg,0.816362356,12,0.999326612,0.252077535,1.914459414,0.093123323,1
69.jpg,0.787478162,10,0.999324667,0.266670641,1.915600886,0.092778859,1
70.jpg,0.723364257,10,0.99970437,0.264786328,1.92689711,0.088606754,1
71.jpg,0.895922051,4,0.999688634,0.256444378,1.931063411,0.086517373,1
72.jpg,0.759488681,8,0.999652473,0.291906859,1.926594054,0.089088753,1
73.jpg,0.638386801,14,0.996558308,1.304368208,1.916088295,0.144040312,1
74.jpg,0.719201939,10,0.999702347,0.245073488,1.926820528,0.088311808,1
75.jpg,0.77658635,6,0.999686351,0.262753104,1.92933142,0.086742627,1
76.jpg,0.885717598,4,0.999704132,0.289909838,1.931755486,0.086954158,1
77.jpg,0.899201168,8,0.999683658,0.256484491,1.930506148,0.086519691,1
78.jpg,0.83959492,10,0.999683756,0.256435279,1.930781476,0.086625497,1
79.jpg,0.780227945,10,0.999841001,0.285038718,1.924524546,0.090452288,1
80.jpg,0.852858376,6,0.999658023,0.24835136,1.929395502,0.086520261,1
81.jpg,0.823926909,10,0.999682864,0.261778567,1.930831762,0.086366885,1
82.jpg,0.820921751,12,0.999696941,0.286604493,1.927365513,0.088661726,1
83.jpg,0.807172247,6,0.999326208,0.249993587,1.91453957,0.092986539,1
84.jpg,0.749017627,6,0.999695428,0.297346871,1.927538682,0.088805651,1
85.jpg,0.851042775,8,0.999325814,0.263783378,1.915250941,0.092928797,1
86.jpg,0.797038304,10,0.999856462,0.662142415,1.951911521,0.084974988,1
87.jpg,0.75757032,10,0.999832831,0.263194654,1.937193694,0.08538619,1
88.jpg,0.803863656,14,0.999834365,0.259523015,1.937940252,0.085149336,1
89.jpg,0.866799014,4,0.999329412,0.250155772,1.914579013,0.093093692,1
90.jpg,0.862716182,6,0.999688143,0.25734421,1.931029235,0.086542144,1
91.jpg,0.728957502,10,0.999683953,0.248179526,1.930708242,0.086477766,1
92.jpg,0.77465694,10,0.999683965,0.272254948,1.930875407,0.08681194,1
93.jpg,0.785062741,6,0.999706072,0.273945738,1.931569736,0.086595024,1
94.jpg,0.886716251,6,0.999686891,0.25647942,1.931067659,0.086611644,1
95.jpg,0.513676173,28,0.998104888,0.537888393,1.680283561,0.11114915,1
96.jpg,0.864063521,8,0.999663317,0.286723485,1.927962997,0.088064156,1
97.jpg,0.770226926,6,0.999833973,0.256790903,1.936207217,0.085062867,1
98.jpg,0.822959276,6,0.999831179,0.956965593,1.942500095,0.090098797,1
99.jpg,0.854347855,14,0.999650635,0.275417173,1.927083145,0.088962597,1
100.jpg,0.915373492,10,0.999688903,0.256664957,1.93106547,0.086588828,1
101.jpg,0.854799836,4,0.999686643,0.256352848,1.930904658,0.086611547,1
102.jpg,0.767913897,10,0.999715323,0.241473045,1.931160758,0.086496572,1
103.jpg,0.813699378,12,0.999696592,0.288063384,1.926708805,0.088670768,1
104.jpg,0.801008609,6,0.027966897,2747.695612,0.717058128,0.726854283,1
105.jpg,0.752126793,12,0.999684216,0.24995047,1.929662034,0.086826611,1
106.jpg,0.733415739,12,0.999832039,0.262146303,1.937990408,0.085360278,1
107.jpg,0.366195239,36,0.98920578,26.26796804,1.957001717,0.272812595,1
108.jpg,0.782704161,8,0.999325218,0.264200884,1.915404301,0.092833468,1
109.jpg,0.675688818,4,0.999642078,0.237609335,1.92756569,0.087256112,1
110.jpg,0.899061137,6,0.999651966,0.278525499,1.927245822,0.088831445,1
111.jpg,0.856508904,6,0.999717053,0.262702739,1.931023119,0.086878542,1
112.jpg,0.817834935,12,0.999708111,0.288768981,1.932405074,0.086705828,1
113.jpg,0.772526238,10,0.999687698,0.251199439,1.930372555,0.086422629,1
114.jpg,0.872801878,4,0.999323134,0.263805044,1.915261663,0.092825271,1
115.jpg,0.766451973,8,0.999832449,0.255280489,1.937867375,0.085028872,1
116.jpg,0.760554318,6,0.999705824,0.272246767,1.930987021,0.086619877,1
117.jpg,0.881797369,6,0.999831979,0.254390303,1.938157252,0.085208428,1
118.jpg,0.767281146,8,0.999717377,0.242352217,1.931251301,0.086383219,1
119.jpg,0.71045828,8,0.999661452,0.244071037,1.929130328,0.086980558,1
120.jpg,0.765892628,8,0.999834221,0.266902487,1.938131889,0.085530462,1
121.jpg,0.71456283,12,0.999685554,0.241671333,1.928570743,0.086751741,1
122.jpg,0.806430369,14,0.997507532,11.35602518,2.005213198,0.199315156,1
123.jpg,0.77777183,8,0.99966263,0.24014719,1.926861999,0.08688181,1
124.jpg,0.733589651,12,0.99934634,0.77616488,1.898647255,0.111214811,1
125.jpg,0.842971362,4,0.999680686,0.257261623,1.931380427,0.086182812,1
126.jpg,0.858482935,10,0.999698692,0.290156349,1.9274481,0.088701479,1
127.jpg,0.83440751,8,0.999329337,0.250604139,1.914531903,0.093117269,1
128.jpg,0.885395149,10,0.999716112,0.263552159,1.931202177,0.086931179,1
129.jpg,0.89202122,4,0.999650252,0.276170499,1.927157091,0.088916731,1
130.jpg,0.914045614,8,0.99867702,5.549449434,1.987211431,0.16598359,1
131.jpg,0.788923447,4,0.999686499,0.256801807,1.930594085,0.086705282,1
132.jpg,0.857358953,8,0.999687151,0.298030465,1.92669927,0.089411069,1
133.jpg,0.91571303,4,0.999328882,0.250229285,1.914525899,0.093141152,1
134.jpg,0.713098163,10,0.999704309,0.283938515,1.926797518,0.088693671,1
135.jpg,0.740034075,6,0.999718139,0.245897658,1.930920277,0.086416428,1
136.jpg,0.881308425,6,0.999876907,0.660080029,1.952712594,0.083796694,1
137.jpg,0.802306172,8,0.999324266,0.265630317,1.915208171,0.092968425,1
138.jpg,0.803413002,4,0.999624207,0.22221937,1.927690163,0.087096401,1
139.jpg,0.83440669,6,0.999325806,0.263837496,1.915233508,0.092936321,1
140.jpg,0.727366631,6,0.999686278,0.248296767,1.930600881,0.086425917,1
141.jpg,0.718287988,10,0.999861631,0.533325555,1.949690674,0.083749986,1
