file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1.810822468,0,
1.jpg,0.320844838,32,0.0622182839,7799.918479,0.91758966,0.84918141,1
2.jpg,0.31377973,32,0.0833596273,7003.240195,1.039560569,0.83657958,1
3.jpg,0.61806207,18,0.998339575,0.251033948,1.485821687,0.147114934,1
4.jpg,0.624405292,18,0.996926671,0.383091317,1.31376384,0.226832675,1
5.jpg,0.314266822,32,0.997857339,0.613758263,1.564369422,0.238362542,1
6.jpg,0.319899959,32,0.996329859,0.477408224,1.412488743,0.268646528,1
7.jpg,0.569776622,18,0.997458505,0.575410314,1.325464381,0.235905488,1
8.jpg,0.570892339,18,0.997478706,0.568004825,1.322136799,0.232869812,1
9.jpg,0.505260714,18,0.988846524,6.485162792,1.098915023,0.448758277,0
10.jpg,0.506489286,18,0.984163629,11.52836366,1.035207228,0.509107625,0
11.jpg,0.362190433,40,0.994254395,0.954663507,1.067981758,0.436164488,1
12.jpg,0.365285231,40,0.993823944,0.834840207,1.054713917,0.435048457,1
13.jpg,0.645751688,32,0.994600609,1.203406061,1.027128202,0.506621651,0
14.jpg,0.649692031,32,0.993933418,0.881156567,1.003105249,0.528753253,0
15.jpg,0.589435945,24,0.996935513,0.491984328,1.275338333,0.265921861,1
16.jpg,0.589155388,24,0.996750647,0.493226865,1.254887281,0.272894498,1
17.jpg,0.515414726,18,0.996072523,1.010830738,1.455404746,0.250492649,1
18.jpg,0.516579238,18,0.994834705,1.026321114,1.343794881,0.278069262,1
19.jpg,0.545659819,28,0.998748468,0.21166535,1.535822919,0.136059126,1
20.jpg,0.555099075,28,0.997373328,0.314597208,1.379334588,0.198014521,1
21.jpg,0.489426273,32,0.997739549,0.437282963,1.391054405,0.21249893,1
22.jpg,0.503034699,30,0.997643439,1.111265634,1.313504533,0.250482008,1
23.jpg,0.383484975,28,0.992760832,2.797894685,1.712459275,0.219943713,1
24.jpg,0.389396931,30,0.992920932,0.926991168,1.494354359,0.232063319,1
25.jpg,0.16540452,36,0.992528077,20.13474472,1.22876174,0.438484675,1
26.jpg,0.148917002,36,0.990821939,22.44763615,1.206613626,0.442877984,1
27.jpg,0.560482074,26,0.99722758,0.474929514,1.3445456,0.244648303,1
28.jpg,0.562192975,26,0.997141706,0.467350715,1.322005517,0.243624616,1
29.jpg,0.47616058,38,0.993846668,44.91293249,1.312786901,0.338264397,1
30.jpg,0.477606914,38,0.996268795,2.15174292,1.255870239,0.346774292,1
31.jpg,0.56700212,26,0.999001827,0.189320716,1.557359009,0.12557768,1
32.jpg,0.57455594,26,0.997727999,0.373693114,1.378897185,0.204388785,1
33.jpg,0.324822613,32,0.996386309,0.784260555,1.229582602,0.356120573,0
34.jpg,0.332282959,32,0.995488471,0.634987657,1.139974037,0.36944417,0
35.jpg,0.32869413,32,0.996430122,0.883373474,1.24985901,0.358579343,0
36.jpg,0.335321061,32,0.995464502,0.630992316,1.136816496,0.367897152,0
37.jpg,0.17692185,26,0.99472452,3.633610757,1.346982061,0.43601948,1
38.jpg,0.183971788,26,0.990137074,2.245161622,1.240514342,0.427045448,1
39.jpg,0.49775588,22,0.997587065,0.307309726,1.411529952,0.184909473,1
40.jpg,0.504999003,22,0.996676112,0.389188989,1.317205905,0.228444682,1
41.jpg,0.421531354,30,0.996254726,0.512243194,1.20517598,0.279129882,1
42.jpg,0.423904077,32,0.996097479,0.510719656,1.203844752,0.280311447,1
43.jpg,0.504886828,22,0.998151375,4.624126251,1.462481338,0.297362638,1
44.jpg,0.514353665,20,0.996998226,1.265886765,1.265851326,0.333847479,1
45.jpg,0.451930298,28,0.993614296,1.962382061,1.099495253,0.443950165,1
46.jpg,0.455646031,28,0.993256901,2.487984496,1.057465019,0.487187125,1
47.jpg,0.604491827,20,0.99933299,0.343452513,1.648514271,0.14700474,1
48.jpg,0.606208898,20,0.997084458,0.590395218,1.359529164,0.289511249,1
49.jpg,0.424423065,32,0.994741274,1.156800345,1.106754457,0.399585787,1
50.jpg,0.427865069,32,0.994568893,1.13790988,1.089961746,0.41761811,1
51.jpg,0.498839345,32,0.931592479,7.678853277,1.62504842,0.291877026,1
52.jpg,0.50149119,32,0.932437501,7.3740625,1.634344306,0.290661178,1
53.jpg,0.523644468,28,0.996030576,2.327881236,1.561159226,0.2332685,1
54.jpg,0.531865012,28,0.99241154,2.785831706,1.421596642,0.258250608,1
55.jpg,0.373562807,34,0.997371807,1.04441458,1.384099856,0.287497863,1
56.jpg,0.37546347,34,0.997371965,1.054620672,1.393436708,0.295450265,1
57.jpg,0.450752595,20,0.996045691,5.933478894,1.245101611,0.347355662,1
58.jpg,0.460253067,20,0.992906882,19.88128814,1.124964588,0.385753005,1
59.jpg,0.402456667,36,0.0875049548,12440.06809,0.413898794,0.878483431,1
60.jpg,0.401606425,36,0.114021794,14715.2246,0.443670067,0.871673989,1
61.jpg,0.285301568,34,0.996474792,0.486609958,1.219808307,0.268465177,1
62.jpg,0.286380979,34,0.995707159,0.587107599,1.143237168,0.311621412,1
63.jpg,0.25697342,36,0.910599243,218.6563299,1.221551137,0.639089444,0
64.jpg,0.253714168,36,0.913538065,207.4248696,1.219401556,0.636323321,0
65.jpg,0.591260338,16,0.997420435,0.648513555,1.347220617,0.230920135,1
66.jpg,0.595759931,16,0.996991258,0.746473922,1.271665797,0.285108182,1
67.jpg,0.458599475,30,0.989330784,2.644739399,1.076461276,0.504430915,1
68.jpg,0.472185664,30,0.992764966,1.039518242,1.089917853,0.481020558,1
69.jpg,0.391309074,30,0.997307071,3.181148278,1.578175051,0.380198898,1
70.jpg,0.395467086,30,0.995184657,5.452206378,1.406769614,0.404466961,1
71.jpg,0.540193047,14,0.99684761,0.744075214,1.249978471,0.35041125,1
72.jpg,0.536551399,14,0.996706831,0.856470494,1.223289822,0.355366874,1
73.jpg,0.464044185,24,0.996505652,2.696903492,1.693189075,0.303135476,1
74.jpg,0.461970018,24,0.996147087,1.451000321,1.532058263,0.3094042,1
75.jpg,0.429818818,28,0.998135542,0.795897809,1.419138262,0.221511619,1
76.jpg,0.432025664,28,0.997060706,0.800942645,1.268496717,0.273385496,1
77.jpg,0.225304241,32,0.509538466,3517.93418,1.665649504,0.71302291,0
78.jpg,0.22418246,32,0.63807969,1267.185359,1.574916606,0.696254234,0
79.jpg,0.518237497,24,0.992370517,2.474853049,1.06806428,0.467598295,0
80.jpg,0.518298143,24,0.990869851,1.827811504,1.043382189,0.485390353,0
81.jpg,0.608453742,26,0.998574207,0.23635183,1.517172609,0.141246159,1
82.jpg,0.609597696,26,0.997604893,0.355659769,1.385276983,0.198894015,1
83.jpg,0.545066209,28,0.997184292,0.63729161,1.311794461,0.305084837,1
84.jpg,0.548561051,28,0.996774376,0.651513016,1.250510976,0.342073139,1
85.jpg,0.489830353,28,0.997062864,0.880591254,1.355467407,0.291408471,1
86.jpg,0.496231461,28,0.99578206,1.19133385,1.256624655,0.3345715,1
87.jpg,0.536760706,26,0.997941557,0.447980378,1.338989513,0.222989122,1
88.jpg,0.545825522,28,0.99644046,0.602643505,1.190212986,0.307370783,1
89.jpg,0.549693182,18,0.9966711,0.508562138,1.39967906,0.283545986,1
90.jpg,0.544091138,18,0.996817726,0.515880282,1.396896844,0.263063133,1
91.jpg,0.575480471,30,0.996115299,5.892546475,1.222566732,0.405006696,0
92.jpg,0.578815731,30,0.994462207,5.709573866,1.071571258,0.46485379,0
93.jpg,0.40122492,30,0.994924649,0.838271292,1.24417693,0.393276016,1
94.jpg,0.406632251,30,0.995044871,0.766399895,1.243848821,0.390709322,1
95.jpg,0.533970142,32,0.997662743,1.224368962,1.416173725,0.230969876,1
96.jpg,0.542599662,32,0.997338024,1.208611641,1.327641279,0.280780486,1
97.jpg,0.500712567,28,0.998925544,0.738645806,1.529408857,0.204686544,1
