file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1,0,
1.jpg,0.262258691,26,0.999990944,0,1,0.118866162,1
2.jpg,0.78391608,12,0.999692105,0,1,0.268616879,1
4.jpg,0.246876875,40,1,0,1,0,1
5.jpg,0.617238529,22,1,0,1,0,1
6.jpg,0.096987823,28,1,0,1,0,0
7.jpg,0.506415648,32,1,0,1,0,1
8.jpg,0.483203585,34,0.999391461,0,1,0.401994746,1
9.jpg,0.043196601,30,0.992159925,0,1,0.70826451,1
10.jpg,0.234235144,26,1,0,1,0,1
11.jpg,0.552586086,32,0.97659675,0,1,0.48644982,1
12.jpg,0.559066352,30,0.697735655,0,1,0.655487996,0
13.jpg,0.259652877,32,0.999543652,0,1,0.329348891,1
14.jpg,0.331536727,30,-0.000840273,0.999612011,0.000194024,0.996136099,1
15.jpg,0.53418698,30,0.999952655,0,1,0.206670521,1
16.jpg,0.358115408,26,0.000244707,0.993689273,0.003160346,0.990247291,1
17.jpg,0.118715819,38,0.969297861,3.55E-15,0.99999994,0.679484346,1
18.jpg,0.457874997,34,1,0,1,0,0
19.jpg,0.699365685,30,0.999999798,0,1,0.038449812,0
20.jpg,0.465043701,30,1,0,1,0,1
21.jpg,0.327091067,28,0.999701633,0,1,0.261942954,1
22.jpg,0.212852567,30,0.999981473,0,1,0.111178903,1
23.jpg,0.454711787,28,0.99992298,0,1,0.181787054,1
24.jpg,0.299767241,28,0.987631059,0,1,0.485033936,1
25.jpg,0.449871305,36,0.862169045,3.55E-15,0.99999994,0.563414786,1
26.jpg,0.44436932,30,0.995428569,0,1,0.473970995,1
27.jpg,0.444067255,22,0.807472291,0,1,0.500685614,1
28.jpg,0.363898685,28,0.804648849,0,1,0.745857287,0
29.jpg,0.113061503,38,1,0,1,0,1
30.jpg,,,,,,,0
31.jpg,0.454154568,24,0.999091654,3.55E-15,0.99999994,0.371479011,0
32.jpg,0.254456763,34,0.312891205,0.446692016,0.33164978,0.721999902,0
33.jpg,0.187202258,24,0.030405514,0.854672787,0.075514868,0.974083463,0
34.jpg,0.231292896,24,0.518041431,0.152894077,0.608983278,0.705754987,1
35.jpg,0.084899586,30,0.910036314,0,1,0.759719187,0
36.jpg,0.373734655,36,0.999964989,0,1,0.218539618,0
37.jpg,0.344162612,32,0.796865345,0,1,0.702334307,1
38.jpg,0.542519872,36,0.999926307,0,1,0.102544281,0
39.jpg,0.425865468,30,0.970063508,0,1,0.602455168,0
40.jpg,0.551550015,34,1,0,1,0,0
41.jpg,0.422512862,28,1,0,1,0,0
42.jpg,0.423149373,28,0.784487472,0,1,0.547033331,0
43.jpg,0.332288581,28,1,0,1,0,0
44.jpg,0.293412911,22,0.918850574,0,1,0.505935719,1
45.jpg,0.456821841,32,0.999625667,0,1,0.270204154,0
46.jpg,0.161361483,32,0.588078516,0.008198516,0.909454346,0.850345504,1
47.jpg,0.595975516,34,0.536314682,0.120613228,0.652705848,0.684499001,1
