클래스,총 예측 수,정확한 예측 수,정확도,상위 3개 안에 정답 수,상위 3개 정답률
addict,223,220,0.9865470852017937,222,0.9955156950672646
alter ego_,99,97,0.9797979797979798,98,0.98989898989899
always has been,792,781,0.9861111111111112,786,0.9924242424242424
bad luck,841,807,0.9595719381688466,812,0.9655172413793104
baton roue,240,236,0.9833333333333333,238,0.9916666666666667
bereal,256,252,0.984375,253,0.98828125
boardroom meeting,1089,1057,0.970615243342516,1067,0.9797979797979798
bob ross meme,118,109,0.923728813559322,111,0.940677966101695
Bongo Cat,248,146,0.5887096774193549,193,0.7782258064516129
cheers,747,741,0.9919678714859438,744,0.9959839357429718
click,173,168,0.9710982658959537,171,0.9884393063583815
dat boi,173,163,0.9421965317919075,166,0.9595375722543352
distracted boyfriend,298,283,0.9496644295302014,294,0.9865771812080537
doge,142,119,0.8380281690140845,128,0.9014084507042254
dont say,165,127,0.7696969696969697,149,0.9030303030303031
dooly,280,244,0.8714285714285714,271,0.9678571428571429
drakeposting,397,393,0.9899244332493703,395,0.9949622166246851
draw 25,560,532,0.95,536,0.9571428571428572
expanding brain,1462,1448,0.9904240766073872,1454,0.9945280437756497
expert,155,139,0.896774193548387,147,0.9483870967741935
fast_,97,97,1.0,97,1.0
frog,146,126,0.863013698630137,137,0.9383561643835616
fuck yea,411,394,0.9586374695863747,404,0.9829683698296837
gamer,142,139,0.9788732394366197,141,0.9929577464788732
gaviscon,50,43,0.86,46,0.92
grim reaper,459,393,0.8562091503267973,415,0.9041394335511983
grus plan,1471,1444,0.981645139360979,1451,0.9864038069340585
laughing wolf,420,413,0.9833333333333333,417,0.9928571428571429
left exit,478,466,0.9748953974895398,470,0.9832635983263598
luffy,177,155,0.8757062146892656,170,0.96045197740113
meet,153,151,0.9869281045751634,153,1.0
mococo,241,207,0.8589211618257261,229,0.950207468879668
noanswer,175,174,0.9942857142857143,174,0.9942857142857143
nyan cat,167,158,0.9461077844311377,162,0.9700598802395209
pepe,337,271,0.8041543026706232,309,0.9169139465875371
shut up,553,546,0.9873417721518988,549,0.9927667269439421
singha,117,87,0.7435897435897436,98,0.8376068376068376
SMEscat,206,189,0.9174757281553398,201,0.9757281553398058
starwars,332,330,0.9939759036144579,332,1.0
study,175,169,0.9657142857142857,172,0.9828571428571429
talk back,104,101,0.9711538461538461,103,0.9903846153846154
Tenacious,126,122,0.9682539682539683,123,0.9761904761904762
thour,225,189,0.84,216,0.96
trollface,573,523,0.912739965095986,541,0.944153577661431
True intentions,56,54,0.9642857142857143,54,0.9642857142857143
tuxedo pooh,1123,992,0.8833481745325023,1053,0.93766696349065
two buttons,240,238,0.9916666666666667,240,1.0
vsdoge,651,573,0.880184331797235,625,0.9600614439324117
wojak,307,274,0.8925081433224755,300,0.9771986970684039
